offset,entry_date,day_of_week,status,skip_reason,expiry_date,spot_open,base_atm,centre_strike,centre_shift,ce_strike,pe_strike,lot_size,lots,qty,balance_ratio,ce_entry,ce_stop,ce_exit_ts,ce_exit_price,ce_exit_reason,pe_entry,pe_stop,pe_exit_ts,pe_exit_price,pe_exit_reason,margin,gross_pnl,brokerage,net_pnl,remarks
0,2020-01-02,Thursday,SKIPPED,balance_filter,2020-01-02,12216.80,12200,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-01-09,Thursday,TRADED,,2020-01-09,12162.40,12150,12150,0,12150,12150,75,4,300,0.80,29.35,52.83,2020-01-09T12:18:00+05:30,52.83,sl,23.60,42.48,2020-01-09T15:20:00+05:30,0.05,day_close,473850.00,-579.00,100.00,-679.00,
0,2020-01-16,Thursday,SKIPPED,balance_filter,2020-01-16,12372.50,12350,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-01-23,Thursday,TRADED,,2020-01-23,12117.20,12100,12100,0,12100,12100,75,4,300,0.84,25.55,45.99,2020-01-23T09:35:00+05:30,45.99,sl,21.45,38.61,2020-01-23T15:20:00+05:30,0.10,day_close,471900.00,-327.00,100.00,-427.00,
0,2020-01-30,Thursday,SKIPPED,balance_filter,2020-01-30,12095.00,12100,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-02-06,Thursday,SKIPPED,balance_filter,2020-02-06,12128.00,12150,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-02-13,Thursday,SKIPPED,balance_filter,2020-02-13,12183.30,12200,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-02-20,Thursday,TRADED,,2020-02-20,12113.00,12100,12100,0,12100,12100,75,4,300,0.95,22.95,41.31,2020-02-20T11:19:00+05:30,41.31,sl,21.70,39.06,2020-02-20T15:20:00+05:30,16.90,day_close,471900.00,-4668.00,100.00,-4768.00,
0,2020-02-27,Thursday,SKIPPED,balance_filter,2020-02-27,11633.70,11650,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2020-03-05,Thursday,TRADED,,2020-03-05,11311.90,11300,11300,0,11300,11300,75,4,300,0.89,50.65,91.17,2020-03-05T15:20:00+05:30,0.05,day_close,44.85,80.73,2020-03-05T15:20:00+05:30,29.75,day_close,440700.00,19110.00,100.00,19010.00,
0,2020-03-12,Thursday,TRADED,,2020-03-12,9994.25,10000,10000,0,10000,10000,75,4,300,0.95,75.80,136.44,2020-03-12T15:20:00+05:30,0.10,day_close,72.00,129.60,2020-03-12T10:04:00+05:30,129.60,sl,390000.00,4830.00,100.00,4730.00,
