offset,entry_date,day_of_week,status,skip_reason,expiry_date,spot_open,base_atm,centre_strike,centre_shift,ce_strike,pe_strike,lot_size,lots,qty,balance_ratio,ce_entry,ce_stop,ce_exit_ts,ce_exit_price,ce_exit_reason,pe_entry,pe_stop,pe_exit_ts,pe_exit_price,pe_exit_reason,margin,gross_pnl,brokerage,net_pnl,remarks
0,2025-03-13,Thursday,SKIPPED,balance_filter,2025-03-13,22485.00,22500,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2025-03-20,Thursday,SKIPPED,balance_filter,2025-03-20,23022.30,23000,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2025-03-27,Thursday,SKIPPED,balance_filter,2025-03-27,23507.80,23500,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2025-04-03,Thursday,TRADED,,2025-04-03,23218.65,23200,23200,0,23200,23200,75,4,300,0.93,58.60,87.90,2025-04-03T09:21:00+05:30,87.90,sl,54.55,81.82,2025-04-03T15:20:00+05:30,0.15,day_close,904800.00,6930.00,100.00,6830.00,
0,2025-04-09,Wednesday,TRADED,,2025-04-09,22412.35,22400,22400,0,22400,22400,75,4,300,0.96,125.40,188.10,2025-04-09T15:20:00+05:30,0.20,day_close,130.40,195.60,2025-04-09T15:20:00+05:30,0.85,day_close,873600.00,75825.00,100.00,75725.00,
0,2025-04-17,Thursday,TRADED,,2025-04-17,23357.65,23350,23350,0,23350,23350,75,4,300,0.83,43.20,64.80,2025-04-17T09:42:00+05:30,64.80,sl,51.75,77.62,2025-04-17T09:21:00+05:30,77.62,sl,910650.00,-14842.50,100.00,-14942.50,
0,2025-04-24,Thursday,SKIPPED,balance_filter,2025-04-24,24272.40,24250,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2025-04-30,Wednesday,SKIPPED,balance_filter,2025-04-30,24320.35,24300,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2025-05-08,Thursday,SKIPPED,balance_filter,2025-05-08,24398.45,24400,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2025-05-15,Thursday,TRADED,,2025-05-15,24620.00,24600,24600,0,24600,24600,75,4,300,0.93,77.25,115.88,2025-05-15T10:37:00+05:30,115.88,sl,72.00,108.00,2025-05-15T09:43:00+05:30,108.25,gap_sl,959400.00,-23062.50,100.00,-23162.50,
0,2025-05-22,Thursday,SKIPPED,balance_filter,2025-05-22,24644.70,24650,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2025-05-29,Thursday,TRADED,,2025-05-29,24845.20,24850,24850,0,24850,24850,75,4,300,0.93,63.05,94.57,2025-05-29T15:20:00+05:30,1.00,day_close,58.60,87.90,2025-05-29T09:23:00+05:30,87.90,sl,969150.00,9225.00,100.00,9125.00,
0,2025-06-05,Thursday,SKIPPED,balance_filter,2025-06-05,24625.55,24650,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2025-06-12,Thursday,TRADED,,2025-06-12,25164.90,25150,25150,0,25150,25150,75,4,300,0.93,55.10,82.65,2025-06-12T09:33:00+05:30,82.65,sl,51.10,76.65,2025-06-12T09:40:00+05:30,76.65,sl,980850.00,-16530.00,100.00,-16630.00,
0,2025-06-19,Thursday,TRADED,,2025-06-19,24755.30,24750,24750,0,24750,24750,75,4,300,0.91,54.25,81.38,2025-06-19T09:22:00+05:30,81.38,sl,59.75,89.62,2025-06-19T15:20:00+05:30,0.15,day_close,965250.00,9142.50,100.00,9042.50,
0,2025-06-26,Thursday,TRADED,,2025-06-26,25282.75,25300,25300,0,25300,25300,75,4,300,0.87,51.90,77.85,2025-06-26T09:21:00+05:30,77.85,sl,59.95,89.93,2025-06-26T15:20:00+05:30,0.20,day_close,986700.00,9540.00,100.00,9440.00,
0,2025-07-03,Thursday,SKIPPED,balance_filter,2025-07-03,25522.75,25500,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2025-07-10,Thursday,SKIPPED,balance_filter,2025-07-10,25470.60,25450,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2025-07-17,Thursday,SKIPPED,balance_filter,2025-07-17,25216.60,25200,,,,,75,4,300,,,,,,,,,,,,,,,,
0,2025-07-24,Thursday,TRADED,,2025-07-24,25204.10,25200,25200,0,25200,25200,75,4,300,0.82,41.35,62.03,2025-07-24T15:20:00+05:30,0.10,day_close,34.10,51.15,2025-07-24T10:11:00+05:30,51.15,sl,982800.00,6660.00,100.00,6560.00,
0,2025-07-31,Thursday,SKIPPED,balance_filter,2025-07-31,24680.35,24700,,,,,75,4,300,,,,,,,,,,,,,,,,
