entry_date,status,skip_reason,expiry_date,trades,ce_trades,pe_trades,stopped_trades,day_close_trades,skipped_signals,orders_executed,gross_pnl,brokerage,net_pnl,max_consec_sl_in_day,sl_capped,remarks
2022-07-01,SKIPPED,random_skip,2022-07-07,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-07-04,TRADED,,2022-07-07,2,0,2,1,1,0,4,19170.00,100.00,19070.00,1,False,
2022-07-05,TRADED,,2022-07-07,2,1,1,1,1,0,4,7890.00,100.00,7790.00,1,False,
2022-07-06,SKIPPED,random_skip,2022-07-07,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-07-07,TRADED,,2022-07-07,2,0,2,1,1,0,4,4365.00,100.00,4265.00,1,False,
2022-07-08,TRADED,,2022-07-14,2,1,1,2,0,0,4,-4275.00,100.00,-4375.00,2,True,
2022-07-11,SKIPPED,random_skip,2022-07-14,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-07-12,TRADED,,2022-07-14,2,1,1,2,0,0,4,1710.00,100.00,1610.00,2,True,
2022-07-13,SKIPPED,random_skip,2022-07-14,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-07-14,TRADED,,2022-07-14,2,2,0,2,0,0,4,-5880.00,100.00,-5980.00,2,True,
2022-07-15,TRADED,,2022-07-21,2,1,1,2,0,0,4,885.00,100.00,785.00,2,True,
2022-07-18,SKIPPED,random_skip,2022-07-21,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-07-19,SKIPPED,random_skip,2022-07-21,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-07-20,TRADED,,2022-07-21,2,1,1,2,0,0,4,1965.00,100.00,1865.00,2,True,
2022-07-21,TRADED,,2022-07-21,2,1,1,2,0,0,4,-6165.00,100.00,-6265.00,2,True,
2022-07-22,SKIPPED,random_skip,2022-07-28,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-07-25,SKIPPED,random_skip,2022-07-28,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-07-26,SKIPPED,random_skip,2022-07-28,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-07-27,TRADED,,2022-07-28,2,1,1,1,1,0,4,6090.00,100.00,5990.00,1,False,
2022-07-28,TRADED,,2022-07-28,1,0,1,0,1,0,2,17820.00,50.00,17770.00,0,False,
2022-07-29,SKIPPED,random_skip,2022-08-04,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-08-01,SKIPPED,random_skip,2022-08-04,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-08-02,SKIPPED,random_skip,2022-08-04,0,0,0,0,0,1,0,0.00,0.00,0.00,0,False,Day randomly skipped (human participation model).
2022-08-03,TRADED,,2022-08-04,2,0,2,2,0,0,4,-19740.00,100.00,-19840.00,2,True,
2022-08-04,TRADED,,2022-08-04,2,1,1,2,0,0,4,-49680.00,100.00,-49780.00,2,True,
