entry_date,day_of_week,status,skip_reason,expiry_date,expiry_type,spot_entry_timestamp,spot_entry_open,atm_strike,lot_size,lots,quantity,ce_contract_file,ce_entry_open,ce_stop_price,ce_exit_timestamp,ce_exit_price,ce_exit_reason,ce_points_pnl,ce_gross_pnl,pe_contract_file,pe_entry_open,pe_stop_price,pe_exit_timestamp,pe_exit_price,pe_exit_reason,pe_points_pnl,pe_gross_pnl,gross_pnl,brokerage,net_pnl,remarks
2019-06-21,Friday,SKIPPED,missing_entry_candle,2020-01-30,current_month,2019-06-21T09:20:00+05:30,11787.4,11800,75,4,300,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"No 2019-06-21T09:20:00+05:30 candle in: NIFTY_11800_CE_30_JAN_20.csv, NIFTY_11800_PE_30_JAN_20.csv"
2019-06-24,Monday,SKIPPED,missing_entry_candle,2020-01-30,current_month,2019-06-24T09:20:00+05:30,11736.7,11750,75,4,300,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"No 2019-06-24T09:20:00+05:30 candle in: NIFTY_11750_CE_30_JAN_20.csv, NIFTY_11750_PE_30_JAN_20.csv"
2019-06-25,Tuesday,SKIPPED,missing_entry_candle,2020-01-30,current_month,2019-06-25T09:20:00+05:30,11664.8,11650,75,4,300,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"No 2019-06-25T09:20:00+05:30 candle in: NIFTY_11650_CE_30_JAN_20.csv, NIFTY_11650_PE_30_JAN_20.csv"
2019-06-26,Wednesday,SKIPPED,missing_entry_candle,2020-01-30,current_month,2019-06-26T09:20:00+05:30,11784.8,11800,75,4,300,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"No 2019-06-26T09:20:00+05:30 candle in: NIFTY_11800_CE_30_JAN_20.csv, NIFTY_11800_PE_30_JAN_20.csv"
2019-06-27,Thursday,SKIPPED,missing_entry_candle,2020-01-30,current_month,2019-06-27T09:20:00+05:30,11882.7,11900,75,4,300,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"No 2019-06-27T09:20:00+05:30 candle in: NIFTY_11900_CE_30_JAN_20.csv, NIFTY_11900_PE_30_JAN_20.csv"
2019-06-28,Friday,SKIPPED,missing_entry_candle,2020-01-30,current_month,2019-06-28T09:20:00+05:30,11865.5,11850,75,4,300,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"No 2019-06-28T09:20:00+05:30 candle in: NIFTY_11850_CE_30_JAN_20.csv, NIFTY_11850_PE_30_JAN_20.csv"
2019-07-01,Monday,SKIPPED,missing_entry_candle,2020-01-30,current_month,2019-07-01T09:20:00+05:30,11840.1,11850,75,4,300,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"No 2019-07-01T09:20:00+05:30 candle in: NIFTY_11850_CE_30_JAN_20.csv, NIFTY_11850_PE_30_JAN_20.csv"
2019-07-02,Tuesday,SKIPPED,missing_entry_candle,2020-01-30,current_month,2019-07-02T09:20:00+05:30,11876.9,11900,75,4,300,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"No 2019-07-02T09:20:00+05:30 candle in: NIFTY_11900_CE_30_JAN_20.csv, NIFTY_11900_PE_30_JAN_20.csv"
2019-07-03,Wednesday,SKIPPED,missing_entry_candle,2020-01-30,current_month,2019-07-03T09:20:00+05:30,11892.8,11900,75,4,300,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"No 2019-07-03T09:20:00+05:30 candle in: NIFTY_11900_CE_30_JAN_20.csv, NIFTY_11900_PE_30_JAN_20.csv"
2019-07-04,Thursday,SKIPPED,missing_entry_candle,2020-01-30,current_month,2019-07-04T09:20:00+05:30,11937.2,11950,75,4,300,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"No 2019-07-04T09:20:00+05:30 candle in: NIFTY_11950_CE_30_JAN_20.csv, NIFTY_11950_PE_30_JAN_20.csv"
