entry_date,status,skip_reason,expiry_date,next_trading_day,spot_signal_timestamp,spot_signal_close,spot_sma_25,spot_signal_relation,atm_strike,bought_side,sold_side,bought_contract_name,bought_option_entry_timestamp,bought_option_entry_open,bought_option_exit_timestamp,bought_option_exit_open,sold_contract_name,sold_option_entry_timestamp,sold_option_entry_open,sold_option_exit_timestamp,sold_option_exit_open,bought_gross_pnl,sold_gross_pnl,gross_pnl,brokerage,net_pnl,remarks
2025-01-21,TRADED,,2025-01-23,2025-01-22,2025-01-21T15:15:00+05:30,23053.05,23199.63,BELOW_SMA,23050,PE,CE,NIFTY_23050_PE_23_JAN_25.csv,2025-01-21T15:29:00+05:30,104.0,2025-01-22T09:16:00+05:30,88.7,NIFTY_23050_CE_23_JAN_25.csv,2025-01-21T15:29:00+05:30,139.8,2025-01-22T09:16:00+05:30,134.75,-2249.00,396.50,-1852.50,100.00,-1952.50,
2025-01-22,TRADED,,2025-01-23,2025-01-23,2025-01-22T15:15:00+05:30,23161.75,23072.46,ABOVE_SMA,23150,CE,PE,NIFTY_23150_CE_23_JAN_25.csv,2025-01-22T15:29:00+05:30,68.15,2025-01-23T09:16:00+05:30,28.85,NIFTY_23150_PE_23_JAN_25.csv,2025-01-22T15:29:00+05:30,54.1,2025-01-23T09:16:00+05:30,65.25,-5369.00,-1709.50,-7078.50,100.00,-7178.50,
2025-01-23,TRADED,,2025-01-30,2025-01-24,2025-01-23T15:15:00+05:30,23216.3,23224.13,BELOW_SMA,23200,PE,CE,NIFTY_23200_PE_30_JAN_25.csv,2025-01-23T15:29:00+05:30,158.05,2025-01-24T09:16:00+05:30,155.1,NIFTY_23200_CE_30_JAN_25.csv,2025-01-23T15:29:00+05:30,223.2,2025-01-24T09:16:00+05:30,230.15,-643.50,-1163.50,-1807.00,100.00,-1907.00,
2025-01-24,TRADED,,2025-01-30,2025-01-27,2025-01-24T15:15:00+05:30,23090.35,23198.75,BELOW_SMA,23100,PE,CE,NIFTY_23100_PE_30_JAN_25.csv,2025-01-24T15:29:00+05:30,159.0,2025-01-27T09:16:00+05:30,250.9,NIFTY_23100_CE_30_JAN_25.csv,2025-01-24T15:29:00+05:30,176.0,2025-01-27T09:16:00+05:30,112.3,11687.00,8021.00,19708.00,100.00,19608.00,
2025-01-27,TRADED,,2025-01-30,2025-01-28,2025-01-27T15:15:00+05:30,22816.85,22877.90,BELOW_SMA,22800,PE,CE,NIFTY_22800_PE_30_JAN_25.csv,2025-01-27T15:29:00+05:30,136.85,2025-01-28T09:16:00+05:30,79.25,NIFTY_22800_CE_30_JAN_25.csv,2025-01-27T15:29:00+05:30,174.45,2025-01-28T09:16:00+05:30,228.05,-7748.00,-7228.00,-14976.00,100.00,-15076.00,
2025-01-28,TRADED,,2025-01-30,2025-01-29,2025-01-28T15:15:00+05:30,22976.3,22987.69,BELOW_SMA,23000,PE,CE,NIFTY_23000_PE_30_JAN_25.csv,2025-01-28T15:29:00+05:30,144.0,2025-01-29T09:16:00+05:30,120.8,NIFTY_23000_CE_30_JAN_25.csv,2025-01-28T15:29:00+05:30,128.75,2025-01-29T09:16:00+05:30,145.1,-3276.00,-2385.50,-5661.50,100.00,-5761.50,
2025-01-29,TRADED,,2025-01-30,2025-01-30,2025-01-29T15:15:00+05:30,23176.2,23113.26,ABOVE_SMA,23200,CE,PE,NIFTY_23200_CE_30_JAN_25.csv,2025-01-29T15:29:00+05:30,128.9,2025-01-30T09:16:00+05:30,107.2,NIFTY_23200_PE_30_JAN_25.csv,2025-01-29T15:29:00+05:30,167.55,2025-01-30T09:16:00+05:30,177.15,-3081.00,-1508.00,-4589.00,100.00,-4689.00,
2025-01-30,TRADED,,2025-02-06,2025-01-31,2025-01-30T15:15:00+05:30,23297.95,23239.75,ABOVE_SMA,23300,CE,PE,NIFTY_23300_CE_06_FEB_25.csv,2025-01-30T15:29:00+05:30,344.0,2025-01-31T09:16:00+05:30,341.4,NIFTY_23300_PE_06_FEB_25.csv,2025-01-30T15:29:00+05:30,273.0,2025-01-31T09:16:00+05:30,293.14,-598.00,-2878.20,-3476.20,100.00,-3576.20,
2025-01-31,TRADED,,2025-02-06,2025-02-01,2025-01-31T15:15:00+05:30,23533.85,23442.03,ABOVE_SMA,23550,CE,PE,NIFTY_23550_CE_06_FEB_25.csv,2025-01-31T15:29:00+05:30,259.5,2025-02-01T09:16:00+05:30,248.05,NIFTY_23550_PE_06_FEB_25.csv,2025-01-31T15:29:00+05:30,222.7,2025-02-01T09:16:00+05:30,231.65,-1748.50,-1423.50,-3172.00,100.00,-3272.00,
2025-02-01,TRADED,,2025-02-06,2025-02-03,2025-02-01T15:15:00+05:30,23495.3,23508.35,BELOW_SMA,23500,PE,CE,NIFTY_23500_PE_06_FEB_25.csv,2025-02-01T15:29:00+05:30,143.75,2025-02-03T09:16:00+05:30,246.85,NIFTY_23500_CE_06_FEB_25.csv,2025-02-01T15:29:00+05:30,143.94,2025-02-03T09:16:00+05:30,68.45,13143.00,9553.70,22696.70,100.00,22596.70,
2025-02-03,TRADED,,2025-02-06,2025-02-04,2025-02-03T15:15:00+05:30,23359.7,23313.21,ABOVE_SMA,23350,CE,PE,NIFTY_23350_CE_06_FEB_25.csv,2025-02-03T15:29:00+05:30,133.6,2025-02-04T09:16:00+05:30,191.65,NIFTY_23350_PE_06_FEB_25.csv,2025-02-03T15:29:00+05:30,96.95,2025-02-04T09:16:00+05:30,48.4,7286.50,6051.50,13338.00,100.00,13238.00,
2025-02-04,TRADED,,2025-02-06,2025-02-05,2025-02-04T15:15:00+05:30,23707.7,23595.98,ABOVE_SMA,23700,CE,PE,NIFTY_23700_CE_06_FEB_25.csv,2025-02-04T15:29:00+05:30,91.6,2025-02-05T09:16:00+05:30,115.25,NIFTY_23700_PE_06_FEB_25.csv,2025-02-04T15:29:00+05:30,89.0,2025-02-05T09:16:00+05:30,71.75,2814.50,1982.50,4797.00,100.00,4697.00,
2025-02-05,TRADED,,2025-02-06,2025-02-06,2025-02-05T15:15:00+05:30,23686.75,23743.89,BELOW_SMA,23700,PE,CE,NIFTY_23700_PE_06_FEB_25.csv,2025-02-05T15:29:00+05:30,89.45,2025-02-06T09:16:00+05:30,59.45,NIFTY_23700_CE_06_FEB_25.csv,2025-02-05T15:29:00+05:30,55.0,2025-02-06T09:16:00+05:30,63.2,-4160.00,-1326.00,-5486.00,100.00,-5586.00,
2025-02-06,TRADED,,2025-02-13,2025-02-07,2025-02-06T15:15:00+05:30,23628.05,23611.54,ABOVE_SMA,23650,CE,PE,NIFTY_23650_CE_13_FEB_25.csv,2025-02-06T15:29:00+05:30,191.8,2025-02-07T09:16:00+05:30,194.0,NIFTY_23650_PE_13_FEB_25.csv,2025-02-06T15:29:00+05:30,183.5,2025-02-07T09:16:00+05:30,188.3,26.00,-884.00,-858.00,100.00,-958.00,
2025-02-07,TRADED,,2025-02-13,2025-02-10,2025-02-07T15:15:00+05:30,23563.15,23571.58,BELOW_SMA,23550,PE,CE,NIFTY_23550_PE_13_FEB_25.csv,2025-02-07T15:29:00+05:30,136.5,2025-02-10T09:16:00+05:30,172.5,NIFTY_23550_CE_13_FEB_25.csv,2025-02-07T15:29:00+05:30,165.0,2025-02-10T09:16:00+05:30,136.35,4420.00,3464.50,7884.50,100.00,7784.50,
2025-02-10,TRADED,,2025-02-13,2025-02-11,2025-02-10T15:15:00+05:30,23376.05,23378.53,BELOW_SMA,23400,PE,CE,NIFTY_23400_PE_13_FEB_25.csv,2025-02-10T15:29:00+05:30,134.35,2025-02-11T09:16:00+05:30,155.4,NIFTY_23400_CE_13_FEB_25.csv,2025-02-10T15:29:00+05:30,147.25,2025-02-11T09:16:00+05:30,127.0,2476.50,2372.50,4849.00,100.00,4749.00,
2025-02-11,TRADED,,2025-02-13,2025-02-12,2025-02-11T15:15:00+05:30,23070.5,23180.78,BELOW_SMA,23050,PE,CE,NIFTY_23050_PE_13_FEB_25.csv,2025-02-11T15:29:00+05:30,97.85,2025-02-12T09:16:00+05:30,99.75,NIFTY_23050_CE_13_FEB_25.csv,2025-02-11T15:29:00+05:30,133.69,2025-02-12T09:16:00+05:30,125.6,-13.00,791.70,778.70,100.00,678.70,
2025-02-12,TRADED,,2025-02-13,2025-02-13,2025-02-12T15:15:00+05:30,23057.8,22988.75,ABOVE_SMA,23050,CE,PE,NIFTY_23050_CE_13_FEB_25.csv,2025-02-12T15:29:00+05:30,89.0,2025-02-13T09:16:00+05:30,109.15,NIFTY_23050_PE_13_FEB_25.csv,2025-02-12T15:29:00+05:30,81.59,2025-02-13T09:16:00+05:30,55.9,2359.50,3079.70,5439.20,100.00,5339.20,
2025-02-13,TRADED,,2025-02-20,2025-02-14,2025-02-13T15:15:00+05:30,23019.4,23132.52,BELOW_SMA,23000,PE,CE,NIFTY_23000_PE_20_FEB_25.csv,2025-02-13T15:29:00+05:30,157.19,2025-02-14T09:16:00+05:30,111.0,NIFTY_23000_CE_20_FEB_25.csv,2025-02-13T15:29:00+05:30,211.15,2025-02-14T09:16:00+05:30,263.45,-6264.70,-7059.00,-13323.70,100.00,-13423.70,
2025-02-14,TRADED,,2025-02-20,2025-02-17,2025-02-14T15:15:00+05:30,22897.25,22902.97,BELOW_SMA,22900,PE,CE,NIFTY_22900_PE_20_FEB_25.csv,2025-02-14T15:29:00+05:30,146.44,2025-02-17T09:16:00+05:30,223.45,NIFTY_22900_CE_20_FEB_25.csv,2025-02-14T15:29:00+05:30,185.6,2025-02-17T09:16:00+05:30,127.4,9751.30,7306.00,17057.30,100.00,16957.30,
2025-02-17,TRADED,,2025-02-20,2025-02-18,2025-02-17T15:15:00+05:30,22963.5,22864.70,ABOVE_SMA,22950,CE,PE,NIFTY_22950_CE_20_FEB_25.csv,2025-02-17T15:29:00+05:30,177.75,2025-02-18T09:16:00+05:30,165.45,NIFTY_22950_PE_20_FEB_25.csv,2025-02-17T15:29:00+05:30,127.85,2025-02-18T09:16:00+05:30,140.0,-1859.00,-1839.50,-3698.50,100.00,-3798.50,
2025-02-18,TRADED,,2025-02-20,2025-02-19,2025-02-18T15:15:00+05:30,22923.15,22889.31,ABOVE_SMA,22900,CE,PE,NIFTY_22900_CE_20_FEB_25.csv,2025-02-18T15:29:00+05:30,132.0,2025-02-19T09:16:00+05:30,97.55,NIFTY_22900_PE_20_FEB_25.csv,2025-02-18T15:29:00+05:30,105.8,2025-02-19T09:16:00+05:30,137.15,-4738.50,-4335.50,-9074.00,100.00,-9174.00,
2025-02-19,TRADED,,2025-02-20,2025-02-20,2025-02-19T15:15:00+05:30,22914.4,22947.21,BELOW_SMA,22900,PE,CE,NIFTY_22900_PE_20_FEB_25.csv,2025-02-19T15:29:00+05:30,71.65,2025-02-20T09:16:00+05:30,91.6,NIFTY_22900_CE_20_FEB_25.csv,2025-02-19T15:29:00+05:30,95.75,2025-02-20T09:16:00+05:30,64.45,2333.50,3809.00,6142.50,100.00,6042.50,
2025-02-20,TRADED,,2025-02-27,2025-02-21,2025-02-20T15:15:00+05:30,22906.25,22894.60,ABOVE_SMA,22900,CE,PE,NIFTY_22900_CE_27_FEB_25.csv,2025-02-20T15:29:00+05:30,181.35,2025-02-21T09:16:00+05:30,164.05,NIFTY_22900_PE_27_FEB_25.csv,2025-02-20T15:29:00+05:30,146.05,2025-02-21T09:16:00+05:30,154.85,-2509.00,-1404.00,-3913.00,100.00,-4013.00,
2025-02-21,TRADED,,2025-02-27,2025-02-24,2025-02-21T15:15:00+05:30,22764.35,22786.86,BELOW_SMA,22750,PE,CE,NIFTY_22750_PE_27_FEB_25.csv,2025-02-21T15:29:00+05:30,117.5,2025-02-24T09:16:00+05:30,160.44,NIFTY_22750_CE_27_FEB_25.csv,2025-02-21T15:29:00+05:30,173.75,2025-02-24T09:16:00+05:30,114.2,5322.20,7481.50,12803.70,100.00,12703.70,
2025-02-24,TRADED,,2025-02-27,2025-02-25,2025-02-24T15:15:00+05:30,22548.85,22567.00,BELOW_SMA,22550,PE,CE,NIFTY_22550_PE_27_FEB_25.csv,2025-02-24T15:29:00+05:30,78.45,2025-02-25T09:16:00+05:30,78.3,NIFTY_22550_CE_27_FEB_25.csv,2025-02-24T15:29:00+05:30,134.5,2025-02-25T09:16:00+05:30,122.1,-279.50,1352.00,1072.50,100.00,972.50,
2025-02-25,TRADED,,2025-02-27,2025-02-27,2025-02-25T15:15:00+05:30,22526.3,22574.33,BELOW_SMA,22550,PE,CE,NIFTY_22550_PE_27_FEB_25.csv,2025-02-25T15:29:00+05:30,50.25,2025-02-27T09:16:00+05:30,26.35,NIFTY_22550_CE_27_FEB_25.csv,2025-02-25T15:29:00+05:30,67.2,2025-02-27T09:16:00+05:30,60.8,-3367.00,572.00,-2795.00,100.00,-2895.00,
2025-02-27,TRADED,,2025-03-06,2025-02-28,2025-02-27T15:15:00+05:30,22510.85,22539.35,BELOW_SMA,22500,PE,CE,NIFTY_22500_PE_06_MAR_25.csv,2025-02-27T15:29:00+05:30,108.65,2025-02-28T09:16:00+05:30,199.8,NIFTY_22500_CE_06_MAR_25.csv,2025-02-27T15:29:00+05:30,194.0,2025-02-28T09:16:00+05:30,110.0,11589.50,10660.00,22249.50,100.00,22149.50,
2025-02-28,TRADED,,2025-03-06,2025-03-03,2025-02-28T15:15:00+05:30,22127.4,22200.59,BELOW_SMA,22150,PE,CE,NIFTY_22150_PE_06_MAR_25.csv,2025-02-28T15:29:00+05:30,133.3,2025-03-03T09:16:00+05:30,93.55,NIFTY_22150_CE_06_MAR_25.csv,2025-02-28T15:29:00+05:30,162.05,2025-03-03T09:16:00+05:30,184.5,-5427.50,-3178.50,-8606.00,100.00,-8706.00,
2025-03-03,TRADED,,2025-03-06,2025-03-04,2025-03-03T15:15:00+05:30,22143.15,22092.64,ABOVE_SMA,22150,CE,PE,NIFTY_22150_CE_06_MAR_25.csv,2025-03-03T15:29:00+05:30,121.85,2025-03-04T09:16:00+05:30,50.05,NIFTY_22150_PE_06_MAR_25.csv,2025-03-03T15:29:00+05:30,109.35,2025-03-04T09:16:00+05:30,192.95,-9594.00,-11128.00,-20722.00,100.00,-20822.00,
2025-03-04,TRADED,,2025-03-06,2025-03-05,2025-03-04T15:15:00+05:30,22080.3,22065.48,ABOVE_SMA,22100,CE,PE,NIFTY_22100_CE_06_MAR_25.csv,2025-03-04T15:29:00+05:30,85.35,2025-03-05T09:16:00+05:30,88.05,NIFTY_22100_PE_06_MAR_25.csv,2025-03-04T15:29:00+05:30,109.45,2025-03-05T09:16:00+05:30,80.25,91.00,3536.00,3627.00,100.00,3527.00,
2025-03-05,TRADED,,2025-03-06,2025-03-06,2025-03-05T15:15:00+05:30,22346.65,22313.18,ABOVE_SMA,22350,CE,PE,NIFTY_22350_CE_06_MAR_25.csv,2025-03-05T15:29:00+05:30,74.25,2025-03-06T09:16:00+05:30,112.5,NIFTY_22350_PE_06_MAR_25.csv,2025-03-05T15:29:00+05:30,84.65,2025-03-06T09:16:00+05:30,23.2,4712.50,7728.50,12441.00,100.00,12341.00,
2025-03-06,TRADED,,2025-03-13,2025-03-07,2025-03-06T15:15:00+05:30,22529.2,22432.01,ABOVE_SMA,22550,CE,PE,NIFTY_22550_CE_13_MAR_25.csv,2025-03-06T15:29:00+05:30,154.0,2025-03-07T09:16:00+05:30,132.0,NIFTY_22550_PE_13_MAR_25.csv,2025-03-06T15:29:00+05:30,161.05,2025-03-07T09:16:00+05:30,176.85,-3120.00,-2314.00,-5434.00,100.00,-5534.00,
2025-03-07,TRADED,,2025-03-13,2025-03-10,2025-03-07T15:15:00+05:30,22536.95,22564.86,BELOW_SMA,22550,PE,CE,NIFTY_22550_PE_13_MAR_25.csv,2025-03-07T15:29:00+05:30,127.0,2025-03-10T09:16:00+05:30,130.1,NIFTY_22550_CE_13_MAR_25.csv,2025-03-07T15:29:00+05:30,150.15,2025-03-10T09:16:00+05:30,136.3,143.00,1540.50,1683.50,100.00,1583.50,
2025-03-10,TRADED,,2025-03-13,2025-03-11,2025-03-10T15:15:00+05:30,22441.1,22575.33,BELOW_SMA,22450,PE,CE,NIFTY_22450_PE_13_MAR_25.csv,2025-03-10T15:29:00+05:30,120.15,2025-03-11T09:16:00+05:30,177.35,NIFTY_22450_CE_13_MAR_25.csv,2025-03-10T15:29:00+05:30,118.3,2025-03-11T09:16:00+05:30,70.35,7176.00,5973.50,13149.50,100.00,13049.50,
2025-03-11,TRADED,,2025-03-13,2025-03-12,2025-03-11T15:15:00+05:30,22520.5,22453.13,ABOVE_SMA,22500,CE,PE,NIFTY_22500_CE_13_MAR_25.csv,2025-03-11T15:29:00+05:30,116.15,2025-03-12T09:16:00+05:30,118.8,NIFTY_22500_PE_13_MAR_25.csv,2025-03-11T15:29:00+05:30,90.9,2025-03-12T09:16:00+05:30,68.05,84.50,2710.50,2795.00,100.00,2695.00,
2025-03-12,TRADED,,2025-03-13,2025-03-13,2025-03-12T15:15:00+05:30,22468.5,22419.46,ABOVE_SMA,22450,CE,PE,NIFTY_22450_CE_13_MAR_25.csv,2025-03-12T15:29:00+05:30,81.35,2025-03-13T09:16:00+05:30,74.0,NIFTY_22450_PE_13_MAR_25.csv,2025-03-12T15:29:00+05:30,54.3,2025-03-13T09:16:00+05:30,34.95,-1215.50,2255.50,1040.00,100.00,940.00,
2025-03-13,TRADED,,2025-03-20,2025-03-17,2025-03-13T15:15:00+05:30,22383.3,22455.65,BELOW_SMA,22400,PE,CE,NIFTY_22400_PE_20_MAR_25.csv,2025-03-13T15:29:00+05:30,130.85,2025-03-17T09:16:00+05:30,75.55,NIFTY_22400_CE_20_MAR_25.csv,2025-03-13T15:29:00+05:30,137.4,2025-03-17T09:16:00+05:30,199.95,-7449.00,-8391.50,-15840.50,100.00,-15940.50,
2025-03-17,TRADED,,2025-03-20,2025-03-18,2025-03-17T15:15:00+05:30,22515.25,22501.77,ABOVE_SMA,22500,CE,PE,NIFTY_22500_CE_20_MAR_25.csv,2025-03-17T15:29:00+05:30,135.94,2025-03-18T09:16:00+05:30,189.0,NIFTY_22500_PE_20_MAR_25.csv,2025-03-17T15:29:00+05:30,94.6,2025-03-18T09:16:00+05:30,61.8,6637.80,4004.00,10641.80,100.00,10541.80,
2025-03-18,TRADED,,2025-03-20,2025-03-19,2025-03-18T15:15:00+05:30,22848.75,22759.58,ABOVE_SMA,22850,CE,PE,NIFTY_22850_CE_20_MAR_25.csv,2025-03-18T15:29:00+05:30,100.6,2025-03-19T09:16:00+05:30,97.5,NIFTY_22850_PE_20_MAR_25.csv,2025-03-18T15:29:00+05:30,86.25,2025-03-19T09:16:00+05:30,80.5,-663.00,487.50,-175.50,100.00,-275.50,
2025-03-19,TRADED,,2025-03-20,2025-03-20,2025-03-19T15:15:00+05:30,22911.8,22901.21,ABOVE_SMA,22900,CE,PE,NIFTY_22900_CE_20_MAR_25.csv,2025-03-19T15:29:00+05:30,98.95,2025-03-20T09:16:00+05:30,127.75,NIFTY_22900_PE_20_MAR_25.csv,2025-03-19T15:29:00+05:30,62.2,2025-03-20T09:16:00+05:30,31.2,3484.00,3770.00,7254.00,100.00,7154.00,
2025-03-20,TRADED,,2025-03-27,2025-03-21,2025-03-20T15:15:00+05:30,23165.7,23106.73,ABOVE_SMA,23150,CE,PE,NIFTY_23150_CE_27_MAR_25.csv,2025-03-20T15:29:00+05:30,155.6,2025-03-21T09:16:00+05:30,157.6,NIFTY_23150_PE_27_MAR_25.csv,2025-03-20T15:29:00+05:30,117.25,2025-03-21T09:16:00+05:30,116.55,0.00,-169.00,-169.00,100.00,-269.00,
2025-03-21,TRADED,,2025-03-27,2025-03-24,2025-03-21T15:15:00+05:30,23355.65,23333.50,ABOVE_SMA,23350,CE,PE,NIFTY_23350_CE_27_MAR_25.csv,2025-03-21T15:29:00+05:30,143.35,2025-03-24T09:16:00+05:30,207.9,NIFTY_23350_PE_27_MAR_25.csv,2025-03-21T15:29:00+05:30,110.1,2025-03-24T09:16:00+05:30,70.09,8131.50,4941.30,13072.80,100.00,12972.80,
2025-03-24,TRADED,,2025-03-27,2025-03-25,2025-03-24T15:15:00+05:30,23674.15,23619.53,ABOVE_SMA,23650,CE,PE,NIFTY_23650_CE_27_MAR_25.csv,2025-03-24T15:29:00+05:30,169.75,2025-03-25T09:16:00+05:30,211.9,NIFTY_23650_PE_27_MAR_25.csv,2025-03-24T15:29:00+05:30,102.75,2025-03-25T09:16:00+05:30,84.75,5219.50,2080.00,7299.50,100.00,7199.50,
2025-03-25,TRADED,,2025-03-27,2025-03-26,2025-03-25T15:15:00+05:30,23605.95,23711.13,BELOW_SMA,23600,PE,CE,NIFTY_23600_PE_27_MAR_25.csv,2025-03-25T15:29:00+05:30,80.0,2025-03-26T09:16:00+05:30,66.4,NIFTY_23600_CE_27_MAR_25.csv,2025-03-25T15:29:00+05:30,150.65,2025-03-26T09:16:00+05:30,159.3,-2028.00,-1384.50,-3412.50,100.00,-3512.50,
