entry_date,status,skip_reason,expiry_date,next_trading_day,spot_signal_timestamp,spot_signal_close,spot_sma_25,spot_signal_relation,atm_strike,bought_side,sold_side,bought_contract_name,bought_option_entry_timestamp,bought_option_entry_open,bought_option_exit_timestamp,bought_option_exit_open,sold_contract_name,sold_option_entry_timestamp,sold_option_entry_open,sold_option_exit_timestamp,sold_option_exit_open,bought_gross_pnl,sold_gross_pnl,gross_pnl,brokerage,net_pnl,remarks
2025-01-01,TRADED,,2025-01-02,2025-01-02,2025-01-01T15:15:00+05:30,23758.7,23718.99,ABOVE_SMA,23750,CE,PE,NIFTY_23750_CE_02_JAN_25.csv,2025-01-01T15:29:00+05:30,146.44,2025-01-02T09:16:00+05:30,136.69,NIFTY_23750_PE_02_JAN_25.csv,2025-01-01T15:29:00+05:30,95.9,2025-01-02T09:16:00+05:30,85.45,-1527.50,1098.50,-429.00,100.00,-529.00,
2025-01-02,TRADED,,2025-01-09,2025-01-03,2025-01-02T15:15:00+05:30,24167.95,24012.97,ABOVE_SMA,24150,CE,PE,NIFTY_24150_CE_09_JAN_25.csv,2025-01-02T15:29:00+05:30,201.3,2025-01-03T09:16:00+05:30,183.9,NIFTY_24150_PE_09_JAN_25.csv,2025-01-02T15:29:00+05:30,168.6,2025-01-03T09:16:00+05:30,188.8,-2522.00,-2886.00,-5408.00,100.00,-5508.00,
2025-01-03,TRADED,,2025-01-09,2025-01-06,2025-01-03T15:15:00+05:30,23990.15,24065.33,BELOW_SMA,24000,PE,CE,NIFTY_24000_PE_09_JAN_25.csv,2025-01-03T15:29:00+05:30,164.3,2025-01-06T09:16:00+05:30,138.25,NIFTY_24000_CE_09_JAN_25.csv,2025-01-03T15:29:00+05:30,147.94,2025-01-06T09:16:00+05:30,165.9,-3646.50,-2594.80,-6241.30,100.00,-6341.30,
2025-01-06,TRADED,,2025-01-09,2025-01-07,2025-01-06T15:15:00+05:30,23629.6,23748.89,BELOW_SMA,23650,PE,CE,NIFTY_23650_PE_09_JAN_25.csv,2025-01-06T15:29:00+05:30,196.85,2025-01-07T09:16:00+05:30,126.3,NIFTY_23650_CE_09_JAN_25.csv,2025-01-06T15:29:00+05:30,185.05,2025-01-07T09:16:00+05:30,223.6,-9431.50,-5271.50,-14703.00,100.00,-14803.00,
2025-01-07,TRADED,,2025-01-09,2025-01-08,2025-01-07T15:15:00+05:30,23694.6,23727.07,BELOW_SMA,23700,PE,CE,NIFTY_23700_PE_09_JAN_25.csv,2025-01-07T15:29:00+05:30,118.85,2025-01-08T09:16:00+05:30,120.25,NIFTY_23700_CE_09_JAN_25.csv,2025-01-07T15:29:00+05:30,117.65,2025-01-08T09:16:00+05:30,103.7,-78.00,1553.50,1475.50,100.00,1375.50,
2025-01-08,TRADED,,2025-01-09,2025-01-09,2025-01-08T15:15:00+05:30,23675.2,23611.72,ABOVE_SMA,23700,CE,PE,NIFTY_23700_CE_09_JAN_25.csv,2025-01-08T15:29:00+05:30,56.6,2025-01-09T09:16:00+05:30,25.25,NIFTY_23700_PE_09_JAN_25.csv,2025-01-08T15:29:00+05:30,77.55,2025-01-09T09:16:00+05:30,103.65,-4335.50,-3653.00,-7988.50,100.00,-8088.50,
2025-01-09,TRADED,,2025-01-16,2025-01-10,2025-01-09T15:15:00+05:30,23557.2,23561.38,BELOW_SMA,23550,PE,CE,NIFTY_23550_PE_16_JAN_25.csv,2025-01-09T15:29:00+05:30,151.25,2025-01-10T09:16:00+05:30,163.8,NIFTY_23550_CE_16_JAN_25.csv,2025-01-09T15:29:00+05:30,209.0,2025-01-10T09:16:00+05:30,188.85,1371.50,2359.50,3731.00,100.00,3631.00,
2025-01-10,TRADED,,2025-01-16,2025-01-13,2025-01-10T15:15:00+05:30,23437.35,23475.84,BELOW_SMA,23450,PE,CE,NIFTY_23450_PE_16_JAN_25.csv,2025-01-10T15:29:00+05:30,152.25,2025-01-13T09:16:00+05:30,272.14,NIFTY_23450_CE_16_JAN_25.csv,2025-01-10T15:29:00+05:30,165.35,2025-01-13T09:16:00+05:30,81.15,15325.70,10686.00,26011.70,100.00,25911.70,
2025-01-13,TRADED,,2025-01-16,2025-01-14,2025-01-13T15:15:00+05:30,23088.7,23198.22,BELOW_SMA,23100,PE,CE,NIFTY_23100_PE_16_JAN_25.csv,2025-01-13T15:29:00+05:30,115.85,2025-01-14T09:16:00+05:30,68.4,NIFTY_23100_CE_16_JAN_25.csv,2025-01-13T15:29:00+05:30,154.19,2025-01-14T09:16:00+05:30,195.3,-6428.50,-5604.30,-12032.80,100.00,-12132.80,
2025-01-14,TRADED,,2025-01-16,2025-01-15,2025-01-14T15:15:00+05:30,23206.85,23183.34,ABOVE_SMA,23200,CE,PE,NIFTY_23200_CE_16_JAN_25.csv,2025-01-14T15:29:00+05:30,114.85,2025-01-15T09:16:00+05:30,114.2,NIFTY_23200_PE_16_JAN_25.csv,2025-01-14T15:29:00+05:30,63.75,2025-01-15T09:16:00+05:30,57.95,-344.50,494.00,149.50,100.00,49.50,
2025-01-15,TRADED,,2025-01-16,2025-01-16,2025-01-15T15:15:00+05:30,23228.1,23219.45,ABOVE_SMA,23250,CE,PE,NIFTY_23250_CE_16_JAN_25.csv,2025-01-15T15:29:00+05:30,39.4,2025-01-16T09:16:00+05:30,87.35,NIFTY_23250_PE_16_JAN_25.csv,2025-01-15T15:29:00+05:30,72.8,2025-01-16T09:16:00+05:30,19.55,5973.50,6662.50,12636.00,100.00,12536.00,
2025-01-16,TRADED,,2025-01-23,2025-01-17,2025-01-16T15:15:00+05:30,23350.8,23312.68,ABOVE_SMA,23350,CE,PE,NIFTY_23350_CE_23_JAN_25.csv,2025-01-16T15:29:00+05:30,193.3,2025-01-17T09:16:00+05:30,124.15,NIFTY_23350_PE_23_JAN_25.csv,2025-01-16T15:29:00+05:30,176.6,2025-01-17T09:16:00+05:30,236.55,-9249.50,-8053.50,-17303.00,100.00,-17403.00,
2025-01-17,TRADED,,2025-01-23,2025-01-20,2025-01-17T15:15:00+05:30,23203.1,23197.05,ABOVE_SMA,23200,CE,PE,NIFTY_23200_CE_23_JAN_25.csv,2025-01-17T15:29:00+05:30,181.45,2025-01-20T09:16:00+05:30,198.9,NIFTY_23200_PE_23_JAN_25.csv,2025-01-17T15:29:00+05:30,148.94,2025-01-20T09:16:00+05:30,120.75,2008.50,3404.70,5413.20,100.00,5313.20,
2025-01-20,TRADED,,2025-01-23,2025-01-21,2025-01-20T15:15:00+05:30,23337.05,23312.84,ABOVE_SMA,23350,CE,PE,NIFTY_23350_CE_23_JAN_25.csv,2025-01-20T15:29:00+05:30,142.94,2025-01-21T09:16:00+05:30,153.0,NIFTY_23350_PE_23_JAN_25.csv,2025-01-20T15:29:00+05:30,133.8,2025-01-21T09:16:00+05:30,111.6,1047.80,2626.00,3673.80,100.00,3573.80,
