period,days,skipped_days,trades,skipped_rows,long_trades,short_trades,stop_exits,day_close_exits,winning_days,losing_days,break_even_days,total_points,total_rupees,average_points,max_profit_date,max_profit_points,max_profit_rupees,max_loss_date,max_loss_points,max_loss_rupees,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_rupees
2022,166,2,499,2,263,236,385,114,83,81,0,-157.18,-10216.70,-0.96,2022-08-30,307.90,20013.50,2022-05-09,-324.78,-21110.70,8,10,1369.42,89012.30
2023,246,1,791,1,412,379,618,173,127,118,0,1592.09,103485.85,6.50,2023-10-23,265.75,17273.75,2023-01-11,-256.94,-16701.10,6,6,878.96,57132.40
2024,249,3,802,3,415,387,645,157,111,135,0,2464.49,160191.85,10.02,2024-06-04,531.40,34541.00,2024-10-21,-234.04,-15212.60,4,8,1282.27,83347.55
2025,249,1,799,1,424,375,618,181,134,114,0,4051.83,263368.95,16.34,2025-01-02,420.05,27303.25,2025-05-14,-269.53,-17519.45,8,6,1218.20,79183.00
2026,82,0,227,0,114,113,167,60,43,39,0,721.20,46878.00,8.80,2026-04-06,380.30,24719.50,2026-01-22,-340.44,-22128.60,9,5,1436.58,93377.70
