entry_date,status,skip_reason,index,active_expiry,spot,atm_strike,ce_strike,ce_entry_price,ce_stop_price,ce_exit_price,ce_exit_timestamp,ce_exit_reason,ce_points_pnl,ce_gross_pnl,ce_net_pnl,ce_failure_reason,pe_strike,pe_entry_price,pe_stop_price,pe_exit_price,pe_exit_timestamp,pe_exit_reason,pe_points_pnl,pe_gross_pnl,pe_net_pnl,pe_failure_reason,lot_size,lots,total_qty,combined_entry_credit,gross_pnl,brokerage,net_pnl,remarks,cumulative_pnl
2024-10-22,TRADED,,NIFTY,2024-10-24,24798.65,24800,25000,41.15,82.30,8.40,2024-10-22T15:20:00+05:30,day_close,30.75,768.75,718.75,,24600,40.75,81.50,81.50,2024-10-22T10:26:00+05:30,stop_loss,-42.75,-1068.75,-1118.75,,25,1,25,81.90,-300.00,100.00,-400.00,,-3576.25
2024-10-23,TRADED,,NIFTY,2024-10-24,24378.15,24400,24600,73.75,147.50,18.75,2024-10-23T15:20:00+05:30,day_close,53.00,1325.00,1275.00,,24200,28.95,57.90,15.45,2024-10-23T15:20:00+05:30,day_close,11.50,287.50,237.50,,25,1,25,102.70,1612.50,100.00,1512.50,,-2063.75
2024-10-24,TRADED,,NIFTY,2024-10-24,24412.7,24400,24600,10.45,20.90,0.05,2024-10-24T15:20:00+05:30,day_close,8.40,210.00,160.00,,24200,8.45,16.90,0.05,2024-10-24T15:20:00+05:30,day_close,6.40,160.00,110.00,,25,1,25,18.90,370.00,100.00,270.00,,-1793.75
2024-10-25,TRADED,,SENSEX,2024-10-31,80300,80300,80900,237.0,474.00,111.60,2024-10-25T15:20:00+05:30,day_close,123.40,1234.00,1184.00,,79700,307.7,615.40,615.40,2024-10-25T10:48:00+05:30,stop_loss,-309.70,-3097.00,-3147.00,,10,1,10,544.70,-1863.00,100.00,-1963.00,,-3756.75
2024-10-28,TRADED,,SENSEX,2024-10-31,79700,79700,80300,206.2,412.40,412.40,2024-10-28T10:36:00+05:30,stop_loss,-208.20,-2082.00,-2132.00,,79100,255.7,511.40,511.40,2024-10-28T09:31:00+05:30,stop_loss,-257.70,-2577.00,-2627.00,,10,1,10,461.90,-4659.00,100.00,-4759.00,,-8515.75
2024-10-29,TRADED,,SENSEX,2024-10-31,79800,79800,80400,156.75,313.50,313.50,2024-10-29T14:09:00+05:30,stop_loss,-158.75,-1587.50,-1637.50,,79200,189.15,378.30,51.85,2024-10-29T15:20:00+05:30,day_close,135.30,1353.00,1303.00,,10,1,10,345.90,-234.50,100.00,-334.50,,-8850.25
2024-10-30,TRADED,,SENSEX,2024-10-31,80200,80200,80800,105.45,210.90,53.45,2024-10-30T15:20:00+05:30,day_close,50.00,500.00,450.00,,79600,132.75,265.50,96.70,2024-10-30T15:20:00+05:30,day_close,34.05,340.50,290.50,,10,1,10,238.20,840.50,100.00,740.50,,-8109.75
2024-10-31,TRADED,,SENSEX,2024-10-31,79700,79700,80300,42.7,85.40,0.25,2024-10-31T15:20:00+05:30,day_close,40.45,404.50,354.50,,79100,40.2,80.40,0.10,2024-10-31T15:20:00+05:30,day_close,38.10,381.00,331.00,,10,1,10,82.90,785.50,100.00,685.50,,-7424.25
2024-11-01,SKIPPED,missing_nifty_spot,NIFTY,2024-11-07,,,,,,,,,0.00,0.00,0.00,,,,,,,,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,No 09:15 candle in spot file for 2024-11-01.,-7424.25
2024-11-04,TRADED,,NIFTY,2024-11-07,24315.75,24300,24500,52.15,104.30,32.05,2024-11-04T15:20:00+05:30,day_close,18.10,452.50,402.50,,24100,208.85,417.70,234.80,2024-11-04T15:20:00+05:30,day_close,-27.95,-698.75,-748.75,,25,1,25,261.00,-246.25,100.00,-346.25,,-7770.50
2024-11-05,TRADED,,NIFTY,2024-11-07,23916.5,23900,24100,135.6,271.20,201.05,2024-11-05T15:20:00+05:30,day_close,-67.45,-1686.25,-1736.25,,23700,91.5,183.00,37.65,2024-11-05T15:20:00+05:30,day_close,51.85,1296.25,1246.25,,25,1,25,227.10,-390.00,100.00,-490.00,,-8260.50
2024-11-06,TRADED,,NIFTY,2024-11-07,24308.75,24300,24500,55.25,110.50,110.50,2024-11-06T14:23:00+05:30,stop_loss,-57.25,-1431.25,-1481.25,,24100,33.9,67.80,5.65,2024-11-06T15:20:00+05:30,day_close,26.25,656.25,606.25,,25,1,25,89.15,-775.00,100.00,-875.00,,-9135.50
2024-11-07,TRADED,,NIFTY,2024-11-07,24489.6,24500,24700,4.75,9.50,0.05,2024-11-07T15:20:00+05:30,day_close,2.70,67.50,17.50,,24300,46.75,93.50,93.50,2024-11-07T10:00:00+05:30,stop_loss,-48.75,-1218.75,-1268.75,,25,1,25,51.50,-1151.25,100.00,-1251.25,,-10386.75
2024-11-08,TRADED,,SENSEX,2024-11-08,79500,79500,80100,82.2,164.40,164.40,2024-11-08T09:47:00+05:30,stop_loss,-84.20,-842.00,-892.00,,78900,96.75,193.50,0.10,2024-11-08T15:20:00+05:30,day_close,94.65,946.50,896.50,,10,1,10,178.95,104.50,100.00,4.50,,-10382.25
2024-11-11,TRADED,,NIFTY,2024-11-14,24087.25,24100,24300,54.4,108.80,108.80,2024-11-11T10:30:00+05:30,stop_loss,-56.40,-1410.00,-1460.00,,23900,64.45,128.90,39.35,2024-11-11T15:20:00+05:30,day_close,23.10,577.50,527.50,,25,1,25,118.85,-832.50,100.00,-932.50,,-11314.75
2024-11-12,TRADED,,NIFTY,2024-11-14,24225.8,24250,24450,24.0,48.00,6.90,2024-11-12T15:20:00+05:30,day_close,15.10,377.50,327.50,,24050,62.35,124.70,124.70,2024-11-12T12:47:00+05:30,stop_loss,-64.35,-1608.75,-1658.75,,25,1,25,86.35,-1231.25,100.00,-1331.25,,-12646.00
