period,days,trades,skipped,winning_trades,losing_trades,break_even_trades,total_points,total_rupees,average_points,max_profit_date,max_profit_points,max_profit_rupees,max_loss_date,max_loss_points,max_loss_rupees,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_rupees
2022,166,23,143,16,7,0,731.50,47547.50,31.80,2022-11-10,235.50,15307.50,2022-06-09,-197.80,-12857.00,6,3,383.70,24940.50
2023,246,30,216,18,12,0,795.30,51694.50,26.51,2023-12-13,173.00,11245.00,2023-03-17,-57.10,-3711.50,4,2,57.10,3711.50
2024,249,28,221,18,9,1,1041.05,67668.25,37.18,2024-05-31,787.45,51184.25,2024-10-01,-359.70,-23380.50,5,3,359.70,23380.50
2025,249,22,227,13,8,1,1027.35,66777.75,46.70,2025-04-11,523.85,34050.25,2025-08-07,-82.40,-5356.00,5,2,106.30,6909.50
2026,82,7,75,3,4,0,625.10,40631.50,89.30,2026-04-07,725.20,47138.00,2026-04-21,-109.75,-7133.75,2,2,109.75,7133.75
