period,days,trades,skipped,winning_trades,losing_trades,break_even_trades,total_points,total_rupees,average_points,max_profit_date,max_profit_points,max_profit_rupees,max_loss_date,max_loss_points,max_loss_rupees,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_rupees
2025-04,19,3,16,2,0,1,732.60,47619.00,244.20,2025-04-11,523.85,34050.25,2025-04-15,0.00,0.00,2,0,0.00,0.00
2025-05,21,3,18,1,2,0,-64.75,-4208.75,-21.58,2025-05-14,8.70,565.50,2025-05-29,-68.25,-4436.25,1,2,73.45,4774.25
2025-06,21,0,21,0,0,0,0.00,0.00,0.00,,,,,,,0,0,0.00,0.00
2025-07,23,2,21,2,0,0,133.35,8667.75,66.67,2025-07-21,73.35,4767.75,2025-07-29,60.00,3900.00,2,0,0.00,0.00
2025-08,19,2,17,0,2,0,-106.30,-6909.50,-53.15,2025-08-19,-23.90,-1553.50,2025-08-07,-82.40,-5356.00,0,2,106.30,6909.50
2025-09,22,2,20,2,0,0,223.10,14501.50,111.55,2025-09-09,112.20,7293.00,2025-09-17,110.90,7208.50,2,0,0.00,0.00
2025-10,21,1,20,1,0,0,16.60,1079.00,16.60,2025-10-28,16.60,1079.00,2025-10-28,16.60,1079.00,1,0,0.00,0.00
2025-11,19,2,17,2,0,0,136.25,8856.25,68.12,2025-11-11,128.75,8368.75,2025-11-17,7.50,487.50,2,0,0.00,0.00
2025-12,22,1,21,0,1,0,-57.10,-3711.50,-57.10,2025-12-17,-57.10,-3711.50,2025-12-17,-57.10,-3711.50,0,1,57.10,3711.50
2026-01,20,4,16,1,3,0,-14.95,-971.75,-3.74,2026-01-27,24.75,1608.75,2026-01-09,-34.65,-2252.25,1,2,36.65,2382.25
2026-02,21,0,21,0,0,0,0.00,0.00,0.00,,,,,,,0,0,0.00,0.00
2026-03,19,0,19,0,0,0,0.00,0.00,0.00,,,,,,,0,0,0.00,0.00
2026-04,20,3,17,2,1,0,640.05,41603.25,213.35,2026-04-07,725.20,47138.00,2026-04-21,-109.75,-7133.75,2,1,109.75,7133.75
2026-05,2,0,2,0,0,0,0.00,0.00,0.00,,,,,,,0,0,0.00,0.00
