entry_date,status,skip_reason,expiry_date,next_trading_day,spot_entry_timestamp,spot_entry_open,atm_strike,ce_entry_timestamp,ce_entry_open,ce_exit_timestamp,ce_exit_open,pe_entry_timestamp,pe_entry_open,pe_exit_timestamp,pe_exit_open,gross_pnl,brokerage,net_pnl,adjustments,remarks
2025-01-22,TRADED,,2025-01-23,2025-01-23,2025-01-22T15:20:00+05:30,23155.6,23150,2025-01-22T15:20:00+05:30,68.4,2025-01-23T09:16:00+05:30,28.85,2025-01-22T15:20:00+05:30,55.3,2025-01-23T09:16:00+05:30,65.25,29.60,100.00,-70.40,0,
2025-01-23,TRADED,,2025-01-30,2025-01-24,2025-01-23T15:20:00+05:30,23200.4,23200,2025-01-23T15:20:00+05:30,222.6,2025-01-24T09:16:00+05:30,230.15,2025-01-23T15:20:00+05:30,157.0,2025-01-24T09:16:00+05:30,155.1,-5.65,100.00,-105.65,0,
2025-01-24,TRADED,,2025-01-30,2025-01-27,2025-01-24T15:20:00+05:30,23098.6,23100,2025-01-24T15:20:00+05:30,184.45,2025-01-27T09:16:00+05:30,112.3,2025-01-24T15:20:00+05:30,151.55,2025-01-27T09:16:00+05:30,250.9,-27.20,100.00,-127.20,0,
2025-01-27,TRADED,,2025-01-30,2025-01-28,2025-01-27T15:20:00+05:30,22829.15,22850,2025-01-27T15:20:00+05:30,155.55,2025-01-28T09:16:00+05:30,196.8,2025-01-27T15:20:00+05:30,152.19,2025-01-28T09:16:00+05:30,96.8,14.14,100.00,-85.86,0,
2025-01-28,TRADED,,2025-01-30,2025-01-29,2025-01-28T15:20:00+05:30,22971.95,22950,2025-01-28T15:20:00+05:30,160.75,2025-01-29T09:16:00+05:30,175.0,2025-01-28T15:20:00+05:30,119.95,2025-01-29T09:16:00+05:30,96.8,8.90,100.00,-91.10,0,
2025-01-29,TRADED,,2025-01-30,2025-01-30,2025-01-29T15:20:00+05:30,23162.5,23150,2025-01-29T15:20:00+05:30,143.85,2025-01-30T09:16:00+05:30,133.4,2025-01-29T15:20:00+05:30,148.25,2025-01-30T09:16:00+05:30,153.0,5.70,100.00,-94.30,0,
2025-01-30,TRADED,,2025-02-06,2025-01-31,2025-01-30T15:20:00+05:30,23267.4,23250,2025-01-30T15:20:00+05:30,354.6,2025-01-31T09:16:00+05:30,370.05,2025-01-30T15:20:00+05:30,262.64,2025-01-31T09:16:00+05:30,272.7,-25.51,100.00,-125.51,0,
2025-01-31,TRADED,,2025-02-06,2025-02-01,2025-01-31T15:20:00+05:30,23516.05,23500,2025-01-31T15:20:00+05:30,284.6,2025-02-01T09:16:00+05:30,275.39,2025-01-31T15:20:00+05:30,215.0,2025-02-01T09:16:00+05:30,209.25,14.96,100.00,-85.04,0,
2025-02-01,TRADED,,2025-02-06,2025-02-03,2025-02-01T15:20:00+05:30,23476.95,23500,2025-02-01T15:20:00+05:30,145.44,2025-02-03T09:16:00+05:30,68.45,2025-02-01T15:20:00+05:30,146.19,2025-02-03T09:16:00+05:30,246.85,-23.67,100.00,-123.67,0,
2025-02-03,TRADED,,2025-02-06,2025-02-04,2025-02-03T15:20:00+05:30,23357.7,23350,2025-02-03T15:20:00+05:30,134.6,2025-02-04T09:16:00+05:30,191.65,2025-02-03T15:20:00+05:30,99.35,2025-02-04T09:16:00+05:30,48.4,-6.10,100.00,-106.10,0,
2025-02-04,TRADED,,2025-02-06,2025-02-05,2025-02-04T15:20:00+05:30,23738.35,23750,2025-02-04T15:20:00+05:30,70.0,2025-02-05T09:16:00+05:30,88.1,2025-02-04T15:20:00+05:30,122.7,2025-02-05T09:16:00+05:30,95.05,9.55,100.00,-90.45,0,
2025-02-05,TRADED,,2025-02-06,2025-02-06,2025-02-05T15:20:00+05:30,23699.05,23700,2025-02-05T15:20:00+05:30,65.3,2025-02-06T09:16:00+05:30,63.2,2025-02-05T15:20:00+05:30,78.95,2025-02-06T09:16:00+05:30,59.45,21.60,100.00,-78.40,0,
2025-02-06,TRADED,,2025-02-13,2025-02-07,2025-02-06T15:20:00+05:30,23614.85,23600,2025-02-06T15:20:00+05:30,216.5,2025-02-07T09:16:00+05:30,221.4,2025-02-06T15:20:00+05:30,160.4,2025-02-07T09:16:00+05:30,164.15,-8.65,100.00,-108.65,0,
2025-02-07,TRADED,,2025-02-13,2025-02-10,2025-02-07T15:20:00+05:30,23576.9,23600,2025-02-07T15:20:00+05:30,143.3,2025-02-10T09:16:00+05:30,113.7,2025-02-07T15:20:00+05:30,159.25,2025-02-10T09:16:00+05:30,200.9,-12.05,100.00,-112.05,0,
2025-02-10,TRADED,,2025-02-13,2025-02-11,2025-02-10T15:20:00+05:30,23379.3,23400,2025-02-10T15:20:00+05:30,145.44,2025-02-11T09:16:00+05:30,127.0,2025-02-10T15:20:00+05:30,130.0,2025-02-11T09:16:00+05:30,155.4,-6.96,100.00,-106.96,0,
2025-02-11,TRADED,,2025-02-13,2025-02-12,2025-02-11T15:20:00+05:30,23075.95,23100,2025-02-11T15:20:00+05:30,118.9,2025-02-12T09:16:00+05:30,99.55,2025-02-11T15:20:00+05:30,112.0,2025-02-12T09:16:00+05:30,123.0,8.35,100.00,-91.65,0,
2025-02-12,TRADED,,2025-02-13,2025-02-13,2025-02-12T15:20:00+05:30,23045.75,23050,2025-02-12T15:20:00+05:30,87.35,2025-02-13T09:16:00+05:30,109.15,2025-02-12T15:20:00+05:30,87.1,2025-02-13T09:16:00+05:30,55.9,9.40,100.00,-90.60,0,
2025-02-13,TRADED,,2025-02-20,2025-02-14,2025-02-13T15:20:00+05:30,23030.05,23050,2025-02-13T15:20:00+05:30,194.85,2025-02-14T09:16:00+05:30,230.0,2025-02-13T15:20:00+05:30,169.6,2025-02-14T09:16:00+05:30,128.55,5.90,100.00,-94.10,0,
2025-02-14,TRADED,,2025-02-20,2025-02-17,2025-02-14T15:20:00+05:30,22932.9,22950,2025-02-14T15:20:00+05:30,175.5,2025-02-17T09:16:00+05:30,109.2,2025-02-14T15:20:00+05:30,159.25,2025-02-17T09:16:00+05:30,252.0,-26.45,100.00,-126.45,0,
2025-02-17,TRADED,,2025-02-20,2025-02-18,2025-02-17T15:20:00+05:30,22961.65,22950,2025-02-17T15:20:00+05:30,171.9,2025-02-18T09:16:00+05:30,165.45,2025-02-17T15:20:00+05:30,135.1,2025-02-18T09:16:00+05:30,140.0,1.55,100.00,-98.45,0,
