entry_date,status,skip_reason,expiry_date,trades,ce_trades,pe_trades,stopped_trades,day_close_trades,skipped_signals,orders_executed,gross_pnl,brokerage,net_pnl,max_consec_sl_in_day,remarks
2026-01-23,TRADED,,2026-01-27,2,1,1,1,1,0,4,18200.00,100.00,18100.00,1,
2026-01-27,SKIPPED,random_skip,2026-01-27,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2026-01-28,TRADED,,2026-02-03,4,1,3,3,1,0,8,-25837.50,200.00,-26037.50,3,
2026-01-29,TRADED,,2026-02-03,5,1,4,4,1,0,10,4420.00,250.00,4170.00,4,
2026-01-30,TRADED,,2026-02-03,5,2,3,4,1,0,10,-25138.75,250.00,-25388.75,4,
2026-02-01,SKIPPED,random_skip,2026-02-03,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2026-02-02,SKIPPED,random_skip,2026-02-03,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2026-02-03,TRADED,,2026-02-03,1,0,1,1,0,0,2,22912.50,50.00,22862.50,1,
2026-02-04,SKIPPED,random_skip,2026-02-10,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2026-02-05,SKIPPED,random_skip,2026-02-10,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2026-02-06,SKIPPED,random_skip,2026-02-10,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2026-02-09,SKIPPED,random_skip,2026-02-10,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2026-02-10,TRADED,,2026-02-10,5,2,3,5,0,0,10,4143.75,250.00,3893.75,5,
2026-02-11,TRADED,,2026-02-17,12,5,7,11,1,0,24,-12480.00,600.00,-13080.00,11,
2026-02-12,TRADED,,2026-02-17,1,1,0,0,1,0,2,10205.00,50.00,10155.00,0,
2026-02-13,SKIPPED,random_skip,2026-02-17,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2026-02-16,TRADED,,2026-02-17,6,4,2,5,1,0,12,-9262.50,300.00,-9562.50,5,
2026-02-17,TRADED,,2026-02-17,3,1,2,3,0,0,6,6370.00,150.00,6220.00,3,
2026-02-18,TRADED,,2026-02-24,7,3,4,6,1,0,14,-12171.25,350.00,-12521.25,6,
2026-02-19,SKIPPED,random_skip,2026-02-24,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2026-02-20,SKIPPED,random_skip,2026-02-24,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2026-02-23,SKIPPED,random_skip,2026-02-24,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2026-02-24,SKIPPED,random_skip,2026-02-24,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2026-02-25,TRADED,,2026-03-02,2,1,1,1,1,0,4,-2713.75,100.00,-2813.75,1,
