entry_date,day_of_week,status,skip_reason,expiry_date,expiry_type,spot_entry_timestamp,spot_entry_open,atm_strike,quantity,ce_contract_file,ce_entry_open,ce_stop_price,ce_exit_timestamp,ce_exit_price,ce_exit_reason,ce_points_pnl,ce_gross_pnl,pe_contract_file,pe_entry_open,pe_stop_price,pe_exit_timestamp,pe_exit_price,pe_exit_reason,pe_points_pnl,pe_gross_pnl,gross_pnl,brokerage,net_pnl,remarks
2021-01-29,Friday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-01-29T09:20:00+05:30,47261.0,47300,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_47300_CE_31_OCT_24.csv, SENSEX_47300_PE_31_OCT_24.csv"
2021-02-01,Monday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-02-01T09:20:00+05:30,46688.9,46700,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_46700_CE_31_OCT_24.csv, SENSEX_46700_PE_31_OCT_24.csv"
2021-02-02,Tuesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-02-02T09:20:00+05:30,49562.4,49600,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_49600_CE_31_OCT_24.csv, SENSEX_49600_PE_31_OCT_24.csv"
2021-02-03,Wednesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-02-03T09:20:00+05:30,49607.7,49600,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_49600_CE_31_OCT_24.csv, SENSEX_49600_PE_31_OCT_24.csv"
2021-02-04,Thursday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-02-04T09:20:00+05:30,50167.7,50200,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_50200_CE_31_OCT_24.csv, SENSEX_50200_PE_31_OCT_24.csv"
2021-02-05,Friday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-02-05T09:20:00+05:30,50944.1,50900,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_50900_CE_31_OCT_24.csv, SENSEX_50900_PE_31_OCT_24.csv"
2021-02-08,Monday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-02-08T09:20:00+05:30,51290.4,51300,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_51300_CE_31_OCT_24.csv, SENSEX_51300_PE_31_OCT_24.csv"
2021-02-09,Tuesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-02-09T09:20:00+05:30,51511.8,51500,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_51500_CE_31_OCT_24.csv, SENSEX_51500_PE_31_OCT_24.csv"
2021-02-10,Wednesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-02-10T09:20:00+05:30,51434.6,51400,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_51400_CE_31_OCT_24.csv, SENSEX_51400_PE_31_OCT_24.csv"
2021-02-11,Thursday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-02-11T09:20:00+05:30,51237.3,51200,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_51200_CE_31_OCT_24.csv, SENSEX_51200_PE_31_OCT_24.csv"
2021-02-12,Friday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-02-12T09:20:00+05:30,51689.4,51700,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_51700_CE_31_OCT_24.csv, SENSEX_51700_PE_31_OCT_24.csv"
2021-02-15,Monday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-02-15T09:20:00+05:30,52020.2,52000,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_52000_CE_31_OCT_24.csv, SENSEX_52000_PE_31_OCT_24.csv"
2021-02-16,Tuesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-02-16T09:20:00+05:30,52442.2,52400,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_52400_CE_31_OCT_24.csv, SENSEX_52400_PE_31_OCT_24.csv"
2021-02-17,Wednesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-02-17T09:20:00+05:30,51906.3,51900,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_51900_CE_31_OCT_24.csv, SENSEX_51900_PE_31_OCT_24.csv"
2021-02-18,Thursday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-02-18T09:20:00+05:30,51764.9,51800,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_51800_CE_31_OCT_24.csv, SENSEX_51800_PE_31_OCT_24.csv"
2021-02-19,Friday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-02-19T09:20:00+05:30,51109.9,51100,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_51100_CE_31_OCT_24.csv, SENSEX_51100_PE_31_OCT_24.csv"
2021-02-22,Monday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-02-22T09:20:00+05:30,50820.7,50800,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_50800_CE_31_OCT_24.csv, SENSEX_50800_PE_31_OCT_24.csv"
2021-02-23,Tuesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-02-23T09:20:00+05:30,49858.9,49900,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_49900_CE_31_OCT_24.csv, SENSEX_49900_PE_31_OCT_24.csv"
2021-02-24,Wednesday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-02-24T09:20:00+05:30,49940.1,49900,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_49900_CE_31_OCT_24.csv, SENSEX_49900_PE_31_OCT_24.csv"
2021-02-25,Thursday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-02-25T09:20:00+05:30,51314.6,51300,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_51300_CE_31_OCT_24.csv, SENSEX_51300_PE_31_OCT_24.csv"
2021-02-26,Friday,SKIPPED,missing_contract_file,2024-10-31,current_month,2021-02-26T09:20:00+05:30,50155.3,50200,100,,,,,,,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,"Missing: SENSEX_50200_CE_31_OCT_24.csv, SENSEX_50200_PE_31_OCT_24.csv"
