date,net_pnl,equity,peak,drawdown,drawdown_pct
2020-01-16,15692.22,1015692.22,1015692.22,0.00,0.00
2020-01-23,4142.67,1019834.89,1019834.89,0.00,0.00
2020-01-30,-12818.38,1007016.51,1019834.89,12818.38,1.26
2020-02-06,22715.53,1029732.04,1029732.04,0.00,0.00
2020-02-13,8661.15,1038393.19,1038393.19,0.00,0.00
2020-02-20,-19891.12,1018502.07,1038393.19,19891.12,1.92
2020-03-05,10273.99,1028776.06,1038393.19,9617.13,0.93
2020-03-12,-67482.98,961293.08,1038393.19,77100.11,7.42
2020-03-26,96783.67,1058076.75,1058076.75,0.00,0.00
2020-04-01,78044.24,1136120.99,1136120.99,0.00,0.00
2020-04-09,69823.52,1205944.51,1205944.51,0.00,0.00
2020-04-16,24903.30,1230847.80,1230847.80,0.00,0.00
2020-04-23,36115.96,1266963.76,1266963.76,0.00,0.00
2020-04-30,-6605.84,1260357.92,1266963.76,6605.84,0.52
2020-05-07,28900.58,1289258.49,1289258.49,0.00,0.00
2020-05-14,-3155.02,1286103.48,1289258.49,3155.02,0.24
2020-05-21,42803.98,1328907.46,1328907.46,0.00,0.00
2020-05-28,-6914.70,1321992.76,1328907.46,6914.70,0.52
2020-06-04,42151.20,1364143.96,1364143.96,0.00,0.00
2020-06-11,5529.32,1369673.28,1369673.28,0.00,0.00
2020-06-18,-18235.51,1351437.78,1369673.28,18235.51,1.33
2020-06-25,20066.33,1371504.11,1371504.11,0.00,0.00
2020-07-02,23304.87,1394808.97,1394808.97,0.00,0.00
2020-07-09,24766.05,1419575.02,1419575.02,0.00,0.00
2020-07-16,11825.95,1431400.98,1431400.98,0.00,0.00
2020-07-23,3021.99,1434422.96,1434422.96,0.00,0.00
2020-07-30,19432.45,1453855.42,1453855.42,0.00,0.00
2020-08-06,14132.82,1467988.24,1467988.24,0.00,0.00
2020-08-13,19757.71,1487745.95,1487745.95,0.00,0.00
2020-08-20,15034.47,1502780.42,1502780.42,0.00,0.00
2020-08-27,16785.57,1519565.99,1519565.99,0.00,0.00
2020-09-03,-21349.48,1498216.51,1519565.99,21349.48,1.40
2020-09-10,10253.44,1508469.94,1519565.99,11096.05,0.73
2020-09-17,17104.64,1525574.58,1525574.58,0.00,0.00
2020-09-24,-27037.12,1498537.46,1525574.58,27037.12,1.77
2020-10-01,13447.88,1511985.34,1525574.58,13589.24,0.89
2020-10-15,8356.86,1520342.20,1525574.58,5232.38,0.34
2020-10-22,6883.00,1527225.20,1527225.20,0.00,0.00
2020-10-29,22877.41,1550102.62,1550102.62,0.00,0.00
2020-11-05,17992.25,1568094.87,1568094.87,0.00,0.00
2020-11-12,-1282.26,1566812.61,1568094.87,1282.26,0.08
2020-11-19,1995.59,1568808.20,1568808.20,0.00,0.00
2020-11-26,3360.51,1572168.70,1572168.70,0.00,0.00
2020-12-03,35165.67,1607334.37,1607334.37,0.00,0.00
2020-12-10,24521.54,1631855.91,1631855.91,0.00,0.00
2020-12-17,6042.51,1637898.42,1637898.42,0.00,0.00
2020-12-24,-12481.79,1625416.63,1637898.42,12481.79,0.76
2020-12-31,9976.29,1635392.92,1637898.42,2505.50,0.15
2021-01-07,8520.76,1643913.68,1643913.68,0.00,0.00
2021-01-14,8562.15,1652475.84,1652475.84,0.00,0.00
2021-01-21,14695.98,1667171.81,1667171.81,0.00,0.00
2021-01-28,-13110.43,1654061.38,1667171.81,13110.43,0.79
2021-02-04,-10799.52,1643261.87,1667171.81,23909.94,1.43
2021-02-11,7110.27,1650372.13,1667171.81,16799.68,1.01
2021-02-18,11192.52,1661564.65,1667171.81,5607.16,0.34
2021-02-25,-18643.28,1642921.38,1667171.81,24250.43,1.45
2021-03-04,9197.88,1652119.26,1667171.81,15052.55,0.90
2021-03-10,24007.29,1676126.55,1676126.55,0.00,0.00
2021-03-18,3817.38,1679943.92,1679943.92,0.00,0.00
2021-03-25,3598.98,1683542.91,1683542.91,0.00,0.00
2021-04-01,5486.46,1689029.37,1689029.37,0.00,0.00
2021-04-08,10557.84,1699587.21,1699587.21,0.00,0.00
2021-04-15,1147.20,1700734.41,1700734.41,0.00,0.00
2021-04-22,4308.83,1705043.24,1705043.24,0.00,0.00
2021-04-29,12621.62,1717664.86,1717664.86,0.00,0.00
2021-05-06,9479.87,1727144.73,1727144.73,0.00,0.00
2021-05-12,16906.46,1744051.19,1744051.19,0.00,0.00
2021-05-20,21184.22,1765235.41,1765235.41,0.00,0.00
2021-05-27,9218.37,1774453.78,1774453.78,0.00,0.00
2021-06-03,5369.27,1779823.05,1779823.05,0.00,0.00
2021-06-10,10124.11,1789947.16,1789947.16,0.00,0.00
2021-06-17,5405.50,1795352.66,1795352.66,0.00,0.00
2021-06-24,-5015.55,1790337.11,1795352.66,5015.55,0.28
2021-07-01,10693.36,1801030.47,1801030.47,0.00,0.00
2021-07-15,1564.58,1802595.05,1802595.05,0.00,0.00
2021-07-22,1288.94,1803883.99,1803883.99,0.00,0.00
2021-08-12,6259.86,1810143.85,1810143.85,0.00,0.00
2021-08-18,8034.01,1818177.86,1818177.86,0.00,0.00
2021-08-26,8948.11,1827125.97,1827125.97,0.00,0.00
2021-09-02,-8076.24,1819049.73,1827125.97,8076.24,0.44
2021-09-09,7845.33,1826895.06,1827125.97,230.91,0.01
2021-09-16,1477.83,1828372.89,1828372.89,0.00,0.00
2021-09-23,-11221.07,1817151.82,1828372.89,11221.07,0.61
2021-09-30,1765.24,1818917.06,1828372.89,9455.83,0.52
2021-10-07,9599.35,1828516.41,1828516.41,0.00,0.00
2021-10-14,-1908.13,1826608.28,1828516.41,1908.13,0.10
2021-10-21,3739.35,1830347.63,1830347.63,0.00,0.00
2021-10-28,3006.14,1833353.77,1833353.77,0.00,0.00
2021-11-03,11512.58,1844866.35,1844866.35,0.00,0.00
2021-11-18,1345.98,1846212.34,1846212.34,0.00,0.00
2021-11-25,-4486.35,1841725.99,1846212.34,4486.35,0.24
2021-12-02,837.60,1842563.59,1846212.34,3648.75,0.20
2021-12-09,23107.49,1865671.07,1865671.07,0.00,0.00
2021-12-16,7206.50,1872877.58,1872877.58,0.00,0.00
