entry_date,exit_date,expiry,atm,entry_spot,prev_vix,lot_size,lots,qty,traded,skip_reason,remarks,legs_traded,adds,unwinds,rolls,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked,rolls_blocked,entry_offset,entry_balance
2021-04-23,2021-04-29,2021-04-29,14350,14371.00,23.03,75,1,75,YES,,,8,3,0,3,16,5,174.30,13072.50,450.88,12621.62,370,0,741,0,0.82
2021-04-30,2021-05-06,2021-05-06,14750,14778.00,23.31,75,1,75,YES,,,15,12,10,1,30,5,137.25,10293.75,813.88,9479.87,8,138,0,-50,0.97
2021-05-07,2021-05-12,2021-05-12,14850,14846.20,22.04,75,1,75,YES,,,12,10,8,0,24,4,233.45,17508.75,602.29,16906.46,3,225,0,0,0.98
2021-05-14,2021-05-20,2021-05-20,14700,14664.20,20.08,75,1,75,YES,,,7,3,0,2,14,5,287.45,21558.75,374.53,21184.22,42,0,1115,50,0.89
2021-05-21,2021-05-27,2021-05-27,15000,14993.20,19.32,75,1,75,YES,,,15,11,8,2,30,5,133.60,10020.00,801.63,9218.37,0,55,566,0,0.81
2021-05-28,2021-06-03,2021-06-03,15450,15423.90,19.91,75,1,75,YES,,,13,10,7,1,26,5,80.55,6041.25,671.98,5369.27,0,17,365,50,0.85
2021-06-04,2021-06-10,2021-06-10,15700,15698.70,15.75,75,1,75,YES,,,12,10,9,0,24,4,143.05,10728.75,604.64,10124.11,0,204,0,0,0.87
2021-06-11,2021-06-17,2021-06-17,15800,15815.50,15.00,75,1,75,YES,,,12,10,8,0,24,5,80.25,6018.75,613.25,5405.50,2,163,0,0,0.96
2021-06-18,2021-06-24,2021-06-24,15700,15727.70,15.29,75,1,75,YES,,,17,14,14,1,34,5,-55.05,-4128.75,886.80,-5015.55,7,93,0,-50,0.93
2021-06-25,2021-07-01,2021-07-01,15800,15802.70,15.10,75,1,75,YES,,,10,8,5,0,20,5,149.35,11201.25,507.89,10693.36,1,122,238,0,0.90
2021-07-02,2021-07-08,2021-07-08,15650,15666.50,12.84,75,0,0,NO,balance_check_failed,"Best of 11 strikes near ATM 15650 was 15650 at 76.5%, needs >= 80%",0,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0.00
2021-07-09,2021-07-15,2021-07-15,15650,15646.50,13.56,75,1,75,YES,,,12,9,7,1,24,5,29.15,2186.25,621.67,1564.58,33,871,0,0,0.97
2021-07-16,2021-07-22,2021-07-22,15950,15940.50,12.27,75,1,75,YES,,,9,5,5,2,18,5,23.55,1766.25,477.31,1288.94,19,240,243,0,0.91
2021-07-23,2021-07-29,2021-07-29,0,0.00,11.89,75,0,0,NO,vix_below_floor,Previous day India VIX 11.89 < 12.,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0.00
2021-07-30,2021-08-05,2021-08-05,15800,15786.00,12.95,75,0,0,NO,balance_check_failed,"Best of 11 strikes near ATM 15800 was 15800 at 76.6%, needs >= 80%",0,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0.00
2021-08-06,2021-08-12,2021-08-12,16300,16321.00,12.87,75,1,75,YES,,,15,13,11,0,30,5,93.50,7012.50,752.64,6259.86,0,364,0,0,0.95
2021-08-13,2021-08-18,2021-08-18,16400,16425.20,12.37,75,1,75,YES,,,13,10,7,1,26,5,116.00,8700.00,665.99,8034.01,0,42,387,-50,0.91
2021-08-20,2021-08-26,2021-08-26,16450,16453.70,12.91,75,1,75,YES,,,11,8,5,1,22,5,126.85,9513.75,565.64,8948.11,6,149,739,0,0.87
2021-08-27,2021-09-02,2021-09-02,16650,16628.30,13.54,75,1,75,YES,,,9,4,1,3,18,5,-101.20,-7590.00,486.24,-8076.24,218,14,1021,0,0.91
2021-09-03,2021-09-09,2021-09-09,17300,17291.80,14.24,75,1,75,YES,,,14,11,11,1,28,5,114.10,8557.50,712.17,7845.33,0,38,0,0,0.98
2021-09-13,2021-09-16,2021-09-16,17300,17337.30,13.94,75,1,75,YES,,,7,3,0,2,14,5,24.60,1845.00,367.17,1477.83,0,313,524,-50,0.83
2021-09-17,2021-09-23,2021-09-23,17700,17736.80,14.41,75,1,75,YES,,,18,14,13,2,36,5,-136.85,-10263.75,957.32,-11221.07,0,365,0,-50,0.99
2021-09-24,2021-09-30,2021-09-30,17950,17915.20,16.60,75,1,75,YES,,,18,12,11,4,36,5,36.45,2733.75,968.51,1765.24,56,213,0,50,0.89
2021-10-01,2021-10-07,2021-10-07,17450,17502.60,18.40,50,2,100,YES,,,10,6,6,2,20,5,101.85,10185.00,585.65,9599.35,273,450,279,-50,0.93
2021-10-08,2021-10-14,2021-10-14,17850,17872.80,16.16,50,2,100,YES,,,12,7,4,3,24,5,-12.45,-1245.00,663.13,-1908.13,94,0,615,0,0.96
2021-10-18,2021-10-21,2021-10-21,18450,18484.60,15.77,50,2,100,YES,,,20,16,13,2,40,5,47.95,4795.00,1055.65,3739.35,0,46,305,-50,0.99
2021-10-22,2021-10-28,2021-10-28,18250,18248.20,18.04,50,2,100,YES,,,17,13,10,2,34,5,39.55,3955.00,948.86,3006.14,8,208,184,0,0.84
2021-10-29,2021-11-03,2021-11-03,17700,17669.80,17.91,50,2,100,YES,,,20,15,15,3,40,5,126.25,12625.00,1112.42,11512.58,0,191,86,50,0.97
2021-11-04,2021-11-11,2021-11-11,0,0.00,16.13,50,0,0,NO,no_spot_at_entry,No 09:20 spot candle.,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0.00
2021-11-12,2021-11-18,2021-11-18,17950,17953.90,16.35,50,2,100,YES,,,13,10,7,1,26,5,20.65,2065.00,719.02,1345.98,21,20,422,0,0.87
2021-11-22,2021-11-25,2021-11-25,17650,17632.70,14.86,50,2,100,YES,,,15,11,11,2,30,5,-36.35,-3635.00,851.35,-4486.35,10,55,0,0,0.82
2021-11-26,2021-12-02,2021-12-02,17300,17295.30,16.66,50,2,100,YES,,,17,12,9,3,34,5,18.25,1825.00,987.40,837.60,20,0,301,0,0.82
2021-12-03,2021-12-09,2021-12-09,17450,17458.20,18.09,50,2,100,YES,,,15,7,5,6,30,5,240.00,24000.00,892.51,23107.49,214,721,2,0,0.84
2021-12-10,2021-12-16,2021-12-16,17500,17523.20,16.60,50,2,100,YES,,,18,16,14,0,36,5,81.90,8190.00,983.50,7206.50,0,359,0,0,0.88
2021-12-17,2021-12-23,2021-12-23,17200,17182.70,15.90,50,2,100,YES,,,13,6,6,5,26,5,-74.20,-7420.00,805.02,-8225.02,336,365,67,0,0.96
2021-12-24,2021-12-30,2021-12-30,17100,17102.70,15.83,50,2,100,YES,,,13,10,9,1,26,5,145.20,14520.00,722.40,13797.60,0,423,19,0,0.88
2021-12-31,2022-01-06,2022-01-06,17300,17298.10,16.57,50,2,100,YES,,,11,4,1,5,22,5,281.60,28160.00,627.54,27532.46,38,14,924,0,0.98
2022-01-07,2022-01-13,2022-01-13,17850,17841.90,17.98,50,2,100,YES,,,13,9,6,2,26,5,118.45,11845.00,722.53,11122.47,127,0,740,0,0.99
2022-01-14,2022-01-20,2022-01-20,18150,18181.00,16.70,50,2,100,YES,,,12,8,5,2,24,5,-8.75,-875.00,672.55,-1547.55,7,47,689,-50,0.99
2022-01-21,2022-01-27,2022-01-27,17550,17549.90,17.79,50,2,100,YES,,,20,14,13,4,40,5,-36.50,-3650.00,1178.90,-4828.90,160,341,23,0,0.86
2022-01-28,2022-02-03,2022-02-03,17250,17239.30,21.07,50,2,100,YES,,,10,7,4,1,20,5,479.60,47960.00,611.99,47348.01,341,0,740,0,0.82
2022-02-04,2022-02-10,2022-02-10,17500,17551.20,19.16,50,2,100,YES,,,17,11,8,4,34,5,208.45,20845.00,995.12,19849.88,318,21,415,-50,0.95
2022-02-11,2022-02-17,2022-02-17,17400,17404.60,17.71,50,2,100,YES,,,14,10,9,2,28,5,40.70,4070.00,861.34,3208.66,32,447,12,0,0.83
2022-02-18,2022-02-24,2022-02-24,17300,17278.50,22.01,50,2,100,YES,,,13,10,7,1,26,5,-303.10,-30310.00,798.15,-31108.15,1,6,360,0,0.87
