entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked,rolls,rolls_blocked
2020-05-15,2020-05-21,2020-05-21,9100,75,YES,,,13,10,10,26,4,226.85,17013.75,780.00,16233.75,11,365,1,0
2020-05-22,2020-05-28,2020-05-28,9050,75,YES,,,13,8,6,26,4,-73.80,-5535.00,780.00,-6315.00,122,7,3,470
2020-05-29,2020-06-04,2020-06-04,9450,75,NO,balance_check_failed,"CE=109.95 PE=156.30 within 70.3%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2020-06-05,2020-06-11,2020-06-11,10100,75,YES,,,16,12,11,32,4,-10.15,-761.25,960.00,-1721.25,103,324,2,0
2020-06-12,2020-06-18,2020-06-18,9650,75,YES,,,13,9,9,26,4,-73.40,-5505.00,780.00,-6285.00,725,318,2,0
2020-06-19,2020-06-25,2020-06-25,10150,75,YES,,,8,5,5,16,4,208.95,15671.25,480.00,15191.25,224,151,1,343
2020-06-26,2020-07-02,2020-07-02,10350,75,NO,balance_check_failed,"CE=130.60 PE=165.75 within 78.8%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2020-07-03,2020-07-09,2020-07-09,10600,75,YES,,,11,7,6,22,4,155.25,11643.75,660.00,10983.75,0,297,2,0
2020-07-10,2020-07-16,2020-07-16,10800,75,YES,,,13,8,8,26,4,61.35,4601.25,780.00,3821.25,0,258,3,4
2020-07-17,2020-07-23,2020-07-23,10800,75,YES,,,6,3,1,12,4,-34.95,-2621.25,360.00,-2981.25,85,0,1,1115
2020-07-24,2020-07-30,2020-07-30,11150,75,NO,balance_check_failed,"CE=102.80 PE=133.75 within 76.9%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2020-07-31,2020-08-06,2020-08-06,11050,75,YES,,,16,12,11,32,4,75.15,5636.25,960.00,4676.25,54,387,2,148
2020-08-07,2020-08-13,2020-08-13,11200,75,NO,balance_check_failed,"CE=96.50 PE=130.75 within 73.8%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2020-08-14,2020-08-20,2020-08-20,11350,75,YES,,,12,8,8,24,4,78.80,5910.00,720.00,5190.00,6,266,2,391
2020-08-21,2020-08-27,2020-08-27,11400,75,YES,,,9,6,4,18,4,126.55,9491.25,540.00,8951.25,0,53,1,374
2020-08-28,2020-09-03,2020-09-03,11600,75,YES,,,18,12,12,36,4,-100.40,-7530.00,1080.00,-8610.00,3,3,4,1
2020-09-04,2020-09-10,2020-09-10,11350,75,YES,,,9,6,6,18,4,33.30,2497.50,540.00,1957.50,0,502,1,0
2020-09-11,2020-09-17,2020-09-17,11450,75,YES,,,11,6,6,22,4,120.25,9018.75,660.00,8358.75,0,13,3,80
2020-09-18,2020-09-24,2020-09-24,11550,75,YES,,,12,4,3,24,4,-173.60,-13020.00,720.00,-13740.00,337,759,6,19
2020-09-25,2020-10-01,2020-10-01,10900,75,YES,,,7,2,0,14,4,5.50,412.50,420.00,-7.50,219,0,3,1286
2020-10-05,2020-10-08,2020-10-08,11550,75,NO,balance_check_failed,"CE=72.30 PE=106.30 within 68.0%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2020-10-09,2020-10-15,2020-10-15,11850,75,YES,,,11,8,8,22,4,6.90,517.50,660.00,-142.50,0,226,1,16
2020-10-16,2020-10-22,2020-10-22,11750,75,YES,,,12,8,8,24,4,47.30,3547.50,720.00,2827.50,43,141,2,243
2020-10-23,2020-10-29,2020-10-29,11950,75,YES,,,10,6,4,20,4,106.30,7972.50,600.00,7372.50,73,25,2,470
2020-10-30,2020-11-05,2020-11-05,11700,75,YES,,,10,6,4,20,4,123.00,9225.00,600.00,8625.00,19,0,2,366
2020-11-06,2020-11-12,2020-11-12,12150,75,YES,,,9,3,1,18,4,66.95,5021.25,540.00,4481.25,681,0,4,1073
2020-11-13,2020-11-19,2020-11-19,12650,75,YES,,,8,5,5,16,4,76.55,5741.25,480.00,5261.25,1241,441,1,3
2020-11-20,2020-11-26,2020-11-26,12850,75,YES,,,15,11,11,30,4,50.95,3821.25,900.00,2921.25,12,257,2,75
2020-11-27,2020-12-03,2020-12-03,13000,75,YES,,,11,7,7,22,4,119.85,8988.75,660.00,8328.75,0,91,2,14
2020-12-04,2020-12-10,2020-12-10,13200,75,YES,,,11,7,5,22,4,89.20,6690.00,660.00,6030.00,2,18,2,739
2020-12-11,2020-12-17,2020-12-17,13550,75,YES,,,11,7,5,22,4,165.00,12375.00,660.00,11715.00,2,239,2,352
2020-12-18,2020-12-24,2020-12-24,13750,75,YES,,,12,6,6,24,4,-58.55,-4391.25,720.00,-5111.25,494,394,4,30
2020-12-28,2020-12-31,2020-12-31,13850,75,YES,,,11,7,5,22,4,135.30,10147.50,660.00,9487.50,0,53,2,372
2021-01-01,2021-01-07,2021-01-07,14000,75,YES,,,14,11,11,28,4,57.75,4331.25,840.00,3491.25,0,70,1,264
2021-01-08,2021-01-14,2021-01-14,14250,75,YES,,,7,4,2,14,4,69.30,5197.50,420.00,4777.50,260,7,1,913
2021-01-15,2021-01-21,2021-01-21,14600,75,YES,,,11,6,4,22,4,245.25,18393.75,660.00,17733.75,63,3,3,660
2021-01-22,2021-01-28,2021-01-28,14600,75,YES,,,11,5,3,22,4,-121.00,-9075.00,660.00,-9735.00,92,2,4,749
2021-01-29,2021-02-04,2021-02-04,13950,75,YES,,,12,8,6,24,4,-266.95,-20021.25,720.00,-20741.25,974,0,2,1119
2021-02-05,2021-02-11,2021-02-11,15000,75,NO,balance_check_failed,"CE=144.90 PE=184.65 within 78.5%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2021-02-12,2021-02-18,2021-02-18,15200,75,YES,,,12,9,7,24,4,105.30,7897.50,720.00,7177.50,0,10,1,242
2021-02-19,2021-02-25,2021-02-25,15050,75,YES,,,14,8,8,28,4,15.45,1158.75,840.00,318.75,583,620,4,0
2021-02-26,2021-03-04,2021-03-04,14850,75,YES,,,11,8,6,22,4,102.50,7687.50,660.00,7027.50,231,5,1,747
2021-03-05,2021-03-10,2021-03-10,15000,75,YES,,,8,5,3,16,4,312.80,23460.00,480.00,22980.00,0,0,1,365
2021-03-12,2021-03-18,2021-03-18,15300,75,YES,,,13,6,4,26,4,5.15,386.25,780.00,-393.75,137,4,5,590
2021-03-19,2021-03-25,2021-03-25,14400,75,YES,,,15,10,8,30,4,217.80,16335.00,900.00,15435.00,41,9,3,462
2021-03-26,2021-04-01,2021-04-01,14450,75,YES,,,12,6,5,24,4,176.45,13233.75,720.00,12513.75,408,355,4,74
2021-04-05,2021-04-08,2021-04-08,14750,75,YES,,,12,8,7,24,4,143.45,10758.75,720.00,10038.75,1,402,2,3
2021-04-09,2021-04-15,2021-04-15,14850,75,YES,,,8,2,0,16,4,307.85,23088.75,480.00,22608.75,309,0,4,868
2021-04-16,2021-04-22,2021-04-22,14600,75,YES,,,12,7,7,24,4,75.70,5677.50,720.00,4957.50,5,5,3,172
2021-04-23,2021-04-29,2021-04-29,14400,75,YES,,,10,4,2,20,4,192.00,14400.00,600.00,13800.00,20,0,4,735
2021-04-30,2021-05-06,2021-05-06,14800,75,YES,,,12,9,9,24,4,77.55,5816.25,720.00,5096.25,0,84,1,0
2021-05-07,2021-05-12,2021-05-12,14850,75,YES,,,9,5,5,18,4,217.20,16290.00,540.00,15750.00,2,54,2,14
2021-05-14,2021-05-20,2021-05-20,14700,75,YES,,,6,2,0,12,4,256.35,19226.25,360.00,18866.25,40,0,2,1115
2021-05-21,2021-05-27,2021-05-27,15000,75,YES,,,11,7,5,22,4,108.30,8122.50,660.00,7462.50,0,1,2,689
2021-05-28,2021-06-03,2021-06-03,15450,75,YES,,,12,8,6,24,4,94.25,7068.75,720.00,6348.75,0,7,2,364
2021-06-04,2021-06-10,2021-06-10,15700,75,YES,,,13,10,9,26,4,122.35,9176.25,780.00,8396.25,0,465,1,0
2021-06-11,2021-06-17,2021-06-17,15800,75,YES,,,13,8,8,26,4,55.25,4143.75,780.00,3363.75,58,128,3,88
2021-06-18,2021-06-24,2021-06-24,15750,75,YES,,,13,9,9,26,4,-19.15,-1436.25,780.00,-2216.25,3,157,2,35
2021-06-25,2021-07-01,2021-07-01,15800,75,NO,balance_check_failed,"CE=128.85 PE=98.30 within 76.3%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2021-07-02,2021-07-08,2021-07-08,15700,75,YES,,,9,5,5,18,4,88.30,6622.50,540.00,6082.50,0,396,2,190
2021-07-09,2021-07-15,2021-07-15,15700,75,NO,balance_check_failed,"CE=92.70 PE=117.50 within 78.9%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2021-07-16,2021-07-22,2021-07-22,15950,75,YES,,,8,4,2,16,4,115.30,8647.50,480.00,8167.50,19,1,2,541
2021-07-23,2021-07-29,2021-07-29,15850,75,YES,,,8,5,5,16,4,90.85,6813.75,480.00,6333.75,2,73,1,283
2021-07-30,2021-08-05,2021-08-05,15800,75,YES,,,8,3,1,16,4,-135.80,-10185.00,480.00,-10665.00,4,6,3,807
2021-08-06,2021-08-12,2021-08-12,16300,75,YES,,,16,13,11,32,4,96.00,7200.00,960.00,6240.00,0,188,1,170
2021-08-13,2021-08-18,2021-08-18,16400,75,YES,,,10,6,4,20,4,120.30,9022.50,600.00,8422.50,0,70,2,425
2021-08-20,2021-08-26,2021-08-26,16450,75,YES,,,9,5,3,18,4,137.70,10327.50,540.00,9787.50,6,63,2,753
2021-08-27,2021-09-02,2021-09-02,16650,75,YES,,,9,3,1,18,4,-94.20,-7065.00,540.00,-7605.00,218,0,4,1079
2021-09-03,2021-09-09,2021-09-09,17300,75,YES,,,13,10,10,26,4,119.85,8988.75,780.00,8208.75,0,71,1,0
2021-09-13,2021-09-16,2021-09-16,17350,75,YES,,,9,6,4,18,4,-12.80,-960.00,540.00,-1500.00,0,31,1,507
2021-09-17,2021-09-23,2021-09-23,17700,75,YES,,,17,13,12,34,4,-72.20,-5415.00,1020.00,-6435.00,0,364,2,1
2021-09-24,2021-09-30,2021-09-30,17950,75,YES,,,17,10,8,34,4,166.90,12517.50,1020.00,11497.50,56,152,5,267
2021-10-01,2021-10-07,2021-10-07,17500,50,YES,,,11,6,5,22,4,216.20,10810.00,660.00,10150.00,1,366,3,348
2021-10-08,2021-10-14,2021-10-14,17850,50,YES,,,10,6,4,20,4,-104.20,-5210.00,600.00,-5810.00,94,0,2,730
2021-10-18,2021-10-21,2021-10-21,18450,50,YES,,,18,14,12,36,4,68.40,3420.00,1080.00,2340.00,0,53,2,306
2021-10-22,2021-10-28,2021-10-28,18250,50,YES,,,14,10,8,28,4,-40.05,-2002.50,840.00,-2842.50,0,13,2,336
2021-10-29,2021-11-03,2021-11-03,17700,50,NO,balance_check_failed,"CE=211.95 PE=165.15 within 77.9%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2021-11-04,2021-11-11,2021-11-11,0,50,NO,no_spot_at_entry,No 09:20 spot candle.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2021-11-12,2021-11-18,2021-11-18,18000,50,YES,,,15,10,8,30,4,-11.95,-597.50,900.00,-1497.50,21,1,3,401
2021-11-22,2021-11-25,2021-11-25,17700,50,YES,,,14,7,7,28,4,14.90,745.00,840.00,-95.00,48,64,5,3
2021-11-26,2021-12-02,2021-12-02,17300,50,YES,,,12,8,7,24,4,-27.65,-1382.50,720.00,-2102.50,384,407,2,17
2021-12-03,2021-12-09,2021-12-09,17500,50,YES,,,14,6,4,28,4,235.70,11785.00,840.00,10945.00,167,0,6,573
2021-12-10,2021-12-16,2021-12-16,17500,50,YES,,,23,18,17,46,4,-48.90,-2445.00,1380.00,-3825.00,0,223,3,4
2021-12-17,2021-12-23,2021-12-23,17200,50,YES,,,14,8,7,28,4,42.55,2127.50,840.00,1287.50,5,293,4,336
2021-12-24,2021-12-30,2021-12-30,17050,50,YES,,,9,5,4,18,4,216.25,10812.50,540.00,10272.50,0,387,2,80
2021-12-31,2022-01-06,2022-01-06,17300,50,YES,,,8,2,0,16,4,161.10,8055.00,480.00,7575.00,38,0,4,1108
2022-01-07,2022-01-13,2022-01-13,17850,50,YES,,,11,7,5,22,4,90.40,4520.00,660.00,3860.00,125,0,2,740
2022-01-14,2022-01-20,2022-01-20,18150,50,YES,,,12,7,5,24,4,-1.70,-85.00,720.00,-805.00,7,29,3,724
2022-01-21,2022-01-27,2022-01-27,17550,50,YES,,,19,14,14,38,4,-213.20,-10660.00,1140.00,-11800.00,36,220,3,6
2022-01-28,2022-02-03,2022-02-03,17300,50,YES,,,13,9,7,26,4,465.95,23297.50,780.00,22517.50,9,0,2,739
2022-02-04,2022-02-10,2022-02-10,17500,50,YES,,,15,9,8,30,4,34.10,1705.00,900.00,805.00,99,462,4,25
2022-02-11,2022-02-17,2022-02-17,17450,50,YES,,,14,9,9,28,4,-94.35,-4717.50,840.00,-5557.50,255,340,3,180
2022-02-18,2022-02-24,2022-02-24,17250,50,YES,,,12,9,7,24,4,-309.55,-15477.50,720.00,-16197.50,64,0,1,357
2022-02-25,2022-03-03,2022-03-03,16550,50,YES,,,10,8,8,20,4,316.25,15812.50,600.00,15212.50,0,122,0,4
2022-03-04,2022-03-10,2022-03-10,16250,50,YES,,,14,10,8,28,4,35.60,1780.00,840.00,940.00,290,0,2,521
2022-03-11,2022-03-17,2022-03-17,16550,50,YES,,,10,5,3,20,4,172.95,8647.50,600.00,8047.50,243,20,3,416
2022-03-21,2022-03-24,2022-03-24,17300,50,YES,,,12,7,7,24,4,223.20,11160.00,720.00,10440.00,0,89,3,0
2022-03-25,2022-03-31,2022-03-31,17200,50,NO,balance_check_failed,"CE=223.70 PE=171.00 within 76.4%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2022-04-01,2022-04-07,2022-04-07,17500,50,YES,,,4,2,0,8,4,308.60,15430.00,240.00,15190.00,4,0,0,1490
2022-04-08,2022-04-13,2022-04-13,17700,50,YES,,,13,9,8,26,4,140.35,7017.50,780.00,6237.50,0,296,2,0
2022-04-18,2022-04-21,2022-04-21,17200,50,YES,,,15,10,9,30,4,-101.90,-5095.00,900.00,-5995.00,62,368,3,7
2022-04-22,2022-04-28,2022-04-28,17200,50,YES,,,14,11,10,28,4,-47.25,-2362.50,840.00,-3202.50,0,205,1,0
2022-04-29,2022-05-05,2022-05-05,17300,50,YES,,,11,5,3,22,4,160.50,8025.00,660.00,7365.00,5,4,4,369
2022-05-06,2022-05-12,2022-05-12,16400,50,YES,,,16,10,9,32,4,-13.45,-672.50,960.00,-1632.50,0,370,4,51
2022-05-13,2022-05-19,2022-05-19,15950,50,YES,,,15,9,8,30,4,-5.45,-272.50,900.00,-1172.50,19,400,4,87
2022-05-20,2022-05-26,2022-05-26,16050,50,YES,,,10,6,6,20,4,174.20,8710.00,600.00,8110.00,28,51,2,307
2022-05-27,2022-06-02,2022-06-02,16300,50,YES,,,14,10,8,28,4,195.20,9760.00,840.00,8920.00,0,56,2,174
2022-06-03,2022-06-09,2022-06-09,16800,50,YES,,,12,6,4,24,4,299.60,14980.00,720.00,14260.00,6,9,4,542
2022-06-10,2022-06-16,2022-06-16,16300,50,YES,,,5,3,1,10,4,-479.75,-23987.50,300.00,-24287.50,44,0,0,1489
2022-06-17,2022-06-23,2022-06-23,15300,50,YES,,,10,4,4,20,4,169.50,8475.00,600.00,7875.00,0,231,4,95
2022-06-24,2022-06-30,2022-06-30,15700,50,YES,,,15,13,12,30,4,154.15,7707.50,900.00,6807.50,4,142,0,0
2022-07-01,2022-07-07,2022-07-07,15700,50,YES,,,13,8,6,26,4,150.95,7547.50,780.00,6767.50,0,0,3,371
2022-07-08,2022-07-14,2022-07-14,16200,50,YES,,,13,8,7,26,4,183.35,9167.50,780.00,8387.50,0,271,3,4
2022-07-15,2022-07-21,2022-07-21,16000,50,YES,,,8,3,1,16,4,-53.70,-2685.00,480.00,-3165.00,5,42,3,799
2022-07-22,2022-07-28,2022-07-28,16700,50,NO,balance_check_failed,"CE=112.20 PE=142.50 within 78.7%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2022-07-29,2022-08-04,2022-08-04,17100,50,YES,,,18,12,11,36,4,28.40,1420.00,1080.00,340.00,0,127,4,159
2022-08-05,2022-08-11,2022-08-11,17400,50,YES,,,9,7,5,18,4,171.70,8585.00,540.00,8045.00,0,5,0,365
2022-08-12,2022-08-18,2022-08-18,17650,50,YES,,,8,5,3,16,4,125.90,6295.00,480.00,5815.00,3,11,1,720
2022-08-19,2022-08-25,2022-08-25,17950,50,YES,,,10,3,3,20,4,98.70,4935.00,600.00,4335.00,98,81,5,670
2022-08-26,2022-09-01,2022-09-01,17650,50,YES,,,9,5,5,18,4,74.00,3700.00,540.00,3160.00,12,223,2,120
2022-09-02,2022-09-08,2022-09-08,17600,50,YES,,,12,10,9,24,4,92.35,4617.50,720.00,3897.50,0,124,0,147
2022-09-09,2022-09-15,2022-09-15,17900,50,YES,,,13,10,10,26,4,-19.65,-982.50,780.00,-1762.50,0,197,1,0
2022-09-16,2022-09-22,2022-09-22,17800,50,YES,,,12,7,7,24,4,53.00,2650.00,720.00,1930.00,11,121,3,8
2022-09-23,2022-09-29,2022-09-29,17550,50,YES,,,12,6,4,24,4,112.25,5612.50,720.00,4892.50,432,1,4,838
2022-09-30,2022-10-06,2022-10-06,16750,50,YES,,,10,5,3,20,4,141.40,7070.00,600.00,6470.00,282,0,3,737
2022-10-07,2022-10-13,2022-10-13,17300,50,YES,,,12,7,6,24,4,174.80,8740.00,720.00,8020.00,0,364,3,0
2022-10-14,2022-10-20,2022-10-20,17300,50,YES,,,7,4,2,14,4,120.65,6032.50,420.00,5612.50,0,1,1,1039
2022-10-21,2022-10-27,2022-10-27,17650,50,NO,balance_check_failed,"CE=102.05 PE=139.55 within 73.1%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2022-10-28,2022-11-03,2022-11-03,17800,50,YES,,,5,2,0,10,4,147.80,7390.00,300.00,7090.00,0,0,1,1115
2022-11-04,2022-11-10,2022-11-10,18100,50,YES,,,10,7,6,20,4,103.15,5157.50,600.00,4557.50,0,363,1,0
2022-11-11,2022-11-17,2022-11-17,18250,50,NO,balance_check_failed,"CE=131.90 PE=89.00 within 67.5%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2022-11-18,2022-11-24,2022-11-24,18350,50,NO,balance_check_failed,"CE=124.80 PE=96.75 within 77.5%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2022-11-25,2022-12-01,2022-12-01,18450,50,NO,balance_check_failed,"CE=130.40 PE=77.00 within 59.0%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2022-12-02,2022-12-08,2022-12-08,18750,50,NO,balance_check_failed,"CE=136.85 PE=87.50 within 63.9%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2022-12-09,2022-12-15,2022-12-15,18650,50,NO,balance_check_failed,"CE=120.60 PE=71.80 within 59.5%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2022-12-16,2022-12-22,2022-12-22,18350,50,YES,,,25,21,19,50,4,-21.15,-1057.50,1500.00,-2557.50,0,46,2,334
2022-12-23,2022-12-29,2022-12-29,18000,50,NO,balance_check_failed,"CE=183.80 PE=110.00 within 59.8%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2022-12-30,2023-01-05,2023-01-05,18200,50,NO,balance_check_failed,"CE=139.95 PE=99.80 within 71.3%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2023-01-06,2023-01-12,2023-01-12,18000,50,YES,,,21,17,16,42,4,-11.55,-577.50,1260.00,-1837.50,0,347,2,0
2023-01-13,2023-01-19,2023-01-19,17800,50,NO,balance_check_failed,"CE=160.25 PE=118.35 within 73.9%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2023-01-20,2023-01-25,2023-01-25,18100,50,YES,,,10,8,6,20,4,9.50,475.00,600.00,-125.00,0,57,0,338
2023-01-27,2023-02-02,2023-02-02,17800,50,NO,balance_check_failed,"CE=215.10 PE=166.35 within 77.3%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2023-02-03,2023-02-09,2023-02-09,17700,50,YES,,,18,14,13,36,4,128.60,6430.00,1080.00,5350.00,0,430,2,4
2023-02-10,2023-02-16,2023-02-16,17850,50,YES,,,10,8,6,20,4,85.70,4285.00,600.00,3685.00,0,113,0,394
2023-02-17,2023-02-23,2023-02-23,17950,50,NO,balance_check_failed,"CE=119.20 PE=83.10 within 69.7%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2023-02-24,2023-03-02,2023-03-02,17600,50,YES,,,16,12,12,32,4,-44.05,-2202.50,960.00,-3162.50,0,447,2,16
2023-03-03,2023-03-09,2023-03-09,17450,50,YES,,,6,2,0,12,4,185.00,9250.00,360.00,8890.00,0,0,2,1098
2023-03-10,2023-03-16,2023-03-16,17400,50,YES,,,19,12,10,38,4,22.15,1107.50,1140.00,-32.50,0,2,5,495
2023-03-17,2023-03-23,2023-03-23,17100,50,YES,,,11,7,5,22,4,227.25,11362.50,660.00,10702.50,24,0,2,721
2023-03-24,2023-03-29,2023-03-29,17100,50,YES,,,12,8,8,24,4,121.55,6077.50,720.00,5357.50,0,85,2,0
2023-03-31,2023-04-06,2023-04-06,17250,50,YES,,,10,5,3,20,4,56.95,2847.50,600.00,2247.50,15,0,3,710
2023-04-10,2023-04-13,2023-04-13,17650,50,YES,,,10,7,7,20,4,28.40,1420.00,600.00,820.00,0,250,1,129
2023-04-17,2023-04-20,2023-04-20,17650,50,NO,balance_check_failed,"CE=116.35 PE=73.90 within 63.5%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2023-04-21,2023-04-27,2023-04-27,17650,50,YES,,,9,5,3,18,4,30.60,1530.00,540.00,990.00,0,127,2,567
2023-04-28,2023-05-04,2023-05-04,17950,50,YES,,,7,4,3,14,4,-35.55,-1777.50,420.00,-2197.50,0,388,1,452
2023-05-05,2023-05-11,2023-05-11,18150,50,NO,balance_check_failed,"CE=101.25 PE=72.75 within 71.9%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2023-05-12,2023-05-18,2023-05-18,18250,50,YES,,,11,6,4,22,4,11.30,565.00,660.00,-95.00,2,0,3,652
2023-05-19,2023-05-25,2023-05-25,18150,50,NO,balance_check_failed,"CE=110.40 PE=79.60 within 72.1%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2023-05-26,2023-06-01,2023-06-01,18350,50,YES,,,5,2,0,10,4,172.50,8625.00,300.00,8325.00,5,0,1,1490
2023-06-02,2023-06-08,2023-06-08,18550,50,NO,balance_check_failed,"CE=116.80 PE=74.35 within 63.7%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2023-06-09,2023-06-15,2023-06-15,18650,50,NO,balance_check_failed,"CE=107.85 PE=72.05 within 66.8%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2023-06-16,2023-06-22,2023-06-22,18750,50,NO,balance_check_failed,"CE=92.80 PE=72.80 within 78.4%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2023-06-23,2023-06-28,2023-06-28,18700,50,NO,missing_entry_bar,No exact 09:20 bar on both ATM legs.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2023-06-30,2023-07-06,2023-07-06,19050,50,NO,balance_check_failed,"CE=108.75 PE=78.00 within 71.7%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2023-07-07,2023-07-13,2023-07-13,19450,50,YES,,,16,13,13,32,4,55.00,2750.00,960.00,1790.00,0,99,1,47
