entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked,rolls,rolls_blocked
2020-01-01,2020-01-02,2020-01-02,12200,75,NO,balance_check_failed,"CE=39.40 PE=29.85 within 75.8%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2020-01-03,2020-01-09,2020-01-09,12250,75,NO,balance_check_failed,"CE=55.00 PE=69.85 within 78.7%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2020-01-10,2020-01-16,2020-01-16,12250,75,YES,,,4,2,1,8,3,66.75,5006.25,240.00,4766.25,1,1116,0,0
2020-01-17,2020-01-23,2020-01-23,12350,75,NO,balance_check_failed,"CE=59.25 PE=74.50 within 79.5%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2020-01-24,2020-01-30,2020-01-30,12150,75,NO,balance_check_failed,"CE=85.45 PE=63.90 within 74.8%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2020-01-31,2020-02-06,2020-02-06,12050,75,YES,,,5,3,2,10,3,252.50,18937.50,300.00,18637.50,254,1547,0,0
2020-02-07,2020-02-13,2020-02-13,12150,75,NO,balance_check_failed,"CE=53.65 PE=107.95 within 49.7%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2020-02-14,2020-02-20,2020-02-20,12250,75,YES,,,3,1,0,6,3,-5.45,-408.75,180.00,-588.75,361,1733,0,0
2020-02-24,2020-02-27,2020-02-27,11950,75,NO,balance_check_failed,"CE=58.15 PE=86.20 within 67.5%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2020-02-28,2020-03-05,2020-03-05,11350,75,YES,,,9,7,7,18,3,226.35,16976.25,540.00,16436.25,15,651,0,0
2020-03-06,2020-03-12,2020-03-12,10900,75,YES,,,2,0,0,4,2,-966.35,-72476.25,120.00,-72596.25,259,1115,0,0
2020-03-13,2020-03-19,2020-03-19,8750,75,NO,missing_entry_bar,No exact 09:20 bar on both ATM legs.,0,0,0,0,2,0.00,0.00,0.00,0.00,0,0,0,0
2020-03-20,2020-03-26,2020-03-26,8350,75,YES,,,14,12,11,28,3,715.40,53655.00,840.00,52815.00,946,1237,0,0
2020-03-27,2020-04-01,2020-04-01,8950,75,YES,,,3,1,0,6,3,160.05,12003.75,180.00,11823.75,1495,1141,0,0
2020-04-03,2020-04-09,2020-04-09,8150,75,YES,,,3,1,0,6,3,-380.05,-28503.75,180.00,-28683.75,1447,1114,0,0
2020-04-13,2020-04-16,2020-04-16,9100,75,YES,,,6,4,3,12,3,329.40,24705.00,360.00,24345.00,0,463,0,0
2020-04-17,2020-04-23,2020-04-23,9250,75,YES,,,5,3,3,10,3,361.90,27142.50,300.00,26842.50,204,863,0,0
2020-04-24,2020-04-30,2020-04-30,9200,75,YES,,,3,1,0,6,3,-295.60,-22170.00,180.00,-22350.00,239,1003,0,0
2020-05-04,2020-05-07,2020-05-07,9450,75,YES,,,5,3,2,10,3,128.50,9637.50,300.00,9337.50,269,838,0,0
2020-05-08,2020-05-14,2020-05-14,9350,75,YES,,,5,3,3,10,3,84.95,6371.25,300.00,6071.25,119,734,0,0
