entry_date,exit_date,expiry,atm,lot_size,traded,skip_reason,remarks,legs_traded,adds,unwinds,orders,max_legs,gross_points,gross_pnl,costs,net_pnl,stale_prices,adds_blocked
2022-07-22,2022-07-28,2022-07-28,16700,50,NO,balance_check_failed,"CE=112.20 PE=142.50 within 78.7%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2022-07-29,2022-08-04,2022-08-04,17100,50,YES,,,14,12,12,28,6,19.00,950.00,840.00,110.00,0,326
2022-08-05,2022-08-11,2022-08-11,17400,50,YES,,,9,7,5,18,4,171.70,8585.00,540.00,8045.00,0,370
2022-08-12,2022-08-18,2022-08-18,17650,50,YES,,,9,7,2,18,7,251.80,12590.00,540.00,12050.00,3,516
2022-08-19,2022-08-25,2022-08-25,17950,50,YES,,,16,14,14,32,10,-87.80,-4390.00,960.00,-5350.00,98,217
2022-08-26,2022-09-01,2022-09-01,17650,50,YES,,,11,9,9,22,6,-30.55,-1527.50,660.00,-2187.50,20,369
2022-09-02,2022-09-08,2022-09-08,17600,50,YES,,,12,10,9,24,4,92.35,4617.50,720.00,3897.50,0,271
2022-09-09,2022-09-15,2022-09-15,17900,50,YES,,,13,11,11,26,5,-158.85,-7942.50,780.00,-8722.50,0,237
2022-09-16,2022-09-22,2022-09-22,17800,50,YES,,,16,14,14,32,5,99.00,4950.00,960.00,3990.00,11,210
2022-09-23,2022-09-29,2022-09-29,17550,50,YES,,,12,10,9,24,7,12.65,632.50,720.00,-87.50,432,840
2022-09-30,2022-10-06,2022-10-06,16750,50,YES,,,11,9,6,22,7,187.80,9390.00,660.00,8730.00,282,690
2022-10-07,2022-10-13,2022-10-13,17300,50,YES,,,15,13,12,30,6,138.80,6940.00,900.00,6040.00,0,348
2022-10-14,2022-10-20,2022-10-20,17300,50,YES,,,12,10,10,24,6,39.05,1952.50,720.00,1232.50,1,258
2022-10-21,2022-10-27,2022-10-27,17650,50,NO,balance_check_failed,"CE=102.05 PE=139.55 within 73.1%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2022-10-28,2022-11-03,2022-11-03,17800,50,YES,,,9,7,7,18,8,37.30,1865.00,540.00,1325.00,0,265
2022-11-04,2022-11-10,2022-11-10,18100,50,YES,,,11,9,8,22,6,98.25,4912.50,660.00,4252.50,0,364
2022-11-11,2022-11-17,2022-11-17,18250,50,NO,balance_check_failed,"CE=131.90 PE=89.00 within 67.5%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2022-11-18,2022-11-24,2022-11-24,18350,50,NO,balance_check_failed,"CE=124.80 PE=96.75 within 77.5%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2022-11-25,2022-12-01,2022-12-01,18450,50,NO,balance_check_failed,"CE=130.40 PE=77.00 within 59.0%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2022-12-02,2022-12-08,2022-12-08,18750,50,NO,balance_check_failed,"CE=136.85 PE=87.50 within 63.9%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2022-12-09,2022-12-15,2022-12-15,18650,50,NO,balance_check_failed,"CE=120.60 PE=71.80 within 59.5%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2022-12-16,2022-12-22,2022-12-22,18350,50,YES,,,23,21,18,46,6,31.30,1565.00,1380.00,185.00,0,362
2022-12-23,2022-12-29,2022-12-29,18000,50,NO,balance_check_failed,"CE=183.80 PE=110.00 within 59.8%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
2022-12-30,2023-01-05,2023-01-05,18200,50,NO,balance_check_failed,"CE=139.95 PE=99.80 within 71.3%, needs >= 80%",0,0,0,0,2,0.00,0.00,0.00,0.00,0,0
