entry_date,status,skip_reason,expiry_date,spot_entry_timestamp,spot_entry_open,atm_strike,initial_ce_entry_open,initial_pe_entry_open,entry_credit_points,entry_credit_rupees,adjustments,first_add_count,rebalance_count,reversal_exit_count,orders_executed,exit_timestamp,gross_pnl,brokerage,net_pnl,remarks
2025-01-03,TRADED,,2025-01-09,2025-01-03T09:30:00+05:30,24132.15,24150,170.65,197.95,368.60,47918.00,5,3,0,2,10,2025-01-03T15:20:00+05:30,851.50,250.00,601.50,
2025-01-07,TRADED,,2025-01-09,2025-01-07T09:30:00+05:30,23761.0,23750,171.0,142.55,313.55,40761.50,0,0,0,0,4,2025-01-07T15:20:00+05:30,8528.00,100.00,8428.00,
2025-01-10,TRADED,,2025-01-16,2025-01-10T09:30:00+05:30,23518.65,23500,204.5,159.94,364.44,47377.20,2,1,0,1,6,2025-01-10T15:20:00+05:30,4152.20,150.00,4002.20,
2025-01-14,TRADED,,2025-01-16,2025-01-14T09:30:00+05:30,23192.5,23200,125.45,107.05,232.50,30225.00,2,1,0,1,6,2025-01-14T15:20:00+05:30,5718.70,150.00,5568.70,
2025-01-17,TRADED,,2025-01-23,2025-01-17T09:30:00+05:30,23221.1,23200,201.65,149.55,351.20,45656.00,0,0,0,0,4,2025-01-17T15:20:00+05:30,2379.00,100.00,2279.00,
2025-01-24,TRADED,,2025-01-30,2025-01-24T09:30:00+05:30,23235.25,23250,197.85,186.15,384.00,49920.00,3,2,0,1,8,2025-01-24T15:20:00+05:30,3979.30,200.00,3779.30,
2025-01-27,TRADED,,2025-01-30,2025-01-27T09:30:00+05:30,22967.55,22950,182.05,162.35,344.40,44772.00,1,1,0,0,6,2025-01-27T15:20:00+05:30,3581.50,150.00,3431.50,
2025-01-29,TRADED,,2025-01-30,2025-01-29T09:30:00+05:30,22988.0,23000,155.8,140.05,295.85,38460.50,5,3,0,2,10,2025-01-29T15:20:00+05:30,-8539.70,250.00,-8789.70,
2025-01-31,TRADED,,2025-02-06,2025-01-31T09:30:00+05:30,23325.35,23350,338.65,301.14,639.79,83172.70,1,1,0,0,6,2025-01-31T15:20:00+05:30,15034.50,150.00,14884.50,
2025-02-01,TRADED,,2025-02-06,2025-02-01T09:30:00+05:30,23510.05,23500,263.0,216.15,479.15,62289.50,2,1,0,1,6,2025-02-01T15:20:00+05:30,20113.60,150.00,19963.60,
2025-02-03,TRADED,,2025-02-06,2025-02-03T09:30:00+05:30,23334.2,23350,133.85,136.44,270.29,35137.70,2,1,0,1,6,2025-02-03T15:20:00+05:30,2982.20,150.00,2832.20,
2025-02-05,TRADED,,2025-02-06,2025-02-05T09:30:00+05:30,23764.0,23750,76.95,103.6,180.55,23471.50,1,1,0,0,6,2025-02-05T15:20:00+05:30,1677.00,150.00,1527.00,
2025-02-07,TRADED,,2025-02-13,2025-02-07T09:30:00+05:30,23593.15,23600,205.2,185.9,391.10,50843.00,4,2,0,2,8,2025-02-07T15:20:00+05:30,8131.50,200.00,7931.50,
2025-02-10,TRADED,,2025-02-13,2025-02-10T09:30:00+05:30,23473.65,23450,161.6,136.0,297.60,38688.00,4,2,0,2,8,2025-02-10T15:20:00+05:30,-2158.00,200.00,-2358.00,
2025-02-17,TRADED,,2025-02-20,2025-02-17T09:30:00+05:30,22830.35,22850,191.45,152.3,343.75,44687.50,3,2,0,1,8,2025-02-17T15:20:00+05:30,617.50,200.00,417.50,
2025-02-18,TRADED,,2025-02-20,2025-02-18T09:30:00+05:30,22900.4,22900,157.44,153.19,310.63,40381.90,0,0,0,0,4,2025-02-18T15:20:00+05:30,8421.40,100.00,8321.40,
2025-02-21,TRADED,,2025-02-27,2025-02-21T09:30:00+05:30,22896.4,22900,168.15,141.3,309.45,40228.50,2,1,0,1,6,2025-02-21T15:20:00+05:30,1729.00,150.00,1579.00,
2025-02-24,TRADED,,2025-02-27,2025-02-24T09:30:00+05:30,22619.95,22600,152.4,107.7,260.10,33813.00,0,0,0,0,4,2025-02-24T15:20:00+05:30,6636.50,100.00,6536.50,
2025-03-03,TRADED,,2025-03-06,2025-03-03T09:30:00+05:30,22173.2,22150,173.6,97.1,270.70,35191.00,2,1,0,1,6,2025-03-03T15:20:00+05:30,3412.50,150.00,3262.50,
2025-03-07,TRADED,,2025-03-13,2025-03-07T09:30:00+05:30,22511.6,22500,169.65,138.0,307.65,39994.50,5,3,0,2,10,2025-03-07T15:20:00+05:30,-2787.20,250.00,-3037.20,
2025-03-17,TRADED,,2025-03-20,2025-03-17T09:30:00+05:30,22539.1,22550,129.69,104.9,234.59,30496.70,2,1,0,1,6,2025-03-17T15:20:00+05:30,-488.80,150.00,-638.80,
2025-03-28,TRADED,,2025-04-03,2025-03-28T09:30:00+05:30,23558.75,23550,179.3,131.3,310.60,40378.00,2,1,0,1,6,2025-03-28T15:20:00+05:30,8105.50,150.00,7955.50,
2025-04-07,TRADED,,2025-04-09,2025-04-07T09:30:00+05:30,22042.35,22050,310.5,252.05,562.55,73131.50,4,2,0,2,8,2025-04-07T15:20:00+05:30,-17979.00,200.00,-18179.00,
2025-04-11,TRADED,,2025-04-17,2025-04-11T09:30:00+05:30,22762.45,22750,266.89,208.1,474.99,61748.70,2,1,0,1,6,2025-04-11T15:20:00+05:30,-9581.00,150.00,-9731.00,
2025-04-15,TRADED,,2025-04-17,2025-04-15T09:30:00+05:30,23297.9,23300,144.3,141.25,285.55,37121.50,0,0,0,0,4,2025-04-15T15:20:00+05:30,10348.00,100.00,10248.00,
2025-04-22,TRADED,,2025-04-24,2025-04-22T09:30:00+05:30,24132.6,24150,94.65,118.9,213.55,27761.50,2,1,0,1,6,2025-04-22T15:20:00+05:30,1027.00,150.00,877.00,
2025-05-05,TRADED,,2025-05-08,2025-05-05T09:30:00+05:30,24442.25,24450,128.85,147.94,276.79,35982.70,2,1,0,1,6,2025-05-05T15:20:00+05:30,7116.20,150.00,6966.20,
2025-05-09,TRADED,,2025-05-15,2025-05-09T09:30:00+05:30,24083.55,24100,246.5,264.75,511.25,66462.50,3,2,0,1,8,2025-05-09T15:20:00+05:30,2243.80,200.00,2043.80,
2025-05-16,TRADED,,2025-05-22,2025-05-16T09:30:00+05:30,25033.25,25050,191.5,182.05,373.55,48561.50,0,0,0,0,4,2025-05-16T15:20:00+05:30,2047.50,100.00,1947.50,
2025-05-19,TRADED,,2025-05-22,2025-05-19T09:30:00+05:30,25014.15,25000,179.5,167.1,346.60,45058.00,0,0,0,0,4,2025-05-19T15:20:00+05:30,3048.50,100.00,2948.50,
2025-05-26,TRADED,,2025-05-29,2025-05-26T09:30:00+05:30,25040.05,25050,218.9,189.5,408.40,53092.00,0,0,0,0,4,2025-05-26T15:20:00+05:30,-182.00,100.00,-282.00,
2025-05-28,TRADED,,2025-05-29,2025-05-28T09:30:00+05:30,24768.9,24750,195.3,168.0,363.30,47229.00,2,1,0,1,6,2025-05-28T15:20:00+05:30,17010.50,150.00,16860.50,
2025-05-30,TRADED,,2025-06-05,2025-05-30T09:30:00+05:30,24848.05,24850,227.3,196.9,424.20,55146.00,0,0,0,0,4,2025-05-30T15:20:00+05:30,1248.00,100.00,1148.00,
2025-06-02,TRADED,,2025-06-05,2025-06-02T09:30:00+05:30,24564.8,24550,200.7,195.05,395.75,51447.50,1,1,0,0,6,2025-06-02T15:20:00+05:30,-6935.50,150.00,-7085.50,
2025-06-03,TRADED,,2025-06-05,2025-06-03T09:30:00+05:30,24647.9,24650,223.7,208.05,431.75,56127.50,0,0,0,0,4,2025-06-03T15:20:00+05:30,19123.00,100.00,19023.00,
2025-06-09,TRADED,,2025-06-12,2025-06-09T09:30:00+05:30,25093.9,25100,152.1,159.4,311.50,40495.00,0,0,0,0,4,2025-06-09T15:20:00+05:30,5362.50,100.00,5262.50,
2025-06-10,TRADED,,2025-06-12,2025-06-10T09:30:00+05:30,25087.75,25100,108.35,127.2,235.55,30621.50,0,0,0,0,4,2025-06-10T15:20:00+05:30,6389.50,100.00,6289.50,
2025-06-11,TRADED,,2025-06-12,2025-06-11T09:30:00+05:30,25135.95,25150,65.3,96.25,161.55,21001.50,2,1,0,1,6,2025-06-11T15:20:00+05:30,832.00,150.00,682.00,
2025-06-13,TRADED,,2025-06-19,2025-06-13T09:30:00+05:30,24641.9,24650,195.8,197.6,393.40,51142.00,0,0,0,0,4,2025-06-13T15:20:00+05:30,2795.00,100.00,2695.00,
2025-06-17,TRADED,,2025-06-19,2025-06-17T09:30:00+05:30,24882.7,24900,112.65,139.05,251.70,32721.00,2,1,0,1,6,2025-06-17T15:20:00+05:30,3074.50,150.00,2924.50,
2025-06-27,TRADED,,2025-07-03,2025-06-27T09:30:00+05:30,25537.3,25550,174.55,163.35,337.90,43927.00,1,1,0,0,6,2025-06-27T15:20:00+05:30,5063.50,150.00,4913.50,
2025-07-01,TRADED,,2025-07-03,2025-07-01T09:30:00+05:30,25574.2,25550,126.75,103.95,230.70,29991.00,0,0,0,0,4,2025-07-01T15:20:00+05:30,6084.00,100.00,5984.00,
2025-07-04,TRADED,,2025-07-10,2025-07-04T09:30:00+05:30,25424.55,25400,168.0,130.8,298.80,38844.00,0,0,0,0,4,2025-07-04T15:20:00+05:30,2320.50,100.00,2220.50,
2025-07-07,TRADED,,2025-07-10,2025-07-07T09:30:00+05:30,25441.4,25450,119.15,122.95,242.10,31473.00,0,0,0,0,4,2025-07-07T15:20:00+05:30,1157.00,100.00,1057.00,
2025-07-08,TRADED,,2025-07-10,2025-07-08T09:30:00+05:30,25475.9,25500,94.1,109.35,203.45,26448.50,0,0,0,0,4,2025-07-08T15:20:00+05:30,2606.50,100.00,2506.50,
2025-07-09,TRADED,,2025-07-10,2025-07-09T09:30:00+05:30,25483.35,25500,69.7,71.9,141.60,18408.00,4,2,0,2,8,2025-07-09T15:20:00+05:30,-838.50,200.00,-1038.50,
2025-07-11,TRADED,,2025-07-17,2025-07-11T09:30:00+05:30,25309.9,25300,143.9,115.8,259.70,33761.00,1,1,0,0,6,2025-07-11T15:20:00+05:30,-513.50,150.00,-663.50,
2025-07-14,TRADED,,2025-07-17,2025-07-14T09:30:00+05:30,25071.9,25050,133.4,94.4,227.80,29614.00,3,2,0,1,8,2025-07-14T15:20:00+05:30,-611.00,200.00,-811.00,
