period,days,skipped_days,trades,skipped_rows,crossover_entries,pullback_reentries,target_exits,stop_exits,gap_target_exits,gap_stop_exits,reversal_exits,winning_days,losing_days,break_even_days,total_points,total_rupees,average_points,max_profit_date,max_profit_points,max_profit_rupees,max_loss_date,max_loss_points,max_loss_rupees,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_rupees
2022,166,4,96,4,71,25,28,62,4,1,1,27,51,0,737.90,47963.50,9.46,2022-07-20,322.00,20930.00,2022-09-01,-81.80,-5317.00,5,8,330.80,21502.00
2023,246,4,176,4,125,51,51,109,5,5,6,43,98,0,2.80,182.00,0.02,2023-08-03,163.80,10647.00,2023-10-13,-147.90,-9613.50,2,15,577.60,37544.00
2024,249,4,177,4,129,48,46,109,11,5,6,50,84,0,173.80,11297.00,1.30,2024-10-03,347.05,22558.25,2024-06-04,-359.55,-23370.75,7,12,1265.65,82267.25
2025,249,4,169,4,119,50,53,100,8,4,4,54,80,0,919.05,59738.25,6.86,2025-04-15,562.15,36539.75,2025-05-02,-181.25,-11781.25,3,8,709.85,46140.25
2026,82,2,61,2,43,18,17,38,3,3,0,16,35,0,1177.75,76553.75,23.09,2026-04-08,963.70,62640.50,2026-03-24,-406.65,-26432.25,2,6,474.50,30842.50
