entry_expiry,entry_date,status,skip_reason,target_expiry,spot_entry_timestamp,spot_entry_open,atm_strike,sell_ce_strike,sell_ce_entry_timestamp,sell_ce_entry_open,sell_ce_exit_timestamp,sell_ce_exit_open,sell_pe_strike,sell_pe_entry_timestamp,sell_pe_entry_open,sell_pe_exit_timestamp,sell_pe_exit_open,buy_ce_strike,buy_ce_entry_timestamp,buy_ce_entry_open,buy_ce_exit_timestamp,buy_ce_exit_open,buy_pe_strike,buy_pe_entry_timestamp,buy_pe_entry_open,buy_pe_exit_timestamp,buy_pe_exit_open,lot_size,net_entry_credit_points,gross_pnl,brokerage,net_pnl,remarks
2020-03-12,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-03-19,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-03-12 and 2020-03-19.
2020-03-19,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-03-26,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-03-19 and 2020-03-26.
2020-03-26,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-04-01,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-03-26 and 2020-04-01.
2020-04-01,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-04-09,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-04-01 and 2020-04-09.
2020-04-09,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-04-16,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-04-09 and 2020-04-16.
2020-04-16,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-04-23,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-04-16 and 2020-04-23.
2020-04-23,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-04-30,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-04-23 and 2020-04-30.
2020-04-30,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-04-30 and 2020-05-07.
2020-05-07,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-05-14,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-05-07 and 2020-05-14.
2020-05-14,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-05-21,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-05-14 and 2020-05-21.
2020-05-21,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-05-28,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-05-21 and 2020-05-28.
2020-05-28,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-06-04,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-05-28 and 2020-06-04.
2020-06-04,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-06-11,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-06-04 and 2020-06-11.
2020-06-11,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-06-18,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-06-11 and 2020-06-18.
2020-06-18,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-06-25,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-06-18 and 2020-06-25.
2020-06-25,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-07-02,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-06-25 and 2020-07-02.
2020-07-02,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-07-09,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-07-02 and 2020-07-09.
2020-07-09,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-07-16,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-07-09 and 2020-07-16.
2020-07-16,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-07-23,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-07-16 and 2020-07-23.
2020-07-23,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-07-30,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-07-23 and 2020-07-30.
2020-07-30,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-08-06,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-07-30 and 2020-08-06.
2020-08-06,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-08-13,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-08-06 and 2020-08-13.
2020-08-13,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-08-20,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-08-13 and 2020-08-20.
2020-08-20,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-08-27,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-08-20 and 2020-08-27.
2020-08-27,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-09-03,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-08-27 and 2020-09-03.
2020-09-03,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-09-10,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-09-03 and 2020-09-10.
2020-09-10,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-09-17,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-09-10 and 2020-09-17.
2020-09-17,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-09-24,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-09-17 and 2020-09-24.
2020-09-24,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-10-01,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-09-24 and 2020-10-01.
2020-10-01,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-10-08,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-10-01 and 2020-10-08.
2020-10-08,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-10-08 and 2020-10-15.
2020-10-15,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-10-22,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-10-15 and 2020-10-22.
2020-10-22,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-10-29,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-10-22 and 2020-10-29.
2020-10-29,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-11-05,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-10-29 and 2020-11-05.
2020-11-05,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-11-12,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-11-05 and 2020-11-12.
2020-11-12,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-11-19,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-11-12 and 2020-11-19.
2020-11-19,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-11-26,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-11-19 and 2020-11-26.
2020-11-26,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-12-03,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-11-26 and 2020-12-03.
2020-12-03,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-12-10,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-12-03 and 2020-12-10.
2020-12-10,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-12-17,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-12-10 and 2020-12-17.
2020-12-17,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-12-24,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-12-17 and 2020-12-24.
2020-12-24,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-12-24 and 2020-12-31.
2020-12-31,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-01-07,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-12-31 and 2021-01-07.
2021-01-07,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-01-14,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-01-07 and 2021-01-14.
2021-01-14,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-01-21,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-01-14 and 2021-01-21.
2021-01-21,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-01-28,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-01-21 and 2021-01-28.
2021-01-28,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-02-04,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-01-28 and 2021-02-04.
2021-02-04,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-02-11,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-02-04 and 2021-02-11.
2021-02-11,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-02-18,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-02-11 and 2021-02-18.
2021-02-18,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-02-25,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-02-18 and 2021-02-25.
2021-02-25,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-03-04,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-02-25 and 2021-03-04.
2021-03-04,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-03-10,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-03-04 and 2021-03-10.
2021-03-10,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-03-18,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-03-10 and 2021-03-18.
2021-03-18,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-03-25,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-03-18 and 2021-03-25.
2021-03-25,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-03-25 and 2021-04-01.
2021-04-01,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-04-08,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-04-01 and 2021-04-08.
2021-04-08,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-04-15,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-04-08 and 2021-04-15.
2021-04-15,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-04-22,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-04-15 and 2021-04-22.
2021-04-22,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-04-29,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-04-22 and 2021-04-29.
2021-04-29,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-05-06,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-04-29 and 2021-05-06.
2021-05-06,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-05-12,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-05-06 and 2021-05-12.
2021-05-12,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-05-20,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-05-12 and 2021-05-20.
2021-05-20,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-05-27,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-05-20 and 2021-05-27.
2021-05-27,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-06-03,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-05-27 and 2021-06-03.
2021-06-03,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-06-10,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-06-03 and 2021-06-10.
2021-06-10,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-06-17,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-06-10 and 2021-06-17.
2021-06-17,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-06-24,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-06-17 and 2021-06-24.
2021-06-24,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-07-01,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-06-24 and 2021-07-01.
2021-07-01,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-07-08,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-07-01 and 2021-07-08.
2021-07-08,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-07-15,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-07-08 and 2021-07-15.
2021-07-15,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-07-15 and 2021-07-22.
2021-07-22,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-07-29,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-07-22 and 2021-07-29.
2021-07-29,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-08-05,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-07-29 and 2021-08-05.
2021-08-05,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-08-12,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-08-05 and 2021-08-12.
2021-08-12,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-08-18,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-08-12 and 2021-08-18.
2021-08-18,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-08-26,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-08-18 and 2021-08-26.
2021-08-26,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-09-02,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-08-26 and 2021-09-02.
2021-09-02,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-09-09,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-09-02 and 2021-09-09.
2021-09-09,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-09-16,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-09-09 and 2021-09-16.
2021-09-16,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-09-23,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-09-16 and 2021-09-23.
2021-09-23,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-09-23 and 2021-09-30.
2021-09-30,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-10-07,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-09-30 and 2021-10-07.
2021-10-07,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-10-14,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-10-07 and 2021-10-14.
2021-10-14,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-10-21,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-10-14 and 2021-10-21.
2021-10-21,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-10-28,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-10-21 and 2021-10-28.
2021-10-28,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-11-03,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-10-28 and 2021-11-03.
2021-11-03,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-11-11,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-11-03 and 2021-11-11.
2021-11-11,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-11-18,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-11-11 and 2021-11-18.
2021-11-18,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-11-25,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-11-18 and 2021-11-25.
2021-11-25,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-12-02,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-11-25 and 2021-12-02.
2021-12-02,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-12-09,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-12-02 and 2021-12-09.
2021-12-09,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-12-16,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-12-09 and 2021-12-16.
2021-12-16,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-12-23,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-12-16 and 2021-12-23.
2021-12-23,2022-05-05,SKIPPED,no_trading_day_between_expiries,2021-12-30,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-12-23 and 2021-12-30.
2021-12-30,2022-05-05,SKIPPED,no_trading_day_between_expiries,2022-01-06,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2021-12-30 and 2022-01-06.
2022-01-06,2022-05-05,SKIPPED,no_trading_day_between_expiries,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2022-01-06 and 2022-01-13.
2022-01-13,2022-05-05,SKIPPED,no_trading_day_between_expiries,2022-01-20,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2022-01-13 and 2022-01-20.
2022-01-20,2022-05-05,SKIPPED,no_trading_day_between_expiries,2022-01-27,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2022-01-20 and 2022-01-27.
2022-01-27,2022-05-05,SKIPPED,no_trading_day_between_expiries,2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2022-01-27 and 2022-02-03.
2022-02-03,2022-05-05,SKIPPED,no_trading_day_between_expiries,2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2022-02-03 and 2022-02-10.
2022-02-10,2022-05-05,SKIPPED,no_trading_day_between_expiries,2022-02-17,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2022-02-10 and 2022-02-17.
2022-02-17,2022-05-05,SKIPPED,no_trading_day_between_expiries,2022-02-24,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2022-02-17 and 2022-02-24.
2022-02-24,2022-05-05,SKIPPED,no_trading_day_between_expiries,2022-03-03,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2022-02-24 and 2022-03-03.
2022-03-03,2022-05-05,SKIPPED,no_trading_day_between_expiries,2022-03-10,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2022-03-03 and 2022-03-10.
2022-03-10,2022-05-05,SKIPPED,no_trading_day_between_expiries,2022-03-17,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2022-03-10 and 2022-03-17.
2022-03-17,2022-05-05,SKIPPED,no_trading_day_between_expiries,2022-03-24,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2022-03-17 and 2022-03-24.
2022-03-24,2022-05-05,SKIPPED,no_trading_day_between_expiries,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2022-03-24 and 2022-03-31.
2022-03-31,2022-05-05,SKIPPED,no_trading_day_between_expiries,2022-04-07,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2022-03-31 and 2022-04-07.
2022-04-07,2022-05-05,SKIPPED,no_trading_day_between_expiries,2022-04-13,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2022-04-07 and 2022-04-13.
2022-04-13,2022-05-05,SKIPPED,no_trading_day_between_expiries,2022-04-21,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2022-04-13 and 2022-04-21.
2022-04-21,2022-05-05,SKIPPED,no_trading_day_between_expiries,2022-04-28,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2022-04-21 and 2022-04-28.
