entry_expiry,entry_date,status,skip_reason,target_expiry,spot_entry_timestamp,spot_entry_open,atm_strike,sell_ce_strike,sell_ce_entry_timestamp,sell_ce_entry_open,sell_ce_exit_timestamp,sell_ce_exit_open,sell_pe_strike,sell_pe_entry_timestamp,sell_pe_entry_open,sell_pe_exit_timestamp,sell_pe_exit_open,buy_ce_strike,buy_ce_entry_timestamp,buy_ce_entry_open,buy_ce_exit_timestamp,buy_ce_exit_open,buy_pe_strike,buy_pe_entry_timestamp,buy_pe_entry_open,buy_pe_exit_timestamp,buy_pe_exit_open,lot_size,net_entry_credit_points,gross_pnl,brokerage,net_pnl,remarks
2020-01-02,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-01-02 and 2020-01-09.
2020-01-09,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-01-16,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-01-09 and 2020-01-16.
2020-01-16,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-01-16 and 2020-01-23.
2020-01-23,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-01-30,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-01-23 and 2020-01-30.
2020-01-30,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-02-06,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-01-30 and 2020-02-06.
2020-02-06,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-02-06 and 2020-02-13.
2020-02-13,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-02-20,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-02-13 and 2020-02-20.
2020-02-20,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-02-20 and 2020-02-27.
2020-02-27,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-02-27 and 2020-03-05.
2020-03-05,2022-05-05,SKIPPED,no_trading_day_between_expiries,2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,No spot trading day found strictly between 2020-03-05 and 2020-03-12.
