period,trades,skipped,long_trades,short_trades,winning_trades,losing_trades,break_even_trades,total_points,total_rupees,average_points,max_profit_date,max_profit_points,max_profit_rupees,max_loss_date,max_loss_points,max_loss_rupees,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_rupees
2022,164,2,89,75,88,76,0,1840.00,119600.00,11.22,2022-08-26,394.20,25623.00,2022-10-13,-304.50,-19792.50,6,7,1150.00,74750.00
2023,244,2,128,116,137,107,0,1965.10,127731.50,8.05,2023-12-13,173.00,11245.00,2023-12-01,-346.10,-22496.50,10,7,532.80,34632.00
2024,245,4,124,121,140,104,1,3056.15,198649.75,12.47,2024-05-31,787.45,51184.25,2024-10-01,-359.70,-23380.50,12,8,1098.95,71431.75
2025,247,2,122,125,124,122,1,4609.80,299637.00,18.66,2025-04-04,1153.65,74987.25,2025-08-14,-322.15,-20939.75,11,8,629.80,40937.00
2026,81,1,38,43,50,31,0,4694.90,305168.50,57.96,2026-02-02,1228.15,79829.75,2026-03-30,-519.80,-33787.00,7,3,678.70,44115.50
