entry_date,status,skip_reason,expiry_date,trades,ce_trades,pe_trades,stopped_trades,day_close_trades,skipped_signals,orders_executed,gross_pnl,brokerage,net_pnl,remarks
2025-10-03,TRADED,,2025-10-07,8,2,6,7,1,0,16,-260.00,400.00,-660.00,
2025-10-06,TRADED,,2025-10-07,1,0,1,0,1,0,2,12376.00,50.00,12326.00,
2025-10-07,TRADED,,2025-10-07,4,2,2,3,1,0,8,4173.00,200.00,3973.00,
2025-10-08,TRADED,,2025-10-14,6,2,4,5,1,0,12,8502.00,300.00,8202.00,
2025-10-09,TRADED,,2025-10-14,4,2,2,3,1,0,8,2795.00,200.00,2595.00,
2025-10-10,TRADED,,2025-10-14,2,0,2,2,0,0,4,5551.00,100.00,5451.00,
2025-10-13,TRADED,,2025-10-14,3,2,1,2,1,0,6,-2886.00,150.00,-3036.00,
2025-10-14,TRADED,,2025-10-14,8,4,4,8,0,0,16,-3965.00,400.00,-4365.00,
2025-10-15,TRADED,,2025-10-20,1,0,1,0,1,0,2,7085.00,50.00,7035.00,
2025-10-16,TRADED,,2025-10-20,1,0,1,0,1,0,2,7228.00,50.00,7178.00,
2025-10-17,TRADED,,2025-10-20,6,2,4,5,1,0,12,-6383.00,300.00,-6683.00,
2025-10-20,TRADED,,2025-10-20,3,2,1,3,0,0,6,-8242.00,150.00,-8392.00,
2025-10-21,SKIPPED,missing_spot_1m_timestamp,2025-10-28,0,0,0,0,0,1,0,0.00,0.00,0.00,"Missing 1-minute NIFTY monitoring timestamps: 285 missing timestamps from 2025-10-21T09:30:00+05:30 through 2025-10-21T15:15:00+05:30; first 5: 2025-10-21T09:30:00+05:30, 2025-10-21T09:31:00+05:30, 2025-10-21T09:32:00+05:30, 2025-10-21T09:33:00+05:30, 2025-10-21T09:34:00+05:30; last 5: 2025-10-21T15:11:00+05:30, 2025-10-21T15:12:00+05:30, 2025-10-21T15:13:00+05:30, 2025-10-21T15:14:00+05:30, 2025-10-21T15:15:00+05:30"
2025-10-23,TRADED,,2025-10-28,2,1,1,1,1,0,4,10439.00,100.00,10339.00,
2025-10-24,TRADED,,2025-10-28,1,1,0,0,1,0,2,20670.00,50.00,20620.00,
2025-10-27,TRADED,,2025-10-28,2,0,2,2,0,0,4,3341.00,100.00,3241.00,
2025-10-28,TRADED,,2025-10-28,8,2,6,8,0,0,16,3796.00,400.00,3396.00,
2025-10-29,TRADED,,2025-11-04,2,0,2,1,1,0,4,3952.00,100.00,3852.00,
2025-10-30,TRADED,,2025-11-04,1,1,0,0,1,0,2,12441.00,50.00,12391.00,
2025-10-31,TRADED,,2025-11-04,3,1,2,2,1,0,6,15691.00,150.00,15541.00,
2025-11-03,TRADED,,2025-11-04,8,2,6,7,1,0,16,-15808.00,400.00,-16208.00,
2025-11-04,TRADED,,2025-11-04,1,1,0,0,1,0,2,10335.00,50.00,10285.00,
2025-11-06,TRADED,,2025-11-11,5,5,0,4,1,0,10,17121.00,250.00,16871.00,
2025-11-07,TRADED,,2025-11-11,2,1,1,1,1,0,4,-13182.00,100.00,-13282.00,
2025-11-10,TRADED,,2025-11-11,3,0,3,3,0,0,6,8593.00,150.00,8443.00,
2025-11-11,TRADED,,2025-11-11,2,1,1,1,1,0,4,6123.00,100.00,6023.00,
2025-11-12,TRADED,,2025-11-18,1,0,1,0,1,0,2,8879.00,50.00,8829.00,
2025-11-13,TRADED,,2025-11-18,5,4,1,4,1,0,10,5772.00,250.00,5522.00,
2025-11-14,TRADED,,2025-11-18,1,1,0,1,0,0,2,13286.00,50.00,13236.00,
2025-11-17,TRADED,,2025-11-18,1,0,1,0,1,0,2,5135.00,50.00,5085.00,
