period,days,skipped_days,trades,skipped_rows,crossover_entries,pullback_reentries,target_exits,stop_exits,gap_target_exits,gap_stop_exits,reversal_exits,winning_days,losing_days,break_even_days,total_points,total_rupees,average_points,max_profit_date,max_profit_points,max_profit_rupees,max_loss_date,max_loss_points,max_loss_rupees,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_rupees
2022,166,4,110,4,71,39,46,60,3,0,1,34,50,0,530.30,34469.50,6.31,2022-07-20,249.50,16217.50,2022-10-19,-85.90,-5583.50,5,7,284.80,18512.00
2023,246,4,192,4,125,67,77,106,3,4,2,55,91,0,-597.40,-38831.00,-4.09,2023-09-20,146.10,9496.50,2023-10-13,-147.90,-9613.50,3,8,673.50,43777.50
2024,249,4,201,4,129,72,80,107,7,5,2,60,86,0,-567.95,-36916.75,-3.89,2024-10-07,260.30,16919.50,2024-06-04,-359.55,-23370.75,6,10,1181.70,76810.50
2025,249,4,181,4,119,62,76,96,3,3,3,56,81,0,-733.70,-47690.50,-5.36,2025-01-10,153.60,9984.00,2025-04-03,-181.95,-11826.75,4,9,1250.75,81298.75
2026,82,2,68,2,43,25,28,36,1,2,1,20,33,0,215.00,13975.00,4.06,2026-03-09,613.75,39893.75,2026-03-24,-406.65,-26432.25,4,6,638.85,41525.25
