period,days,skipped_days,trades,skipped_rows,crossover_entries,pullback_reentries,target_exits,stop_exits,gap_target_exits,gap_stop_exits,reversal_exits,winning_days,losing_days,break_even_days,total_points,total_rupees,average_points,max_profit_date,max_profit_points,max_profit_rupees,max_loss_date,max_loss_points,max_loss_rupees,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_rupees
2022-05,19,2,9,2,7,2,4,5,0,0,0,4,5,0,47.70,3100.50,5.30,2022-05-25,98.30,6389.50,2022-05-16,-73.70,-4790.50,4,4,125.60,8164.00
2022-06,22,0,18,0,14,4,4,13,1,0,0,4,10,0,-194.90,-12668.50,-13.92,2022-06-21,103.00,6695.00,2022-06-30,-80.50,-5232.50,2,4,194.90,12668.50
2022-07,21,0,19,0,8,11,10,8,1,0,0,6,6,0,464.50,30192.50,38.71,2022-07-20,249.50,16217.50,2022-07-04,-36.30,-2359.50,5,4,49.30,3204.50
2022-08,20,0,7,0,6,1,2,5,0,0,0,1,5,0,-92.10,-5986.50,-15.35,2022-08-30,12.20,793.00,2022-08-04,-75.50,-4907.50,1,5,104.30,6779.50
2022-09,22,1,10,1,9,1,2,7,0,0,1,2,6,0,-78.10,-5076.50,-9.76,2022-09-20,67.10,4361.50,2022-09-01,-81.80,-5317.00,1,5,159.30,10354.50
2022-10,19,1,11,1,7,4,5,6,0,0,0,3,5,0,-34.70,-2255.50,-4.34,2022-10-18,65.50,4257.50,2022-10-19,-85.90,-5583.50,1,2,91.40,5941.00
2022-11,21,0,14,0,8,6,5,8,1,0,0,3,7,0,68.20,4433.00,6.82,2022-11-07,107.00,6955.00,2022-11-22,-18.40,-1196.00,2,4,38.80,2522.00
2022-12,22,0,22,0,12,10,14,8,0,0,0,11,6,0,349.70,22730.50,20.57,2022-12-23,167.20,10868.00,2022-12-14,-24.60,-1599.00,5,2,24.60,1599.00
2023-01,21,0,21,0,12,9,11,10,0,0,0,5,10,0,-49.00,-3185.00,-3.27,2023-01-17,139.50,9067.50,2023-01-11,-92.30,-5999.50,2,3,125.10,8131.50
2023-02,20,0,13,0,8,5,6,7,0,0,0,4,6,0,-81.10,-5271.50,-8.11,2023-02-15,31.60,2054.00,2023-02-20,-46.30,-3009.50,3,5,91.90,5973.50
2023-03,21,2,23,2,16,7,11,11,0,0,1,6,10,0,75.90,4933.50,4.74,2023-03-24,136.00,8840.00,2023-03-16,-82.30,-5349.50,3,5,124.30,8079.50
2023-04,17,1,5,1,3,2,2,2,0,0,1,2,1,0,-15.50,-1007.50,-5.17,2023-04-18,6.80,442.00,2023-04-19,-22.80,-1482.00,2,1,22.80,1482.00
2023-05,22,0,20,0,15,5,6,13,0,1,0,4,11,0,-104.00,-6760.00,-6.93,2023-05-22,39.10,2541.50,2023-05-08,-63.00,-4095.00,3,7,143.00,9295.00
2023-06,21,0,20,0,13,7,7,10,1,2,0,5,10,0,-178.10,-11576.50,-11.87,2023-06-23,62.30,4049.50,2023-06-27,-88.00,-5720.00,2,5,178.10,11576.50
2023-07,21,0,20,0,10,10,10,9,0,1,0,6,8,0,15.20,988.00,1.09,2023-07-24,89.20,5798.00,2023-07-26,-67.60,-4394.00,3,3,102.50,6662.50
2023-08,22,1,17,1,12,5,8,9,0,0,0,7,6,0,38.40,2496.00,2.95,2023-08-03,81.90,5323.50,2023-08-09,-57.40,-3731.00,2,3,75.40,4901.00
2023-09,20,0,18,0,9,9,7,10,1,0,0,6,7,0,88.20,5733.00,6.78,2023-09-20,146.10,9496.50,2023-09-26,-42.40,-2756.00,3,4,154.70,10055.50
2023-10,20,0,13,0,8,5,5,8,0,0,0,5,7,0,-228.00,-14820.00,-19.00,2023-10-30,58.50,3802.50,2023-10-13,-147.90,-9613.50,2,3,299.20,19448.00
2023-11,21,0,12,0,10,2,2,9,1,0,0,3,7,0,-21.20,-1378.00,-2.12,2023-11-10,18.90,1228.50,2023-11-23,-27.50,-1787.50,1,4,47.70,3100.50
2023-12,20,0,10,0,9,1,2,8,0,0,0,2,8,0,-138.20,-8983.00,-13.82,2023-12-07,22.00,1430.00,2023-12-21,-62.70,-4075.50,1,6,160.20,10413.00
2024-01,22,0,20,0,14,6,8,11,1,0,0,7,9,0,-40.10,-2606.50,-2.51,2024-01-20,65.90,4283.50,2024-01-24,-69.70,-4530.50,3,4,86.10,5596.50
2024-02,21,0,21,0,14,7,7,13,0,1,0,4,9,0,-344.20,-22373.00,-26.48,2024-02-09,109.90,7143.50,2024-02-14,-170.50,-11082.50,2,5,434.70,28255.50
2024-03,19,0,16,0,11,5,6,8,0,2,0,5,6,0,-107.50,-6987.50,-9.77,2024-03-21,56.55,3675.75,2024-03-22,-92.90,-6038.50,4,2,149.45,9714.25
2024-04,20,1,18,1,15,3,6,12,0,0,0,3,8,0,-105.85,-6880.25,-9.62,2024-04-12,27.70,1800.50,2024-04-10,-39.30,-2554.50,2,4,105.85,6880.25
2024-05,22,0,13,0,5,8,6,6,1,0,0,5,4,0,-19.25,-1251.25,-2.14,2024-05-21,44.85,2915.25,2024-05-16,-48.50,-3152.50,4,2,89.80,5837.00
2024-06,19,1,16,1,10,6,7,8,0,0,1,4,8,0,-403.20,-26208.00,-33.60,2024-06-20,75.45,4904.25,2024-06-04,-359.55,-23370.75,2,3,439.40,28561.00
2024-07,22,1,14,1,10,4,3,9,1,0,1,3,7,0,61.15,3974.75,6.11,2024-07-22,86.10,5596.50,2024-07-11,-36.60,-2379.00,3,6,111.20,7228.00
2024-08,21,0,19,0,8,11,10,5,3,1,0,9,5,0,102.40,6656.00,7.31,2024-08-26,83.95,5456.75,2024-08-16,-190.05,-12353.25,4,2,190.05,12353.25
2024-09,21,1,14,1,10,4,5,9,0,0,0,4,7,0,107.70,7000.50,9.79,2024-09-16,97.10,6311.50,2024-09-19,-54.40,-3536.00,1,2,60.50,3932.50
2024-10,22,0,20,0,10,10,13,7,0,0,0,9,6,0,282.35,18352.75,18.82,2024-10-07,260.30,16919.50,2024-10-08,-84.55,-5495.75,3,4,121.65,7907.25
2024-11,19,0,15,0,10,5,5,9,1,0,0,6,7,0,135.30,8794.50,10.41,2024-11-04,242.70,15775.50,2024-11-19,-139.05,-9038.25,3,3,276.65,17982.25
2024-12,21,0,15,0,12,3,4,10,0,1,0,1,10,0,-236.75,-15388.75,-21.52,2024-12-24,5.00,325.00,2024-12-05,-88.85,-5775.25,1,7,236.75,15388.75
2025-01,23,0,22,0,11,11,12,8,1,1,0,8,8,0,183.40,11921.00,11.46,2025-01-10,153.60,9984.00,2025-01-21,-137.10,-8911.50,3,3,245.40,15951.00
2025-02,20,0,13,0,9,4,5,7,0,0,1,4,6,0,-85.85,-5580.25,-8.58,2025-02-21,32.60,2119.00,2025-02-27,-47.50,-3087.50,2,2,89.50,5817.50
2025-03,19,0,11,0,8,3,2,8,1,0,0,3,6,0,-60.65,-3942.25,-6.74,2025-03-18,151.45,9844.25,2025-03-25,-84.40,-5486.00,2,3,147.45,9584.25
2025-04,19,0,14,0,8,6,8,5,0,1,0,5,5,0,-158.05,-10273.25,-15.80,2025-04-25,122.15,7939.75,2025-04-03,-181.95,-11826.75,3,3,318.10,20676.50
