entry_date,status,skip_reason,expiry_date,next_trading_day,spot_entry_timestamp,spot_entry_open,atm_strike,sold_ce_entry_timestamp,sold_ce_entry_open,sold_ce_exit_timestamp,sold_ce_exit_open,sold_pe_entry_timestamp,sold_pe_entry_open,sold_pe_exit_timestamp,sold_pe_exit_open,buy_ce_strike,buy_ce_entry_timestamp,buy_ce_entry_open,buy_ce_exit_timestamp,buy_ce_exit_open,buy_pe_strike,buy_pe_entry_timestamp,buy_pe_entry_open,buy_pe_exit_timestamp,buy_pe_exit_open,gross_pnl,brokerage,net_pnl,adjustments,remarks
2025-01-01,TRADED,,2025-01-02,2025-01-02,2025-01-01T15:20:00+05:30,23745.95,23750,2025-01-01T15:20:00+05:30,141.65,2025-01-02T09:16:00+05:30,136.69,2025-01-01T15:20:00+05:30,101.9,2025-01-02T09:16:00+05:30,85.45,23950,2025-01-01T15:20:00+05:30,48.3,2025-01-02T09:16:00+05:30,44.3,23500,2025-01-01T15:20:00+05:30,34.54,2025-01-02T09:16:00+05:30,23.7,-371.80,200.00,-571.80,0,
2025-01-02,TRADED,,2025-01-09,2025-01-03,2025-01-02T15:20:00+05:30,24189.45,24200,2025-01-02T15:20:00+05:30,179.65,2025-01-03T09:16:00+05:30,158.65,2025-01-02T15:20:00+05:30,190.0,2025-01-03T09:16:00+05:30,211.2,24500,2025-01-02T15:20:00+05:30,60.15,2025-01-03T09:16:00+05:30,53.3,23800,2025-01-02T15:20:00+05:30,62.2,2025-01-03T09:16:00+05:30,69.0,-2145.00,200.00,-2345.00,0,
2025-01-03,TRADED,,2025-01-09,2025-01-06,2025-01-03T15:20:00+05:30,24000.3,24000,2025-01-03T15:20:00+05:30,158.0,2025-01-06T09:16:00+05:30,165.9,2025-01-03T15:20:00+05:30,156.6,2025-01-06T09:16:00+05:30,138.25,24300,2025-01-03T15:20:00+05:30,51.95,2025-01-06T09:16:00+05:30,52.9,23700,2025-01-03T15:20:00+05:30,49.95,2025-01-06T09:16:00+05:30,42.9,-949.00,200.00,-1149.00,0,
2025-01-06,TRADED,,2025-01-09,2025-01-07,2025-01-06T15:20:00+05:30,23600.6,23600,2025-01-06T15:20:00+05:30,202.65,2025-01-07T09:16:00+05:30,254.9,2025-01-06T15:20:00+05:30,184.5,2025-01-07T09:16:00+05:30,107.15,23950,2025-01-06T15:20:00+05:30,68.2,2025-01-07T09:16:00+05:30,84.95,23200,2025-01-06T15:20:00+05:30,58.0,2025-01-07T09:16:00+05:30,27.7,923.00,200.00,723.00,0,
2025-01-07,TRADED,,2025-01-09,2025-01-08,2025-01-07T15:20:00+05:30,23707.3,23700,2025-01-07T15:20:00+05:30,121.9,2025-01-08T09:16:00+05:30,103.7,2025-01-07T15:20:00+05:30,120.9,2025-01-08T09:16:00+05:30,120.25,23950,2025-01-07T15:20:00+05:30,34.0,2025-01-08T09:16:00+05:30,26.3,23450,2025-01-07T15:20:00+05:30,38.2,2025-01-08T09:16:00+05:30,35.6,143.00,200.00,-57.00,0,
2025-01-08,TRADED,,2025-01-09,2025-01-09,2025-01-08T15:20:00+05:30,23687.4,23700,2025-01-08T15:20:00+05:30,66.15,2025-01-09T09:16:00+05:30,25.25,2025-01-08T15:20:00+05:30,77.59,2025-01-09T09:16:00+05:30,103.65,23900,2025-01-08T15:20:00+05:30,19.14,2025-01-09T09:16:00+05:30,8.19,23550,2025-01-08T15:20:00+05:30,25.55,2025-01-09T09:16:00+05:30,26.7,-769.60,200.00,-969.60,0,
2025-01-09,TRADED,,2025-01-16,2025-01-10,2025-01-09T15:20:00+05:30,23525.85,23550,2025-01-09T15:20:00+05:30,202.85,2025-01-10T09:16:00+05:30,188.85,2025-01-09T15:20:00+05:30,161.25,2025-01-10T09:16:00+05:30,163.8,23900,2025-01-09T15:20:00+05:30,59.85,2025-01-10T09:16:00+05:30,54.45,23200,2025-01-09T15:20:00+05:30,56.4,2025-01-10T09:16:00+05:30,56.45,-494.00,200.00,-694.00,0,
2025-01-10,TRADED,,2025-01-16,2025-01-13,2025-01-10T15:20:00+05:30,23445.65,23450,2025-01-10T15:20:00+05:30,168.2,2025-01-13T09:16:00+05:30,81.15,2025-01-10T15:20:00+05:30,148.9,2025-01-13T09:16:00+05:30,272.14,23750,2025-01-10T15:20:00+05:30,52.5,2025-01-13T09:16:00+05:30,23.0,23100,2025-01-10T15:20:00+05:30,48.15,2025-01-13T09:16:00+05:30,104.95,-4391.40,200.00,-4591.40,0,
2025-01-13,TRADED,,2025-01-16,2025-01-14,2025-01-13T15:20:00+05:30,23098.4,23100,2025-01-13T15:20:00+05:30,157.75,2025-01-14T09:16:00+05:30,195.3,2025-01-13T15:20:00+05:30,114.5,2025-01-14T09:16:00+05:30,68.4,23350,2025-01-13T15:20:00+05:30,50.8,2025-01-14T09:16:00+05:30,63.05,22800,2025-01-13T15:20:00+05:30,37.7,2025-01-14T09:16:00+05:30,21.2,-962.00,200.00,-1162.00,0,
2025-01-14,TRADED,,2025-01-16,2025-01-15,2025-01-14T15:20:00+05:30,23183.35,23200,2025-01-14T15:20:00+05:30,107.35,2025-01-15T09:16:00+05:30,114.2,2025-01-14T15:20:00+05:30,70.55,2025-01-15T09:16:00+05:30,57.95,23400,2025-01-14T15:20:00+05:30,28.1,2025-01-15T09:16:00+05:30,28.75,23000,2025-01-14T15:20:00+05:30,24.2,2025-01-15T09:16:00+05:30,19.7,-1586.00,200.00,-1786.00,0,
2025-01-15,TRADED,,2025-01-16,2025-01-16,2025-01-15T15:20:00+05:30,23206.55,23200,2025-01-15T15:20:00+05:30,62.55,2025-01-16T09:16:00+05:30,129.65,2025-01-15T15:20:00+05:30,50.85,2025-01-16T09:16:00+05:30,10.65,23300,2025-01-15T15:20:00+05:30,21.85,2025-01-16T09:16:00+05:30,56.05,23050,2025-01-15T15:20:00+05:30,17.35,2025-01-16T09:16:00+05:30,3.15,-3874.00,200.00,-4074.00,0,
2025-01-16,TRADED,,2025-01-23,2025-01-17,2025-01-16T15:20:00+05:30,23315.9,23300,2025-01-16T15:20:00+05:30,202.15,2025-01-17T09:16:00+05:30,144.44,2025-01-16T15:20:00+05:30,170.0,2025-01-17T09:16:00+05:30,210.35,23650,2025-01-16T15:20:00+05:30,61.35,2025-01-17T09:16:00+05:30,41.3,22900,2025-01-16T15:20:00+05:30,54.5,2025-01-17T09:16:00+05:30,67.15,509.60,200.00,309.60,0,
