period,days,skipped_days,trades,skipped_rows,crossover_entries,pullback_reentries,target_exits,stop_exits,gap_target_exits,gap_stop_exits,reversal_exits,winning_days,losing_days,break_even_days,total_points,total_rupees,average_points,max_profit_date,max_profit_points,max_profit_rupees,max_loss_date,max_loss_points,max_loss_rupees,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_rupees
2022-05,19,2,8,2,7,1,2,5,0,1,0,2,5,0,-126.40,-8216.00,-18.06,2022-05-23,116.70,7585.50,2022-05-27,-160.10,-10406.50,2,4,160.10,10406.50
2022-06,22,0,14,0,14,0,1,13,0,0,0,1,10,0,-103.90,-6753.50,-9.45,2022-06-21,233.70,15190.50,2022-06-01,-79.70,-5180.50,1,6,197.00,12805.00
2022-07,21,0,11,0,8,3,1,8,2,0,0,3,6,0,463.70,30140.50,51.52,2022-07-20,296.50,19272.50,2022-07-04,-10.00,-650.00,2,4,23.00,1495.00
2022-08,20,0,6,0,6,0,1,5,0,0,0,1,5,0,-64.20,-4173.00,-10.70,2022-08-30,36.60,2379.00,2022-08-04,-75.50,-4907.50,1,5,100.80,6552.00
2022-09,22,1,10,1,9,1,1,8,0,0,1,1,6,0,-166.70,-10835.50,-23.81,2022-09-30,68.40,4446.00,2022-09-01,-81.80,-5317.00,1,6,235.10,15281.50
2022-10,19,1,9,1,7,2,1,5,1,2,0,2,5,0,-179.80,-11687.00,-25.69,2022-10-06,160.40,10426.00,2022-10-04,-254.60,-16549.00,1,3,287.90,18713.50
2022-11,21,0,10,0,8,2,1,8,1,0,0,2,6,0,-54.60,-3549.00,-6.82,2022-11-14,36.30,2359.50,2022-11-07,-48.00,-3120.00,1,3,68.10,4426.50
2022-12,22,0,17,0,12,5,6,9,1,1,0,7,8,0,309.80,20137.00,20.65,2022-12-23,168.10,10926.50,2022-12-20,-78.80,-5122.00,3,3,132.50,8612.50
2023-01,21,0,18,0,12,6,6,12,0,0,0,6,10,0,186.00,12090.00,11.63,2023-01-05,151.80,9867.00,2023-01-30,-91.90,-5973.50,3,4,109.30,7104.50
2023-02,20,0,11,0,8,3,4,7,0,0,0,4,7,0,7.00,455.00,0.64,2023-02-15,94.80,6162.00,2023-02-20,-46.30,-3009.50,2,5,99.90,6493.50
2023-03,21,2,19,2,16,3,2,13,1,0,3,3,10,0,-12.20,-793.00,-0.94,2023-03-13,121.20,7878.00,2023-03-16,-82.30,-5349.50,2,5,205.80,13377.00
2023-04,17,1,3,1,3,0,0,2,0,0,1,0,2,0,-47.80,-3107.00,-23.90,2023-04-18,-9.10,-591.50,2023-04-19,-38.70,-2515.50,0,2,47.80,3107.00
2023-05,22,0,20,0,15,5,6,13,0,1,0,6,11,0,81.00,5265.00,4.76,2023-05-25,88.80,5772.00,2023-05-08,-63.00,-4095.00,2,6,114.50,7442.50
2023-06,21,0,17,0,13,4,4,10,1,2,0,4,10,0,-3.00,-195.00,-0.21,2023-06-23,134.40,8736.00,2023-06-27,-88.00,-5720.00,1,4,92.90,6038.50
