date,status,skip_reason,trades,skipped_rows,crossover_entries,pullback_reentries,target_exits,stop_exits,gap_target_exits,gap_stop_exits,reversal_exits,winning_trades,losing_trades,break_even_trades,total_points,total_rupees,average_points,max_profit_points,max_loss_points,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_rupees,remarks
2022-05-05,FLAT,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,
2022-05-06,FLAT,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,
2022-05-09,FLAT,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,
2022-05-10,SKIPPED,entry_open_beyond_stop,0,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,Entry open 16321.3 invalidated the LONG setup stop 16323.20.
2022-05-11,TRADED,,1,0,1,0,0,1,0,0,0,0,1,0,-31.30,-2034.50,-31.30,-31.30,-31.30,0,1,31.30,2034.50,
2022-05-12,FLAT,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,
2022-05-13,TRADED,,1,0,1,0,0,1,0,0,0,0,1,0,-1.20,-78.00,-1.20,-1.20,-1.20,0,1,1.20,78.00,
2022-05-16,TRADED,,1,0,1,0,0,1,0,0,0,0,1,0,-73.70,-4790.50,-73.70,-73.70,-73.70,0,1,73.70,4790.50,Open position carried through this date with no realized exit.
2022-05-17,SKIPPED,entry_open_beyond_stop,0,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,Entry open 16115.0 invalidated the LONG setup stop 16115.90.
2022-05-18,FLAT,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,
2022-05-19,TRADED,,1,0,1,0,0,1,0,0,0,0,1,0,-19.40,-1261.00,-19.40,-19.40,-19.40,0,1,19.40,1261.00,Open position carried through this date with no realized exit.
2022-05-20,HELD,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,Open position carried through this date with no realized exit.
2022-05-23,TRADED,,1,0,1,0,1,0,0,0,0,1,0,0,116.70,7585.50,116.70,116.70,116.70,1,0,0.00,0.00,
2022-05-24,TRADED,,1,0,1,0,1,0,0,0,0,1,0,0,42.60,2769.00,42.60,42.60,42.60,1,0,0.00,0.00,Open position carried through this date with no realized exit.
2022-05-25,HELD,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,Open position carried through this date with no realized exit.
2022-05-26,HELD,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,Open position carried through this date with no realized exit.
2022-05-27,TRADED,,2,0,1,1,0,1,0,1,0,0,2,0,-160.10,-10406.50,-80.05,-26.50,-133.60,0,2,160.10,10406.50,
