period,days,trades,skipped,long_trades,short_trades,winning_trades,losing_trades,break_even_trades,total_points,total_rupees,average_points,max_profit_date,max_profit_points,max_profit_rupees,max_loss_date,max_loss_points,max_loss_rupees,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_rupees
2022,166,44,122,23,21,24,20,0,69.90,4543.50,1.59,2022-11-10,235.50,15307.50,2022-10-03,-271.40,-17641.00,6,4,533.00,34645.00
2023,246,57,189,30,27,26,31,0,209.10,13591.50,3.67,2023-12-13,173.00,11245.00,2023-11-13,-211.20,-13728.00,4,5,458.40,29796.00
2024,249,57,192,28,29,31,25,1,761.35,49487.75,13.36,2024-05-31,787.45,51184.25,2024-10-01,-359.70,-23380.50,6,4,574.40,37336.00
2025,249,49,200,22,27,22,26,1,331.60,21554.00,6.77,2025-04-11,523.85,34050.25,2025-04-22,-223.55,-14530.75,3,4,445.65,28967.25
2026,82,12,70,7,5,6,6,0,946.70,61535.50,78.89,2026-04-07,725.20,47138.00,2026-04-21,-109.75,-7133.75,3,3,109.75,7133.75
