period,n,n_adjust,n_expiry,adjust_pnl,expiry_pnl,total_pnl,return_pct,cagr_pct,years,wins,losses,breakeven,win_rate_pct,profit_factor,expectancy,best,worst,max_drawdown,max_drawdown_pct,max_consecutive_losses,first_date,last_date,avg_loss,avg_win
2025,46,46,0,148016.27,0.0,148016.27,14.8,15.59,0.95,35,11,0,76.09,2.01,3217.74,16006.41,-58825.75,85510.77,8.55,2,2025-01-02,2025-12-16,-13297.69,8408.31
ALL,46,46,0,148016.27,0.0,148016.27,14.8,15.59,0.95,35,11,0,76.09,2.01,3217.74,16006.41,-58825.75,85510.77,8.55,2,2025-01-02,2025-12-16,-13297.69,8408.31
