entry_date,status,skip_reason,expiry_date,trades,ce_trades,pe_trades,orders_executed,gross_pnl,brokerage,net_pnl,remarks
2025-01-02,TRADED,,2025-01-02,1,0,1,2,45409.00,50.00,45359.00,
2025-01-09,TRADED,,2025-01-09,1,0,1,2,-18317.00,50.00,-18367.00,
2025-01-16,TRADED,,2025-01-16,1,0,1,2,-4173.00,50.00,-4223.00,
2025-01-23,TRADED,,2025-01-23,1,0,1,2,26572.00,50.00,26522.00,
2025-01-30,TRADED,,2025-01-30,1,0,1,2,31382.00,50.00,31332.00,
2025-02-06,TRADED,,2025-02-06,1,1,0,2,31499.00,50.00,31449.00,
2025-02-13,TRADED,,2025-02-13,1,0,1,2,-507.00,50.00,-557.00,
2025-02-20,TRADED,,2025-02-20,1,1,0,2,-3845.40,50.00,-3895.40,
2025-02-27,TRADED,,2025-02-27,1,0,1,2,-9529.00,50.00,-9579.00,
2025-03-06,TRADED,,2025-03-06,1,0,1,2,33576.40,50.00,33526.40,
2025-03-13,TRADED,,2025-03-13,1,0,1,2,-17082.00,50.00,-17132.00,
2025-03-20,TRADED,,2025-03-20,1,0,1,2,27911.00,50.00,27861.00,
2025-03-27,TRADED,,2025-03-27,1,1,0,2,-13559.00,50.00,-13609.00,
2025-04-03,TRADED,,2025-04-03,1,1,0,2,-5015.40,50.00,-5065.40,
2025-04-09,TRADED,,2025-04-09,1,1,0,2,21749.00,50.00,21699.00,
2025-04-17,TRADED,,2025-04-17,1,0,1,2,32448.00,50.00,32398.00,
2025-04-24,TRADED,,2025-04-24,1,0,1,2,-7657.00,50.00,-7707.00,
2025-04-30,TRADED,,2025-04-30,1,1,0,2,-12324.00,50.00,-12374.00,
2025-05-08,TRADED,,2025-05-08,1,0,1,2,-25727.00,50.00,-25777.00,
2025-05-15,TRADED,,2025-05-15,1,1,0,2,-112174.40,50.00,-112224.40,
2025-05-22,TRADED,,2025-05-22,1,1,0,2,18161.00,50.00,18111.00,
2025-05-29,TRADED,,2025-05-29,1,0,1,2,-17045.60,50.00,-17095.60,
2025-06-05,TRADED,,2025-06-05,1,0,1,2,36790.00,50.00,36740.00,
2025-06-12,TRADED,,2025-06-12,1,1,0,2,31616.00,50.00,31566.00,
2025-06-19,TRADED,,2025-06-19,1,1,0,2,-12246.00,50.00,-12296.00,
2025-06-26,TRADED,,2025-06-26,1,0,1,2,32513.00,50.00,32463.00,
2025-07-03,TRADED,,2025-07-03,1,0,1,2,-24193.00,50.00,-24243.00,
2025-07-10,TRADED,,2025-07-10,1,1,0,2,31018.00,50.00,30968.00,
2025-07-17,TRADED,,2025-07-17,1,0,1,2,-22789.00,50.00,-22839.00,
2025-07-24,TRADED,,2025-07-24,1,0,1,2,-38870.00,50.00,-38920.00,
2025-07-31,TRADED,,2025-07-31,1,1,0,2,-37947.00,50.00,-37997.00,
2025-08-07,TRADED,,2025-08-07,1,1,0,2,-3159.00,50.00,-3209.00,
2025-08-14,TRADED,,2025-08-14,1,0,1,2,8372.00,50.00,8322.00,
2025-08-21,TRADED,,2025-08-21,1,0,1,2,10985.00,50.00,10935.00,
2025-08-28,TRADED,,2025-08-28,1,1,0,2,19552.00,50.00,19502.00,
2025-09-02,TRADED,,2025-09-02,1,0,1,2,-22906.00,50.00,-22956.00,
2025-09-09,TRADED,,2025-09-09,1,0,1,2,4524.00,50.00,4474.00,
2025-09-16,TRADED,,2025-09-16,1,0,1,2,25610.00,50.00,25560.00,
2025-09-23,TRADED,,2025-09-23,1,1,0,2,15743.00,50.00,15693.00,
2025-09-30,TRADED,,2025-09-30,1,0,1,2,-17966.00,50.00,-18016.00,
2025-10-07,TRADED,,2025-10-07,1,0,1,2,15041.00,50.00,14991.00,
2025-10-14,TRADED,,2025-10-14,1,0,1,2,-31187.00,50.00,-31237.00,
2025-10-20,TRADED,,2025-10-20,1,0,1,2,-19318.00,50.00,-19368.00,
2025-10-28,TRADED,,2025-10-28,1,0,1,2,-23504.00,50.00,-23554.00,
2025-11-04,TRADED,,2025-11-04,1,0,1,2,-33839.00,50.00,-33889.00,
2025-11-11,TRADED,,2025-11-11,1,1,0,2,-26494.00,50.00,-26544.00,
2025-11-18,TRADED,,2025-11-18,1,1,0,2,6136.00,50.00,6086.00,
2025-11-25,TRADED,,2025-11-25,1,1,0,2,22698.00,50.00,22648.00,
2025-12-02,TRADED,,2025-12-02,1,1,0,2,29757.00,50.00,29707.00,
2025-12-09,TRADED,,2025-12-09,1,1,0,2,2535.00,50.00,2485.00,
2025-12-16,TRADED,,2025-12-16,1,1,0,2,17238.00,50.00,17188.00,
2025-12-23,TRADED,,2025-12-23,1,0,1,2,9568.00,50.00,9518.00,
2025-12-30,TRADED,,2025-12-30,1,1,0,2,-8619.00,50.00,-8669.00,
