period,n,n_expiry,n_adjust,expiry_pnl,adjust_pnl,total_pnl,return_pct,cagr_pct,years,wins,losses,breakeven,win_rate_pct,profit_factor,expectancy,best,worst,max_drawdown,max_drawdown_pct,max_consecutive_losses,first_date,last_date,avg_loss,avg_win
2025,99,53,46,162742.31,89300.38,252042.69,25.2,25.38,0.99,66,33,0,66.67,2.13,2545.89,30915.24,-68346.76,69261.93,6.93,3,2025-01-01,2025-12-30,-6732.32,7184.99
ALL,99,53,46,162742.31,89300.38,252042.69,25.2,25.38,0.99,66,33,0,66.67,2.13,2545.89,30915.24,-68346.76,69261.93,6.93,3,2025-01-01,2025-12-30,-6732.32,7184.99
