strategy,cycle_id,pos_id,leg_no,trade_date,expiry,side,sell_strike,sell_time,sell_price,buy_time,buy_price,spot_at_open,spot_at_close,tp_points,sl_price,lots,lot_size,units,gross_pnl,charges,net_pnl,open_reason,close_reason
adjust,1,1,1,2025-01-01,2025-01-02,CE,23950,2025-01-01T09:30:00+05:30,23.15,2025-01-01T15:20:00+05:30,47.5,23645.2,23744.6,25.0,0.0,3,65,195,-4748.25,57.7,-4805.95,cycle_start,eod_gap
adjust,1,1,2,2025-01-01,2025-01-02,PE,23300,2025-01-01T09:30:00+05:30,21.15,2025-01-01T14:00:00+05:30,10.1,23645.2,23801.4,25.0,0.0,3,65,195,2154.75,53.91,2100.84,cycle_start,decay_50
adjust,1,1,3,2025-01-01,2025-01-02,PE,23650,2025-01-01T14:00:00+05:30,57.4,2025-01-02T10:29:00+05:30,28.05,23801.4,23878.5,25.0,0.0,3,65,195,5723.25,65.46,5657.79,decay_50,decay_50
adjust,1,1,4,2025-01-01,2025-01-02,CE,23900,2025-01-01T15:20:00+05:30,65.9,2025-01-02T12:00:00+05:30,125.85,23744.6,23960.65,25.0,0.0,3,65,195,-11690.25,76.29,-11766.54,eod_gap,no_roll_available
adjust,1,1,5,2025-01-02,2025-01-02,PE,23850,2025-01-02T10:29:00+05:30,79.0,2025-01-02T12:00:00+05:30,37.5,23878.5,23960.65,25.0,0.0,3,65,195,8092.5,72.24,8020.26,decay_50,no_roll_available
adjust,2,1,1,2025-01-03,2025-01-09,CE,24650,2025-01-03T09:30:00+05:30,24.5,2025-01-03T12:29:00+05:30,12.05,24130.85,24059.1,25.0,0.0,3,65,195,2427.75,55.0,2372.75,cycle_start,decay_50
adjust,2,1,2,2025-01-03,2025-01-09,PE,23500,2025-01-03T09:30:00+05:30,26.95,2025-01-03T11:58:00+05:30,13.35,24130.85,24132.45,25.0,0.0,3,65,195,2652.0,55.79,2596.21,cycle_start,decay_50
adjust,2,1,3,2025-01-03,2025-01-09,PE,23550,2025-01-03T11:58:00+05:30,16.0,2025-01-06T09:19:00+05:30,22.3,24132.45,24034.05,25.0,0.0,3,65,195,-1228.5,53.55,-1282.05,decay_50,tp
adjust,2,1,4,2025-01-03,2025-01-09,CE,24550,2025-01-03T12:29:00+05:30,19.6,2025-01-03T15:20:00+05:30,15.55,24059.1,24004.5,25.0,0.0,3,65,195,789.75,53.95,735.8,decay_50,eod_gap
adjust,2,1,5,2025-01-03,2025-01-09,CE,24450,2025-01-03T15:20:00+05:30,25.55,2025-01-06T09:19:00+05:30,24.25,24004.5,24034.05,25.0,0.0,3,65,195,253.5,56.35,197.15,eod_gap,tp
adjust,2,2,6,2025-01-06,2025-01-09,CE,24550,2025-01-06T09:20:00+05:30,13.75,2025-01-06T14:13:00+05:30,6.85,24022.4,23625.55,13.29,0.0,3,65,195,1345.5,51.59,1293.91,reentry,decay_50
adjust,2,2,7,2025-01-06,2025-01-09,PE,23400,2025-01-06T09:20:00+05:30,12.85,2025-01-07T12:11:00+05:30,37.0,24022.4,23729.15,13.29,0.0,3,65,195,-4709.25,53.95,-4763.2,reentry,tp
adjust,2,2,8,2025-01-06,2025-01-09,CE,23900,2025-01-06T14:13:00+05:30,87.35,2025-01-07T12:11:00+05:30,56.75,23625.55,23729.15,13.29,0.0,3,65,195,5967.0,76.21,5890.79,decay_50,tp
adjust,2,3,9,2025-01-07,2025-01-09,CE,24200,2025-01-07T12:12:00+05:30,11.55,2025-01-08T09:16:00+05:30,5.6,23723.55,23697.2,12.42,0.0,3,65,195,1160.25,50.87,1109.38,reentry,tp
adjust,2,3,10,2025-01-07,2025-01-09,PE,23150,2025-01-07T12:12:00+05:30,13.0,2025-01-08T09:16:00+05:30,6.4,23723.55,23697.2,12.42,0.0,3,65,195,1287.0,51.34,1235.66,reentry,tp
adjust,2,4,11,2025-01-08,2025-01-09,CE,24050,2025-01-08T09:17:00+05:30,12.7,2025-01-08T10:24:00+05:30,6.35,23697.7,23602.3,11.85,0.0,3,65,195,1238.25,51.25,1187.0,reentry,decay_50
adjust,2,4,12,2025-01-08,2025-01-09,PE,23250,2025-01-08T09:17:00+05:30,10.7,2025-01-08T14:11:00+05:30,5.2,23697.7,23684.35,11.85,0.0,3,65,195,1072.5,50.6,1021.9,reentry,decay_50
adjust,2,4,13,2025-01-08,2025-01-09,CE,24000,2025-01-08T10:24:00+05:30,8.4,2025-01-08T12:31:00+05:30,4.15,23602.3,23514.75,11.85,0.0,3,65,195,828.75,49.88,778.87,decay_50,decay_50
adjust,2,4,14,2025-01-08,2025-01-09,CE,23800,2025-01-08T12:31:00+05:30,10.85,2025-01-09T09:17:00+05:30,14.0,23514.75,23638.7,11.85,0.0,3,65,195,-614.25,51.41,-665.66,decay_50,tp
adjust,2,4,15,2025-01-08,2025-01-09,PE,23550,2025-01-08T14:11:00+05:30,28.55,2025-01-08T15:20:00+05:30,24.65,23684.35,23688.6,11.85,0.0,3,65,195,760.5,57.21,703.29,decay_50,eod_gap
