entry_date,status,skip_reason,expiry_date,next_trading_day,lot_size,lots,qty,spot_signal_timestamp,spot_signal_close,spot_sma_25,spot_signal_relation,atm_strike,bought_side,contract_name,option_entry_timestamp,option_entry_open,option_exit_timestamp,option_exit_open,gross_pnl,brokerage,net_pnl,remarks
2019-01-01,SKIPPED,insufficient_spot_history,,,0,0,0,2019-01-01T15:00:00+05:30,10901.9,,,,,,,,,,0.00,0.00,0.00,2019-01-01T15:00:00+05:30 has 24 bars; needs 25
2019-01-02,SKIPPED,missing_option_file,2020-01-02,2019-01-03,75,4,300,2019-01-02T15:00:00+05:30,10790.5,10835.46,BELOW_SMA,10800,PE,NIFTY_10800_PE_02_JAN_20.csv,,,,,0.00,0.00,0.00,Missing: NIFTY_10800_PE_02_JAN_20.csv
2019-01-03,SKIPPED,missing_option_file,2020-01-02,2019-01-04,75,4,300,2019-01-03T15:00:00+05:30,10671.3,10730.29,BELOW_SMA,10650,PE,NIFTY_10650_PE_02_JAN_20.csv,,,,,0.00,0.00,0.00,Missing: NIFTY_10650_PE_02_JAN_20.csv
2019-01-04,SKIPPED,missing_option_file,2020-01-02,2019-01-07,75,4,300,2019-01-04T15:00:00+05:30,10724.8,10691.20,ABOVE_SMA,10700,CE,NIFTY_10700_CE_02_JAN_20.csv,,,,,0.00,0.00,0.00,Missing: NIFTY_10700_CE_02_JAN_20.csv
2019-01-07,SKIPPED,missing_option_file,2020-01-02,2019-01-08,75,4,300,2019-01-07T15:00:00+05:30,10774.4,10798.96,BELOW_SMA,10750,PE,NIFTY_10750_PE_02_JAN_20.csv,,,,,0.00,0.00,0.00,Missing: NIFTY_10750_PE_02_JAN_20.csv
2019-01-08,SKIPPED,missing_option_file,2020-01-02,2019-01-09,75,4,300,2019-01-08T15:00:00+05:30,10809.5,10775.59,ABOVE_SMA,10800,CE,NIFTY_10800_CE_02_JAN_20.csv,,,,,0.00,0.00,0.00,Missing: NIFTY_10800_CE_02_JAN_20.csv
2019-01-09,SKIPPED,missing_option_file,2020-01-02,2019-01-10,75,4,300,2019-01-09T15:00:00+05:30,10860.5,10836.54,ABOVE_SMA,10850,CE,NIFTY_10850_CE_02_JAN_20.csv,,,,,0.00,0.00,0.00,Missing: NIFTY_10850_CE_02_JAN_20.csv
2019-01-10,SKIPPED,missing_option_file,2020-01-02,2019-01-11,75,4,300,2019-01-10T15:00:00+05:30,10822.5,10829.75,BELOW_SMA,10800,PE,NIFTY_10800_PE_02_JAN_20.csv,,,,,0.00,0.00,0.00,Missing: NIFTY_10800_PE_02_JAN_20.csv
2019-01-11,SKIPPED,missing_option_file,2020-01-02,2019-01-14,75,4,300,2019-01-11T15:00:00+05:30,10806.0,10791.27,ABOVE_SMA,10800,CE,NIFTY_10800_CE_02_JAN_20.csv,,,,,0.00,0.00,0.00,Missing: NIFTY_10800_CE_02_JAN_20.csv
2019-01-14,SKIPPED,missing_option_file,2020-01-02,2019-01-15,75,4,300,2019-01-14T15:00:00+05:30,10739.7,10721.84,ABOVE_SMA,10750,CE,NIFTY_10750_CE_02_JAN_20.csv,,,,,0.00,0.00,0.00,Missing: NIFTY_10750_CE_02_JAN_20.csv
