entry_date,status,skip_reason,expiry_date,spot_entry,atm,short_dist,wing_width,short_ce,long_ce,short_pe,long_pe,short_ce_entry,long_ce_entry,short_pe_entry,long_pe_entry,entry_credit,sl_trigger,lot_size,condors,units,exit_time,exit_reason,short_ce_exit,long_ce_exit,short_pe_exit,long_pe_exit,liq_cost_exit,gross_pnl,brokerage,net_pnl,cum_pnl,remarks
2020-04-30,TRADED,,2020-04-30,9749.40,9750,200,100,9950,10050,9550,9450,2.40,1.25,2.55,1.75,1.95,3.90,75,27,2025,09:33,sl,5.40,0.90,2.10,1.20,5.40,-6986.25,12420.00,-19406.25,-234690.00,
2020-05-07,TRADED,,2020-05-07,9211.00,9200,200,100,9400,9500,9000,8900,5.10,1.65,6.95,1.45,8.95,17.90,75,28,2100,15:25,eod,0.05,0.05,0.05,0.05,0.00,18795.00,12880.00,5915.00,-228775.00,
2020-05-14,TRADED,,2020-05-14,9237.85,9250,200,100,9450,9550,9050,8950,3.85,1.65,3.00,1.15,4.05,8.10,75,28,2100,15:25,eod,0.15,0.05,0.05,0.05,0.10,8295.00,12880.00,-4585.00,-233360.00,
2020-05-21,TRADED,,2020-05-21,9100.80,9100,200,100,9300,9400,8900,8800,0.75,0.25,1.55,0.55,1.50,3.00,75,28,2100,15:25,eod,0.05,0.05,0.05,0.05,0.00,3150.00,12880.00,-9730.00,-243090.00,
2020-05-28,TRADED,,2020-05-28,9386.15,9400,200,100,9600,9700,9200,9100,0.70,0.25,1.80,0.85,1.40,2.80,75,28,2100,15:25,eod,0.05,0.05,0.10,0.05,0.05,2835.00,12880.00,-10045.00,-253135.00,
2020-06-04,TRADED,,2020-06-04,10109.00,10100,200,100,10300,10400,9900,9800,1.45,0.65,3.20,1.00,3.00,6.00,75,26,1950,12:16,sl,0.30,0.15,9.55,1.45,8.25,-10237.50,11960.00,-22197.50,-275332.50,
2020-06-11,TRADED,,2020-06-11,10059.90,10050,200,100,10250,10350,9850,9750,2.70,0.65,1.25,0.50,2.80,5.60,75,26,1950,15:25,eod,0.10,0.05,0.05,0.05,0.05,5362.50,11960.00,-6597.50,-281930.00,
2020-06-18,TRADED,,2020-06-18,9867.05,9850,200,100,10050,10150,9650,9550,1.75,0.50,4.70,1.90,4.05,8.10,75,26,1950,14:06,sl,9.55,0.30,0.15,0.15,9.25,-10140.00,11960.00,-22100.00,-304030.00,
2020-06-25,TRADED,,2020-06-25,10220.80,10200,200,100,10400,10500,10000,9900,3.05,1.40,6.70,2.25,6.10,12.20,75,26,1950,10:34,sl,17.50,5.30,1.55,0.60,13.15,-13747.50,11960.00,-25707.50,-329737.50,
2020-07-02,TRADED,,2020-07-02,10512.60,10500,200,100,10700,10800,10300,10200,0.60,0.20,2.60,0.90,2.10,4.20,75,25,1875,15:25,eod,0.05,0.05,0.05,0.10,-0.05,4031.25,11500.00,-7468.75,-337206.25,
2020-07-09,TRADED,,2020-07-09,10754.20,10750,200,100,10950,11050,10550,10450,1.05,0.40,1.95,0.75,1.85,3.70,75,25,1875,15:25,eod,0.10,0.05,0.05,0.05,0.05,3375.00,11500.00,-8125.00,-345331.25,
2020-07-16,TRADED,,2020-07-16,10624.00,10600,200,100,10800,10900,10400,10300,3.00,0.70,1.10,0.50,2.90,5.80,75,25,1875,15:25,eod,0.05,0.05,0.05,0.05,0.00,5437.50,11500.00,-6062.50,-351393.75,
2020-07-23,TRADED,,2020-07-23,11163.80,11150,200,100,11350,11450,10950,10850,0.35,0.25,1.50,0.65,0.95,1.90,75,24,1800,15:25,eod,0.05,0.10,0.25,0.10,0.10,1530.00,11040.00,-9510.00,-360903.75,
2020-07-30,TRADED,,2020-07-30,11268.50,11250,200,100,11450,11550,11050,10950,0.60,0.35,1.00,0.55,0.70,1.40,75,24,1800,12:59,sl,0.15,0.15,2.30,0.75,1.55,-1530.00,11040.00,-12570.00,-373473.75,
2020-08-06,TRADED,,2020-08-06,11161.70,11150,200,100,11350,11450,10950,10850,1.05,0.25,3.30,0.95,3.15,6.30,75,24,1800,15:25,eod,0.05,0.05,0.05,0.05,0.00,5670.00,11040.00,-5370.00,-378843.75,
2020-08-13,TRADED,,2020-08-13,11352.50,11350,200,100,11550,11650,11150,11050,0.50,0.25,0.95,0.55,0.65,1.30,75,24,1800,15:25,eod,0.05,0.05,0.05,0.05,0.00,1170.00,11040.00,-9870.00,-388713.75,
2020-08-20,TRADED,,2020-08-20,11321.80,11300,200,100,11500,11600,11100,11000,0.90,0.30,0.90,0.50,1.00,2.00,75,24,1800,15:25,eod,0.05,0.05,0.05,0.05,0.00,1800.00,11040.00,-9240.00,-397953.75,
2020-08-27,TRADED,,2020-08-27,11600.30,11600,200,100,11800,11900,11400,11300,0.30,0.20,1.40,0.70,0.80,1.60,75,23,1725,15:25,eod,0.05,0.05,0.05,0.05,0.00,1380.00,10580.00,-9200.00,-407153.75,
2020-09-03,TRADED,,2020-09-03,11562.50,11550,200,100,11750,11850,11350,11250,0.45,0.30,0.90,0.50,0.55,1.10,75,23,1725,15:25,eod,0.05,0.05,0.10,0.05,0.05,862.50,10580.00,-9717.50,-416871.25,
2020-09-10,TRADED,,2020-09-10,11346.30,11350,200,100,11550,11650,11150,11050,0.40,0.30,0.75,0.45,0.40,0.80,75,24,1800,15:25,eod,0.05,0.05,0.05,0.05,0.00,720.00,11040.00,-10320.00,-427191.25,
2020-09-17,TRADED,,2020-09-17,11557.40,11550,200,100,11750,11850,11350,11250,0.40,0.25,0.70,0.60,0.25,0.50,75,23,1725,15:25,eod,0.05,0.05,0.05,0.05,0.00,431.25,10580.00,-10148.75,-437340.00,
2020-09-24,TRADED,,2020-09-24,10988.10,11000,200,100,11200,11300,10800,10700,1.50,0.70,1.30,0.40,1.70,3.40,75,24,1800,12:24,sl,0.50,0.40,4.20,0.35,3.95,-4050.00,11040.00,-15090.00,-452430.00,
2020-10-01,TRADED,,2020-10-01,11369.20,11350,200,100,11550,11650,11150,11050,0.25,0.25,0.75,0.50,0.25,0.50,75,24,1800,09:27,sl,0.25,0.20,0.95,0.45,0.55,-540.00,11040.00,-11580.00,-464010.00,
2020-10-08,TRADED,,2020-10-08,11842.90,11850,200,100,12050,12150,11650,11550,0.30,0.25,1.30,0.75,0.60,1.20,75,23,1725,15:25,eod,0.05,0.10,0.05,0.05,-0.05,1121.25,10580.00,-9458.75,-473468.75,
